LOADING_HINT_QUEST_0;Astuce : Vous gagnez {faeria|3} faeria au début de votre tour.
LOADING_HINT_QUEST_1;Astuce : La faeria que vous n'avez pas utilisée est conservée pour le tour suivant.
LOADING_HINT_QUEST_2;Astuce : Les capacités sont expliquées au dessus de chaque carte.
LOADING_HINT_QUEST_3;Astuce : Construisez des terrains près de l'orbe adverse.
LOADING_HINT_QUEST_4;Astuce : Tuez les Follets Broussailleux avant qu'ils ne grandissent.
LOADING_HINT_QUEST_5;Astuce : Il y a 4 couleurs dans Faeria. Chaque couleur a son propre type de terrain associé.
LOADING_HINT_QUEST_6;Astuce : Ruunin est la gardienne ancestrale et immortelle de la forêt.
LOADING_HINT_QUEST_7;Astuce : Les cartes rouges utilisent le pouvoir des montagnes ardentes.
LOADING_HINT_QUEST_8;Seifer a consumé son nom dans les cendres de royaumes anéantis.
LOADING_HINT_QUEST_9;Astuce : Les créatures avec Saut peuvent se déplacer de 2 cases dans n'importe quelle direction en sautant par dessus les obstacles.
LOADING_HINT_QUEST_10;Astuce : Construisez des terrains pour bloquer les créatures aquatiques.
LOADING_HINT_QUEST_11;Astuce : Khalim est aggressif. Attention à bien défendre votre orbe.
LOADING_HINT_QUEST_13;Les peurs de Sharra sont parties en fumée quand elle n'était qu'une enfant, tout comme son village.
LOADING_HINT_QUEST_20;Magda est la reine de Meroval. Les héros et les traîtres ne sont que les rouages de ses machinations grandioses.
LOADING_HINT_QUEST_25;Les bals de Krog sont souvent confondus avec le tonnerre plusieurs lieues à la ronde.
LOADING_HINT_QUEST_26;Tarum fut la première graine à être jamais plantée. Il a été témoin de la naissance des dragons et de la chute d'anciens dieux.
LOADING_HINT_QUEST_29;Astuce : Le pouvoir de Tarum grandit avec le temps. Vainquez-le sans tarder !
LOADING_HINT_QUEST_30;Hoaka invente constamment de nouveaux plateaux de jeu.
LOADING_HINT_QUEST_48;Les passe-temps d'Aurora incluent l'entraînement de futurs héros et la dégustation de toutes sortes de thés.
LOADING_HINT_QUEST_49;Prodige de l'ordre Djidan, Khalim a défié ses maîtres et déclenché une guerre mondiale.
LOADING_HINT_QUEST_54;Un certain poisson veut juste voir le monde périr dans les flammes.
LOADING_HINT_QUEST_64;Le mystérieux Jalmyr veille sur le Cosmos et joue le rôle de mentor pour les dieux.
LOADING_HINT_QUEST_117;Astuce : Les trésors sont de puissantes cartes que vous pouvez rencontrer dans Pandore.
LOADING_HINT_QUEST_118;Fugoro voyage dans le monde entier pour collectionner les plus grandes reliques de l'Histoire.
LOADING_HINT_RANDOM_DEATHTOUCH_ONLY_IF_DAMAGE;Astuce : Le Toucher mortel tue une créature uniquement si elle reçoit des dégâts. La Protection annule les dégâts.
LOADING_HINT_RANDOM_TIKIS_CAN_TARGET_THEMSELVES;Astuce : Le Gardien de la forêt Tiki et le Flûtiste Tiki peuvent se cibler eux-même.
LOADING_HINT_RANDOM_FROGS_PLACED_ON_LAKES;Astuce : Les grenouilles générées par le sort Grenouilles de Combat ne peuvent être invoquées que sur des lacs.
LOADING_HINT_RANDOM_HEAL_ORB_MAX_20;Astuce : Vous ne pouvez pas vous soigner au-delà de 20 PV.
LOADING_HINT_RANDOM_COMPLETE_SOLO_CONTENT;Astuce : Finir le mode solo est le meilleur moyen pour se lancer dans le jeu.
LOADING_HINT_RANDOM_RED_COLOR_EXPLAINED;Astuce : Le rouge est la couleur du feu et de la guerre.
LOADING_HINT_RANDOM_BLUE_COLOR_EXPLAINED;Astuce : Le bleu est la couleur des métamorphoses et de la tromperie.
LOADING_HINT_RANDOM_GREEN_COLOR_EXPLAINED;Astuce : Le vert est la couleur de la croissance et des prédateurs sauvages.
LOADING_HINT_RANDOM_YELLOW_COLOR_EXPLAINED;Astuce : Le jaune est la couleur du vent et de la vitesse.
LOADING_HINT_RANDOM_CHARGE_CANT_PASS_THROUGH;Astuce : Vous ne pouvez pas charger à travers une autre créature.
LOADING_HINT_RANDOM_BLOCK_AQUATIC_WITH_LANDS;Astuce : Construisez des terrains pour bloquer les créatures aquatiques.
LOADING_HINT_RANDOM_DAILY_QUEST_1;Le moyen le plus efficace de gagner des coffres de combat est de jouer tous les jours et de compléter vos quêtes journalières.
LOADING_HINT_RANDOM_THE_HUB;Le saviez-vous ?  faeria.com/the-hub est notre site officiel, sur lequel les joueurs peuvent publier leurs propres guides.
LOADING_HINT_RANDOM_CARDBACK_FROM_SOLO;Astuce : Finissez tout le mode solo pour obtenir le dos de carte Dragon.
LOADING_HINT_RANDOM_PANDORA_ECONMY;Astuce : Quand Pandore s'ouvre, tous les puits à faeria sont détruits, mais les joueurs gagnent le double de faeria chaque tour.
LOADING_HINT_RANDOM_TAUNT_BEST_DEFENSE;Astuce : Les créatures avec Provocation sont souvent la meilleure façon de vous protéger.
LOADING_HINT_RANDOM_BUILD_LANDS_EARLY_GAME;Astuce : Construisez des terrains en début de partie. Conservez les boutons +1 carte et +1 faeria pour plus tard.
LOADING_HINT_RANDOM_GIANT_LATEGAME_CREATURES_EXIST;Astuce : De nombreux decks vont chercher à invoquer des grosses créatures en fin de partie. Conserver des sorts de destruction pour pouvoir les éliminer.
LOADING_HINT_RANDOM_COUNTERING_RUSH_1;Astuce : Lorsque vous jouez contre un rush, déplacez vos créatures sur ses terrains aggressifs.
LOADING_HINT_RANDOM_STRUCTURES_LEGAL_PLACEMENT;Astuce : Les structures peuvent être jouées sur des terrains de n'importe quelle couleur.
LOADING_HINT_RANDOM_STRUCTURES_DIRECTLY_ACTIVATES;Astuce : Les Structures peuvent être activées le tour même où elles sont invoquées.
LOADING_HINT_RANDOM_GET_LANDS_NEAR_OPPONENT;Astuce : Essayez de construire des terrains près de l'orbe adverse.
LOADING_HINT_RANDOM_OVERDRAWING_DESTROYS_CARDS;Astuce : Vous pouvez avoir 9 cartes au maximum dans votre main. Les cartes en excès sont détruites à l'instant où elles sont piochées.
LOADING_HINT_RANDOM_COUNTERING_RUSH_2;Astuce : Gagnez contre les joueurs rush en bloquant leurs terrains agressifs. Ripostez avant qu'ils ne réussissent à se faufiler.
LOADING_HINT_RANDOM_YAK_LORE_1;<i>Le mal que vous faîtes à un yak, vous le faîtes au monde entier !</i>\n<align=right>Proverbe des Sylandes</align>
LOADING_HINT_RANDOM_FRIENDS_BLOCK_RANGED;Astuce : Les créatures À distance ne peuvent pas tirer à travers les unités alliées.
LOADING_HINT_RANDOM_LANDS_ARE_BETTER_THAN_CARDS;Astuce : Créer des terrains est souvent plus important que piocher des cartes.
LOADING_HINT_RANDOM_ENDGAME_THREATS_EXIST;Astuce : Beaucoup de menaces peuvent vous punir si vous attendez. Une fois que vous avez l'avantage, attaquez !
LOADING_HINT_RANDOM_FATIGUE_HURTS;Astuce : Une fois que votre deck est vide, vous subissez de plus en plus de dégâts chaque fois que vous piochez.
LOADING_HINT_RANDOM_JALMYR_LORE_2;Les puzzles progressifs de Jalmyr peuvent rendre perplexes les joueurs les plus aguerris.
LOADING_HINT_RANDOM_STEAM_FORGE_LORE;Alimentées par la Faeria, les Forgevapeurs impériales sont imprévisibles mais efficaces.
LOADING_HINT_RANDOM_JALMYR_LORE_3;Jalmyr n'a pu se résoudre à détruire complètement son frère, le seigneur des ténèbres.
LOADING_HINT_RANDOM_YELLOW_USES_HASTE;Astuce : Les decks jaunes utilisent souvent des créatures avec Célérité. Mettez en place votre défense à temps.
LOADING_HINT_RANDOM_RED_DIRECT_DAMAGE;Astuce : Les decks rouges peuvent souvent infliger des dégâts directs : soyez vigilants lorsqu'il vous reste peu de PV.
LOADING_HINT_RANDOM_FIRESTORM_EXISTS;Astuce : Tempête de feu est une carte rouge qui inflige 3 dégâts à toutes les créatures ennemies
LOADING_HINT_RANDOM_UNIQUE_EMOTES_EXIST;Astuce : Plusieurs avatars disposent d'emotes uniques.
LOADING_HINT_RANDOM_BYPASSING_TAUNT;Astuce : Une créature bloquée par une provocation ne peut pas se déplacer elle-même, mais elle peut-être déplacée par un autre moyen.
LOADING_HINT_RANDOM_DON'T_OVERBUFF_CREATURES;Astuce : Attention avant de booster une créature au-delà de 6/6. Vous pourriez le regretter en cas de sort de destruction.
LOADING_HINT_RANDOM_JOIN_FAERIA'S_DISCORD;Astuce : Une question ou un commentaire ? Rejoignez le serveur officiel de Faeria sur Discord. Il y a un lien dans votre liste d'amis.
LOADING_HINT_RANDOM_ESPORTS_FAERIA_EXISTS;Astuce : Allez sur esports.faeria.com pour obtenir tous les informations  sur les tournois et les lots Faeria.
LOADING_HINT_RANDOM_TOP_8_GODS_ON_LADDER_INVITED;Astuce : Chaque saison, les 10 meilleurs joueurs sont invités à un tournoi spécial.
LOADING_HINT_RANDOM_HARD_REMOVAL_COSTS_6;Astuce : La meilleure carte de destruction coûte 6 Faeria.
LOADING_HINT_RANDOM_KILL_BURN_FAST;Astuce : Quand vous jouez contre les decks brûlure, finissez la partie le plus vite possible.
LOADING_HINT_RANDOM_REVIEW_FAERIA_PLEASE;Si vous aimez Faeria, n'oubliez pas de laisser un avis. Cela encourage d'autres joueurs à rejoindre notre communauté.
LOADING_HINT_RANDOM_RAPALA_LORE_2;Le spectacle le plus horrifiant pour un village côtier n'est pas un tsunami, mais plutôt un poisson ricanant.
LOADING_HINT_RANDOM_TIPS_EXIST;Astuce : L'écran de chargement vous permet de profiter des conseils qui y sont affichés.
LOADING_HINT_RANDOM_PROTECT_YOUR_ORB;Astuce : Ne laissez pas votre adversaire poser un terrain contre votre dieu.
LOADING_HINT_RANDOM_EMPEROR_LORE;L'Empereur attend avec impatience le jour où il pourra se passer de citoyens.
LOADING_HINT_RANDOM_WISDOM_IS_BAD;Astuce : Les joueurs sages utilisent rarement la carte Sagesse.
LOADING_HINT_RANDOM_IONA_LORE_1;Avant de connaître Iona, les Shaytans ne connaissaient pas le mot « Clémence ».
LOADING_HINT_RANDOM_OUTLAND_RANGER_LORE_1;Astuce : Les Patrouilleurs des Marches sont un ordre ancien de nobles qui ont échangé le confort de leur château contre le grand air.
LOADING_HINT_RANDOM_SYLAND_FARMERS_LORE;Chaque génération de fermiers des Sylandes donne naissance à un grand héros, sans exception.
