ACT_FUGORO.marketDescription;Jouez avec de puissantes cartes de trésor et battez Fugoro à son propre jeu.\nContient 7 missions.\nRécompenses totales : 4 coffres de combats et 600 pièces d'or.
ACT_FUGORO.marketName;Pack de missions de Fugoro
ACT_FUGORO.marketShortDescription;Pack de missions
ACT_HOAKA.marketDescription;Affrontez le célèbre tacticien Triton sur ses plateaux uniques.\nContient 7 missions.\nRécompenses totales : 4 coffres de combats et 600 pièces d'or.
ACT_HOAKA.marketName;Pack de missions de Hoaka
ACT_HOAKA.marketShortDescription;Pack de missions
ACT_JALMYR_02.marketDescription;Apprenez à maîtriser le jeu en résolvant les énigmes du  Sphinx.\nContient 10 puzzles.\nRécompenses totales : 4 coffres de  combats et 600 pièces d'or.
ACT_JALMYR_02.marketName;Jalmyr, Acte II
ACT_JALMYR_02.marketShortDescription;Pack de missions
ACT_JALMYR_03.marketDescription;Apprenez à maîtriser le jeu en résolvant les énigmes du  Sphinx.\nContient 10 puzzles.\nRécompenses totales : 4 coffres de  combats et 600 pièces d'or.
ACT_JALMYR_03.marketName;Jalmyr, Acte III
ACT_JALMYR_03.marketShortDescription;Pack de missions
ACT_JALMYR_04.marketDescription;Apprenez à maîtriser le jeu en résolvant les énigmes du  Sphinx.\nContient 10 puzzles.\nRécompenses totales : 4 coffres de  combats et 600 pièces d'or.
ACT_JALMYR_04.marketName;Jalmyr, Acte IV
ACT_JALMYR_04.marketShortDescription;Pack de missions
ACT_MAGDA.marketDescription;Maîtrisez des combinaisons de trésors uniques pour vaincre la puissante reine.\nContient 7 missions.\nRécompenses totales : 4 coffres de combats et 600 pièces d'or.
ACT_MAGDA.marketName;Pack de missions de Magda
ACT_MAGDA.marketShortDescription;Pack de missions
AVATAR_ADVENTURER.marketDescription;Suivez les traces du jeune Fugoro lors de son voyage à Outreciel !\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_AURORA.marketDescription;Pour passer le temps, Aurora aime entraîner les futurs héros, guider le cours de l'histoire et goûter toutes sortes de thés.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_BLUE_ELEMENTAL_2.marketDescription;Les sages aperçoivent parfois cette créature dans les ruines des villes oubliées.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_BLUE_ELEMENTAL_3.marketDescription;Il apparait devant les sages et exauce leurs voeux, leur révélant ainsi l'avenir.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_BOMB_SLINGER.marketDescription;La vie n'est pas un nombre de battements de cœur, mais les bombes qui l'arrêtent.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_CAP_10.marketDescription;Ce méca fut créé il y a longtemps comme un robot défenseur. Il a depuis été reprogrammé pour la piraterie !
AVATAR_DARK_WISP.marketDescription;Cet esprit malicieux vit dans les interstices de l'univers.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_FUGORO.marketDescription;Fugoro est le marchand le plus audacieux du monde. Souvent, il n'hésite pas à se faufiler sous le nez d'Orosei pour voler les trésors de Pandore.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_GREEN_ELEMENTAL_2.marketDescription;Les fous aperçoivent parfois cette créature dans les profondeurs des forêts sauvages.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_GREEN_ELEMENTAL_3.marketDescription;Il apparaît devant les hommes à l'esprit égaré, enchevêtrant les forêts à leur guise.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_HOAKA.marketDescription;Maître de guerre, Hoaka serait imbattable s'il ne passait pas son temps à inventer de nouvelles - et très discutables - tactiques.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_JALMYR.marketDescription;Ce sphinx mystérieux veille sur le cosmos et joue le rôle de mentor pour les dieux.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_KELDRAN_EMISSARY.marketDescription;Les Émissaires Éoliens portent les prières écrites par les gens du peuple qui vit au dessus des nuages sacrés.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_KHALIM.marketDescription;Prodige de l'ordre Djidan, Khalim a défié ses maîtres et déclenché une guerre mondiale.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_KINGS_GUARD.marketDescription;Leurs lames peuvent se briser, mais pas leurs idéaux. La Garde du Roi n'abandonne jamais.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_KOBOLD_MERCENARY.marketDescription;Les patrons des catacombes sont les seigneurs du monde souterrain des Kobolds. En ce lieu où les faibles servent les puissants, ces redoutables guerriers se sont hissés au sommet d'une pile de corps brisés.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_KROG.marketDescription;Krog croît qu'il est le Roi des Ogres. Il est bien le seul.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_MAGDA.marketDescription;Les plus grandes légendes du monde ne sont que de simples pions sur l'échiquier de la Reine Magda.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_OGRE_BATTLER.marketDescription;Le nom de naissance de cet Ogre batailleur est Brutar, mais ses amis le connaissent sous le nom de M.Battie\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_RAIZEON.marketDescription;Maîtrisant tous les éléments, cette entité met à l'épreuve tous ceux qui osent pénétrer dans son domaine.
AVATAR_RAPALA.marketDescription;Un certain poisson veut juste voir le monde périr dans les flammes.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_RED_ELEMENTAL_2.marketDescription;Les seigneurs de guerre aperçoivent parfois cette créature lorsque le soleil se lève sur le champ de bataille.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_RED_ELEMENTAL_3.marketDescription;Il apparait devant les seigneurs de guerre et exauce leurs voeux, unissant les montagnes sous une seule bannière.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_RUUNIN.marketDescription;Ruunin est la gardienne immortelle de l'équilibre de la Nature. Elle a survécu à tous les amis qu'elle a connus.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_SAGAMI_ELDER.marketDescription;Les Sagamis ne comptent pas leur âge en années vécues mais en ennemis tués.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_SEIFER.marketDescription;Seifer a inscrit son nom dans les cendres de royaumes déchus. Ayant conquis les diables et obtenu leur pouvoir, Seifer n'apprécie rien autant que les gémissements de ses ennemis.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_SHARRA.marketDescription;Les peurs de Sharra sont parties en fumée quand elle n'était qu'une enfant, tout comme son village.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_SHAYTAN_ASSASSIN.marketDescription;Les Assassins Shaytan sont les messagers de l'Archiprêtre. Son message est toujours le même.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_TAESA.marketDescription;Les enchanteresses de Gabria manient la magie ancienne de la création. Avec les sculpteurs de vagues, elles gardent l'équilibre spirituel du royaume de Gabria.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_TARANGA.marketDescription;Les Rakoas n'avaient même pas de mot pour la guerre, mais Taranga savait que c'était une chose contre laquelle il fallait résister.
AVATAR_TARUM.marketDescription;Tarum fut la première graine jamais semée. Ses racines s'étendent jusqu'au noyau du monde. Il a vu la naissance des montagnes et des Dragons ainsi que la chute de dieux antiques.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_THE_EGG.marketDescription;Issu du songe d'un dragon, on raconte que l'oeuf est un présage de bon augure. Il finira par éclore tôt ou tard.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_ULANI.marketDescription;Les enfants Rakoans rient avec le vent, dansent avec les vagues, dorment parmi les feuilles, et échangent des secrets avec le feu. Ulani n'a jamais vraiment grandi.
AVATAR_VERDURAN_FORCE.marketDescription;Aucun bûcheron n'est assez fou pour planter sa hache dans cette créature.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_YAKKAR.marketDescription;L'élite de l'élite. Ces yaks préservent l'équilibre de la réalité.
AVATAR_YAK_CYNICAL.marketDescription;Ce Yak est ici pour répondre à une simple question. Quel est le meilleur deck dans Faeria ?
AVATAR_YAK_DRAGON.marketDescription;Certains dragons aiment les yaks. Ils les aiment VRAIMENT beaucoup.
AVATAR_YAK_FANCY.marketDescription;Sir Yakkinton est l'invité incontournable que l'on s'arrache à tous les dîners mondains.
AVATAR_YAK_FARMER.marketDescription;Vous avez le choix : soit mourir en héros, soit vivre assez longtemps pour devenir vous même fermier.
AVATAR_YAK_FAT.marketDescription;Un yak est plus heureux juste avant d'être mangé. -Le Livre de Seifer
AVATAR_YAK_FORCER.marketDescription;Vous avez le droit de garder votre fourrure.
AVATAR_YAK_HIPPIE.marketDescription;Ceuillez les roses de la vie... et mangez-les !
AVATAR_YAK_KING.marketDescription;King Yaknus, premier du nom, est reconnu comme le libérateur du joug et le porteur de toutes les charges.
AVATAR_YAK_PIRATE.marketDescription;Le légendaire capitaine Yak Sparrow, fléau des sept cieux.
AVATAR_YELLOW_ELEMENTAL_2.marketDescription;Les assassins aperçoivent parfois cette créature peu de temps avant de commettre leurs crimes.\n\nCet objet débloque un nouvel avatar pour votre orbe.
AVATAR_YELLOW_ELEMENTAL_3.marketDescription;Elle apparait devant les assassins et exauce leurs voeux, recouvrant le sable de sang.\n\nCet objet débloque un nouvel avatar pour votre orbe.
BACKER_STARTER_PACK_BUNDLE.marketDescription;30 coffres de combat, 10 pièces Pandore, 1 orbe et 1 avatar.
BACKER_STARTER_PACK_BUNDLE.marketName;Lot Kickstarter
BLUE_CHEST_1.marketDescription;Chaque Coffre de Combat contient 4 cartes aléatoires dont vous ne possédez pas toutes les copies.
BLUE_CHEST_1.marketName;1 coffre de combat
BLUE_CHEST_1.marketShortDescription;4 nouvelles cartes !
BLUE_CHEST_12.marketDescription;Chaque Coffre de Combat contient 4 cartes aléatoires dont vous ne possédez pas toutes les copies.
BLUE_CHEST_12.marketName;12 coffres de combat
BLUE_CHEST_12.marketShortDescription;48 nouvelles cartes !
