CARD_ALREADY_OWNED_TOOLTIP_TEXT;Vous possédez {0} copies de cette carte.
CARD_FILTER_CREATURE;Créature
CARD_FILTER_EVENT;Évènement
CARD_FILTER_FALL_OF_EVERLIFE;La Chute de l'Arbre d'Éternité
CARD_FILTER_OVERSKY;Outreciel
CARD_FILTER_STRUCTURE;Structure
PANDORA_MYTHIC_RUN_NOT_ENOUGH_COINS_ERROR_TEXT;Vous n'avez pas assez de cristaux pour débuter ce type de série.
PANDORA_MYTHIC_RUN_TOOLTIP_TEXT;Débutez une série mythique de Pandore. Remportez jusqu'à 6 victoires pour recevoir des cristaux.
PANDORA_POINT_TOOLTIP_TEXT;Gagnez des points pour recevoir des récompenses à la fin de chaque saison.
PANDORA_POP_UP_MULTI_PLAYER_TITLE_TEXT;Multi-joueur
PANDORA_POP_UP_MYTHIC_MULTI_PLAYER_INFO_TEXT;Affrontez d'autres joueurs pour récupérer ENCORE PLUS de récompenses.
PANDORA_POP_UP_MYTHIC_RUN_MULTI_PLAYER_TITLE_TEXT;Multi-joueur mythique
PANDORA_POP_UP_MYTHIC_RUN_SINGLE_PLAYER_TITLE_TEXT;Solo mythique
PANDORA_POP_UP_MYTHIC_SINGLE_PLAYER_INFO_TEXT;Combattez une IA de plus en plus forte pour recevoir des cristaux.
PANDORA_POP_UP_SINGLE_PLAYER_TITLE_TEXT;Solo
PANDORA_POP_UP_STANDARD_MULTI_PLAYER_INFO_TEXT;Affrontez d'autres joueurs pour récupérer ENCORE PLUS de récompenses.
PANDORA_POP_UP_STANDARD_RUN_MULTI_PLAYER_TITLE_TEXT;Multi-joueur
PANDORA_POP_UP_STANDARD_RUN_SINGLE_PLAYER_TITLE_TEXT;Solo
PANDORA_POP_UP_STANDARD_SINGLE_PLAYER_INFO_TEXT;Combattez contre une IA de plus en plus forte pour récupérer des coffres de combat et des cartes.
PANDORA_STANDARD_RUN_HAS_FULL_COLLECTION_ERROR_TEXT;Vous possédez déjà toutes les cartes disponibles. Vous ne pouvez donc plus commencer une série classique de Pandore.
PANDORA_STANDARD_RUN_NOT_ENOUGH_CHEST_ERROR_TEXT;Vous ne possédez pas assez de coffres de combat pour débuter ce type de série.
PANDORA_STANDARD_RUN_TOOLTIP_TEXT;Débutez une série classique de Pandore. Remportez jusqu'à 6 victoires pour recevoir des coffres de combat et des cartes en récompense.
PURCHASE_PANEL_BUY_MISSING_SOFT_CURRENCY_TEXT;Acheter les {0} {1} qu'il manque ?
PURCHASE_PANEL_GO_TO_SHOP_BUTTON_TEXT;Vers la boutique
PURCHASE_PANEL_OUT_OF_CURRENCY_TEXT;Vous n'avez plus assez de {0}. Visitez la boutique pour y remédier.
REWARD;Récompense
REWARD_ACT;Pack de quêtes déverrouillé
REWARD_ARENA_POINTS;{0}
REWARD_AVATAR;Vous recevez un avatar
REWARD_BLUEPRINT;Nouvelle Formule débloquée !
REWARD_BOOSTER;{0}
REWARD_CARD;Vous recevez {0} carte(s)
REWARD_CARD_BACK;Nouveau dos de carte
REWARD_EMOTE;Nouvelle emote
REWARD_FEATURE_ARENA_ID;Vous avez débloqué le mode Pandore !
REWARD_FEATURE_CRAFTING_ID;Vous avez débloqué l'artisanat !
REWARD_FEATURE_EPIC_CRAFTING_ID;Vous avez débloqué l'artisanat épique !
REWARD_FEATURE_HIGHLANDER_ID;Vous avez débloqué le mode Insurrection !
REWARD_FEATURE_MAIN_MENU_ID;Vous avez débloqué l'éditeur de decks !
REWARD_FEATURE_RANKED_ID;Vous avez débloqué le mode Classé !
REWARD_FEATURE_RARE_CRAFTING_ID;Vous avez débloqué l'artisanat rare !
REWARD_ORIGIN_ACCOUNTACTIVATED;Récompense de vérification du compte
REWARD_ORIGIN_ANNUITY;Cristaux trouvé par Goki
REWARD_ORIGIN_ARENA;Votre récompense
REWARD_ORIGIN_CRAFT;Artisanat terminé !
REWARD_ORIGIN_DAILYASSIGNMENT;Mission du jour
REWARD_ORIGIN_DAILYQUEST;Quête quotidienne accomplie
REWARD_ORIGIN_DEFEAT;Votre récompense
REWARD_ORIGIN_DLCPREMIUM;Compte Premium
REWARD_ORIGIN_DLCFALLOFEVERLIFE;La chute de l'Arbre d'Éternité
REWARD_ORIGIN_EARLYACCESSBUNDLE;Lot accès anticipé
REWARD_ORIGIN_FIRSTDAYVICTORY;Première victoire du jour
REWARD_ORIGIN_HATCH;Éclosion d'œuf
REWARD_ORIGIN_LADDERRESET;Récompense de réinitialisation de classement
REWARD_ORIGIN_LEVEL;Récompense de niveau {0}
REWARD_ORIGIN_LOYALTYPATCH;Récompense du Patch de la Loyauté
REWARD_ORIGIN_MARKET;Achat terminé !
REWARD_ORIGIN_POUCH;Récompense de la Besace de l'Aventurier
REWARD_ORIGIN_QUEST;Récompense de mission
REWARD_ORIGIN_RECRUITMENT;Recrutement
REWARD_ORIGIN_SOLOOBJECTIVE;Objectif atteint
REWARD_ORIGIN_STEAMPACK;Lot Steam
REWARD_ORIGIN_VICTORY;Votre récompense
REWARD_POUCH_POINTS;{0}
REWARD_WELL;Nouveau puit à faeria
TOURNAMENT_ALREADY_SIGNED_UP;Vous êtes inscrit.
TOURNAMENT_DECK_ALREADY_PICKED;Ce deck est déjà sélectionné pour ce tournoi.
TOURNAMENT_DECK_CHANGE_LOST_A_GAME;Vous ne pouvez pas garder un deck avec lequel vous avez perdu une partie.
TOURNAMENT_DECK_FIXED_UNTIL_LOSS;Vous ne pouvez pas changer de deck tant que vous ne perdez pas une partie.
