QUEST_NAME_PUZZLE_DLC_YRUSH_2;Intervention Divine
QUEST_NAME_PUZZLE_DLC_YRUSH_1;Hit and Run
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;Ruée
QUEST_NAME_PUZZLE_DLC_WHALES;Baleine de Jadis
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;La Voix
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;Miroir Déformant
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;L'Ère du Poisson
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;Submergé
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;Yak Rubis OTK
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;Fête des Canons
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;Défenseurs d'Outreciel
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;A Couvert!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;L'Orgueil Précède la Chute
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;Cours de sciences
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;Super Grenouille
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;Le Monstre
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;Cauchemar
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;Ascension
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;Final
QUEST_NAME_PUZZLE_DLC_MAZE;Labyrinthe
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;Héroïne Improbable
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;La Chasse est Ouverte
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;Régicide
QUEST_NAME_PUZZLE_DLC_KAIOS;Domaine de Kaios
QUEST_NAME_PUZZLE_DLC_ISTANU;Lumière Éternelle
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;Ours OTK
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;Amis pour la Vie
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Contre-attaque
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;Le Marteau
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;Le Pouvoir de l'Amitié
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;Le Forgeron
QUEST_NAME_PUZZLE_DLC_GEMSHELL;Choisissez une Carte
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;Le Savoir c'est le Pouvoir
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;Le Bus Magique
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;Conte de Faë
QUEST_NAME_PUZZLE_DLC_EXPLORER;Échange Chromatique
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;Evènements OTK
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;Meule d'ES
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;La Prophétie
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;En Travaux
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;La Moisson
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;Pillard
QUEST_NAME_PUZZLE_DLC_BAERU;Seigneur des Océans
QUEST_NAME_PUZZLE_DLC_AXOLOTL;Grap'xolotl
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;Je Rêve et les Grenouilles Tremblent
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;Pouvoir Insurmontable
QUEST_NAME_LOYALTY_PATCH_03;La Chute de l'Arbre d'Éternité
QUEST_NAME_LOYALTY_PATCH_02;Scylla
QUEST_NAME_LOYALTY_PATCH_01;L'Heure du Marteau
QUEST_NAME_LOYALTY_PATCH_00;Corruption
QUEST_NAME_PUZZLE_54;Puzzle 54
QUEST_NAME_PUZZLE_53;Puzzle 53
QUEST_NAME_PUZZLE_52;Puzzle 52
QUEST_NAME_PUZZLE_51;Puzzle 51
QUEST_NAME_PUZZLE_50;Puzzle 50
QUEST_NAME_PUZZLE_49;Puzzle 49
QUEST_NAME_PUZZLE_48;Puzzle 48
QUEST_NAME_PUZZLE_47;Puzzle 47
QUEST_NAME_PUZZLE_46;Puzzle 46
QUEST_NAME_PUZZLE_45;Puzzle 45
QUEST_NAME_PUZZLE_44;Puzzle 44
QUEST_NAME_PUZZLE_43;Puzzle 43
QUEST_NAME_PUZZLE_42;Puzzle 42
QUEST_NAME_PUZZLE_41;Puzzle 41
QUEST_NAME_PUZZLE_40;Puzzle 40
QUEST_NAME_PUZZLE_39;Puzzle 39
QUEST_NAME_PUZZLE_38;Puzzle 38
QUEST_NAME_PUZZLE_37;Puzzle 37
QUEST_NAME_PUZZLE_36;Puzzle 36
QUEST_NAME_PUZZLE_35;Puzzle 35
QUEST_NAME_PUZZLE_34;Puzzle 34
QUEST_NAME_PUZZLE_33;Puzzle 33
QUEST_NAME_PUZZLE_32;Puzzle 32
QUEST_NAME_PUZZLE_31;Puzzle 31
QUEST_NAME_PUZZLE_30;Puzzle 30
QUEST_NAME_PUZZLE_29;Puzzle 29
QUEST_NAME_PUZZLE_28;Puzzle 28
QUEST_NAME_PUZZLE_27;Puzzle 27
QUEST_NAME_PUZZLE_26;Puzzle 26
QUEST_NAME_PUZZLE_25;Puzzle 25
QUEST_NAME_PUZZLE_24;Puzzle 24
QUEST_NAME_PUZZLE_23;Puzzle 23
QUEST_NAME_PUZZLE_22;Puzzle 22
QUEST_NAME_PUZZLE_21;Puzzle 21
QUEST_NAME_PUZZLE_20;Puzzle 20
QUEST_NAME_PUZZLE_19;Puzzle 19
QUEST_NAME_PUZZLE_18;Puzzle 18
QUEST_NAME_PUZZLE_17;Puzzle 17
QUEST_NAME_PUZZLE_16;Puzzle 16
QUEST_NAME_PUZZLE_15;Puzzle 15
QUEST_NAME_PUZZLE_14;Puzzle 14
QUEST_NAME_PUZZLE_13;Puzzle 13
QUEST_NAME_PUZZLE_12;Puzzle 12
