ACCOUNT_DOES_NOT_EXIST;Compte introuvable.
ACTIVATION_CODE_FAILED;Il semble y avoir un problème avec votre code d'activation.
ACTIVATION_KEY_FAILED;Il semble y avoir un problème avec votre clé d'activation.
ALREADY_IN_GAME;Il semblerait que vous soyez déjà en jeu. Essayez de vous déconnecter et de vous reconnecter.
BAD_CLIENT_VERSION;Il semble que votre version soit obsolète. Essayez de relancer le jeu.
CANNOT_BE_PLAYER_HAS_NO_DECK;Le modérateur a essayé de vous définir comme joueur, mais vous ne possédez pas de deck.
CANNOT_INVITE_FRIEND_DECLINED;Le joueur invité a déjà refusé l'invitation. La demande d'ami doit à présent venir de sa part.
CANNOT_INVITE_FRIEND_DOES_NOT_EXIST;Ce joueur n'existe pas. Veuillez vous assurer de saisir un identifiant correct.
CANNOT_INVITE_FRIEND_OPPONENT;Impossible d'inviter la personne contre laquelle vous jouez. Attendez la fin du match.
CANNOT_INVITE_FRIEND_PROLOGUE;Impossible d'inviter un ami n'ayant pas encore effectué le prologue.
CANNOT_INVITE_FRIEND_REFUSED;Le joueur invité n'accepte pas les demandes d'amis.
CANNOT_MODIFY_DECK_WHILE_SEARCHING;Vous ne pouvez pas modifier votre deck tout en cherchant une partie.
CANNOT_PAUSE_DURING_MULLIGAN;La partie ne peut pas être mise en pause pendant la phase de mulligan.
CANNOT_SET_AS_PLAYER_HAS_NO_DECK;Impossible de définir comme joueur : pas de deck.
CANNOT_SET_YOURSELF_AS_RECRUITER;Vous ne pouvez pas être votre propre recruteur.
CANNOT_SIGN_UP_FREEZE_MODE_ON;Maintenance en cours, réessayez de vous connecter plus tard.
CANNOT_SPECTATE_TOURNAMENT_GAME;Impossible d'être spectateur d'une partie de tournoi.
CANNOT_START_FREEZE_MODE_ON;Impossible de lancer une partie : les serveurs sont saturés. Désolé !
CANNOT_START_SERVER_REBOOTING;Impossible de lancer la partie : le serveur va bientôt redémarrer.
CARD_COPIES_LIMITED;Chaque carte est limitée à 3 exemplaires par deck.
COMMUNITY_EVENT_INACTIVE_OR_DOES_NOT_EXIST;Événement de communauté inactif ou inexistant.
COMMUNITY_EVENT_NO_STEAM_KEYS_LEFT;Clés Steam épuisées, veuillez réessayer plus tard.
CONSTRUCTED_CLOSED;Le mode Classé est fermé pour aujourd'hui
COUPON_ALREADY_USED;Ce coupon a déjà été utilisé.
COUPON_DOES_NOT_EXIST;Code coupon invalide.
