ACTIVATE;<b>Activation</b>
AQUATIC;<b>Aquatique</b>
ARTIFACT;Artéfact
AUTO_HARVEST;<b>Récolte automatique</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Débutant Vert
BLUEPRINT_01.shortdescription;Maîtrisez les forces de la forêt et accordez à votre armée d'humains un surcroît de santé et de mobilité. Établissez un campement près d'un puit à Faeria, puis ruez-vous sur l'orbe adverse !
BLUEPRINT_02.name;Débutant Rouge
BLUEPRINT_02.shortdescription;Les ogres descendent de la montagne, menaçants. Assaillez votre adversaire avec les plus imposants d'entre eux puis achevez-le par le feu.
BLUEPRINT_03.name;Débutant Bleu
BLUEPRINT_03.shortdescription;Utilisez des créatures bondissantes et aquatiques afin de récolter la faeria dans plusieurs puits en même temps. Eclaboussez votre adversaire par la puissance des événemments pour le frapper au moment idéal.
BLUEPRINT_04.name;Débutant Jaune
BLUEPRINT_04.shortdescription;Embrassez les sombres tentations du désert. La pratique de rituels interdits et la mort de vos propres créatures seront les fondements de votre pouvoir. Dépensez votre vie comme une ressource pour prendre l'avantage sur votre adversaire, jusqu'à consumer leur orbe.
BLUEPRINT_05.name;Invasion Bleue
BLUEPRINT_05.shortdescription;Laissez votre besoin en faeria s'emparer de vous. Récoltez-en depuis les puits ennemis, et vos énormes colosses deviendront de moins en moins chers au fil des récoltes.
BLUEPRINT_06.name;Gloire du Combat
BLUEPRINT_06.shortdescription;Écrasez vos ennemis, voyez-les traînés devant vous, et écoutez les lamentations des yaks. Commandez à une armée qui se repaît du combat. Le Don de l'Acier brille avec plus d'ardeur en temps de guerre.
BLUEPRINT_07.name;Croisade Mortelle
BLUEPRINT_07.shortdescription;Pas de quartier ! Foncez sur l'adversaire et attaquez son orbe à tout prix pour renforcer vos Croisés Zélés.
BLUEPRINT_08.name;Le Pacte Ultime
BLUEPRINT_08.shortdescription;Concluez un marché avec les ogres et jouez ces cartes coûteuses pour un prix défiant toute concurrence. Libérez Dragons et Béhémoths pour remporter d'épiques batailles !
BLUEPRINT_09.name;Armada Céleste
BLUEPRINT_09.shortdescription;Commandez aux cieux ! Les Volières renforcerons votre escadrille. Propulsez-vous au cœur des lignes ennemies et laissez la mort fondre sur votre opposant.
BLUEPRINT_10.name;Courroux de la Nature
BLUEPRINT_10.shortdescription;La forêt n'est pas toujours patiente. Précipitez-vous sur l'orbe ennemi et débroussaillez le chemin pour que vos Traqueurs de Dieux puissent pister leur proie naturelle : la tête de votre adversaire !
CHARGE;<b>Charge {0}</b>
COMBAT;<b>Combat</b>
CONVOKE;<b>Convocation</b>
CORRUPT;<b>Corruption</b>
CREATURE;Créature
CURRENCY_COIN;Cristaux
CURRENCY_GEM;Gemmes
DAILY_QUEST_00_NAME;Suprématie
DAILY_QUEST_01_NAME;Fureur
DAILY_QUEST_02_NAME;Déicide
DAILY_QUEST_03_NAME;Jugement
DAILY_QUEST_04_NAME;Conquête
DAILY_QUEST_05_NAME;Tsunami
DAILY_QUEST_06_NAME;Luxuriance
DAILY_QUEST_07_NAME;Enfers
DAILY_QUEST_08_NAME;ouch
DAILY_QUEST_09_NAME;Équilibre
DAILY_QUEST_11_NAME;Miracle
DAILY_QUEST_12_NAME;Démiurge
DAILY_QUEST_13_NAME;Jugement Divin
DAILY_QUEST_14_NAME;Duelliste
DAILY_QUEST_15_NAME;Vétéran
DAILY_QUEST_16_NAME;En quête d'amitié
DAILY_QUEST_18_NAME;En quête d'amitié
DAILY_QUEST_27_NAME;Chasse au trésor
DAILY_QUEST_28_NAME;Confiance en soi
DAILY_QUEST_30_NAME;L'éveil de Pandore
DAILY_QUEST_31_NAME;Regarde et Apprend
DAILY_QUEST_32_NAME;Amis pour la vie
DAILY_QUEST_33_NAME;Paré pour la victoire
DAILY_QUEST_34_NAME;Fais le toi-même
DAILY_QUEST_35_NAME;Maître-Artisan
DAILY_QUEST_COMPLETE_ANY_ACT;Terminez un pack de missions ou de puzzles
DAILY_QUEST_COMPLETE_2_WILD_ACTS;Terminez 4 packs de missions Élite
DAILY_QUEST_COMPLETE_ANY_LANE;Terminez une ligne
DAILY_QUEST_COMPLETE_QUESTS;Accomplissez {0} missions
DAILY_QUEST_COMPLETE_QUESTS_OR_PUZZLES;Accomplissez {0} missions ou puzzles
