ACCEPT;Accepter
ACCOUNT_RECOVERY;Récupération de compte
ACCOUNT_RECOVERY_TITLE;Récupérez votre compte
ACTIVATION_KEY;Clé d'activation
ADD_A_FRIEND;Ajoutez un ami via son identifiant
ADD_NEW_DECK;Nouveau deck
ADVENTURE_POUCH_POINTS;Points de la Besace de l'Aventurier
ALLY_TURN;Tour allié
AMBIENT;Sons ambiants
ARENA_RUN_DECK_NAME;Deck Pandore
BACK;RETOUR
BIND_ACCOUNT_BUTTON;Lier à {0}
BIND_ACCOUNT_LABEL;Déjà un compte Faeria ?
BLUEPRINT_PANEL_TEXT1;Essayez tout d'abord de modifier un des decks préconstruits.
BLUEPRINT_PANEL_TEXT2;Vous pouvez également construire un deck personnalisé en cliquant sur le bouton au-dessous.
BLUEPRINT_PANEL_TITLE;Vous voulez créer votre propre deck ?
BLUEPRINT_REQUIREMENT_LEVEL;VOUS DEVEZ ATTEINDRE LE NIVEAU
BLUEPRINT_REQUIREMENT_QUEST;ACCOMPLISSEZ PLUS DE MISSIONS POUR DÉBLOQUER CETTE FORMULE
BOOSTER_OPENING_GEMSTITLE;Gemmes de rareté
BOSS_DEFEATED;Vaincu
BOSS_NOT_RELEASED;Bientôt disponible
BUILD_YOUR_DECK;Deck personnalisé
CANCEL;Annuler
CARD_LIMIT_MESSAGE;Chaque carte est limitée à 3 exemplaires par deck.
CHAT_ERROR_MESSAGE_TOO_LONG;Message trop long ({0} caractères maximum)
CHAT_ERROR_NOBODY_TO_REPLY_TO;Vous n'avez personne à qui répondre.
CHAT_ERROR_NOT_CONNECTED;Votre connexion a été perdue. Essayez de vous déconnecter puis de vous reconnecter.
CHAT_ERROR_NO_INTERLOCUTOR;Vous ne parlez à personne. Utilisez la commande /w ou la liste d'amis, ou bien cliquez sur un nom d'utilisateur dans la fenêtre de discussion pour envoyer un message.
CHAT_ERROR_ONLY_WITH_FRIENDS;Vous ne pouvez discuter qu'avec les joueurs qui sont vos amis dans Faeria.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} est hors ligne : vous ne pouvez envoyer des messages qu'aux utilisateurs en ligne.
CHAT_GENERIC_WARNING;Les employés d'Abrakam Entertainment ne vous demanderont jamais de leur communiquer votre mot de passe lorsqu'ils vous assisteront. Ne communiquez aucune donnée sensible dans le chat.
CHAT_HINT_USER_BACK_ONLINE;{0} vient de se connecter !
CHAT_HINT_USER_WENT_OFFLINE;{0} vient de se déconnecter.
CHAT_INPUT_PLACEHOLDER;/m destinataire Votre message.
CHAT_TOOLTIP_DND_MODE;Mode Ne pas déranger. Tant qu'il est actif, cette fenêtre ne s'ouvrira pas lorsque vous recevrez des messages. Ils y seront écrits silencieusement.
CHAT_TO_SOMEBODY;À [{0}] : {1}
CHEST_OPENING_NO_MORE_CHEST;Gagnez des niveaux ou terminez les quêtes journalières pour obtenir plus de Coffres !
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;Vous avez tous les objets mythiques disponibles actuellement. Revenez plus tard.
CHOOSE_OTHER_BLUEPRINT;Changer de formule
CLAIM_REWARDS;Recevez votre récompense
CLEAR;Vider
COLLECTION_FILTER_CARD_TYPE;Filtrer par type de carte
COLLECTION_FILTER_FAERIA_COST;Filtrer par coût en Faeria
COLLECTION_MODE;Artisanat
COLLECTION_SEARCH_PLACEHOLDER;Rechercher...
CONFIRM;Confirmer
CONNECTION_LOST_RECONNECTING;Connexion perdue\nTentative de reconnexion...
CONNECTION_QUEUE_CAPTION;Votre place dans la file d'attente :
CONNECTION_QUEUE_TITLE;Les serveurs sont saturés !
CONSTRUCTED_MODE;Mode classé
CONSTRUCTED_RUN_DECK_NAME;Deck construit
CO_OP_POPUP_JOIN_BUTTON_TEXT;Rejoindre
