BOSS_KING_YAKNUS.description;Il y a bien longtemps, les humains et les yaks ont forgé une alliance. Pour décider qui commanderait, leurs chefs se sont battus. Le vainqueur serait servi par le peuple du vaincu pendant 100 ans. Le roi des humains a remporté la victoire, mais la bataille recommence tous les siècles. Ceci est appelé... le Yaknarok.
BOSS_GREEN_GENIE.description;Quand les quatre divins sont tombés, Arboria a abandonné le monde et s'en est retournée dans les Bosquets Étincelants. En ce lieu, le cycle de la vie persiste à travers la voix de Gaea.
BOSS_BLUE_YELLOW_SURVIVAL.description;Magda a exterminé les bandits des côtes célestes qui avaient assassinés sa mère. Leurs esprits maudits sont restés, attaquant quiconque y pénétre.
BOSS_YAKKAR.description;À Yakkaran, l'Avant-Garde des yaks s'entraîne pour une mystérieuse guerre à venir. Leur leader Yakkar a mis en place l'Arène Yakkaran, dans laquelle il enseigne une nouvelle forme de lutte.
BOSS_AZURE_GENIE.description;Il y a longtemps, un grand Empereur a demandé à accéder au savoir interdit d'Udina. Amusée, elle lui a accordé sa requête. Ça ne s'est terminé bien ni pour lui, ni pour son empire.
BOSS_GREEN_RED_SURVIVAL.description;Personne ne sait ce qui a transformé ce paradis un jour verdoyant en verre. Personne ne sait ce qui motive la rage des gardiens qui le défendent. Avertissement : attention aux ogres.
BOSS_YELLOW_GENIE.description;Le Désert Hurlant est la maison du grand Dagdan, seigneur du vent et de la colère. Dagdan s'est rebellé contre le dieu du ciel Astar, refusant de partager le pouvoir de voler. Un jour, une vieille femme vola ce pouvoir à Dagdan. Elle choisit de le partager, et pour sa générosité, Astar lui accorda jeunesse et beauté éternelles. Son nom était Iona. Quand vous voyez une tempête s'élever sans raison, il est probable que ce soit en fait Dagdan en train de rager à propos de ce vol passé.
BOSS_CRIMSON_GENIE.description;La Forge de la Création est l'endroit où le dieu Aoros a forgé des esprits à partir de magie brute. Une de ses plus grandes créations fut Pyrhos, le gardien de la forge. Cependant, Pyrhos sombrait lentement dans la folie à cause de sa solitude. Pour se tenir compagnie, il utilisa la forge pour créer un ami qu'il appela Kojin. Malheureusement, Pyrhos n'était pas un dieu, et de ce fait ne pouvait pas donner vie à un être vraiment immortel.
BOSS_DARK_WISP.description;Un follet solitaire hante cette caverne isolée. Toute tentative pour s'en souvenir a échoué : les notes prises à ce sujet s'évanouissent. Les sorts de vision ne renvoient que des regards vitreux, et les miroirs restent vides. Vous tenez vraiment à vous en approcher ? Mauvaise idée... Très mauvaise idée.
BOSS_FOUR_COLOR_01.description;Même les dieux doivent passer une épreuve s'ils souhaitent visiter le Portail Cosmique. Cette forêt cauchemardesque conjure les échos des créatures les plus terrifiantes au monde. Préparez-vous à mourir.
BOSS_RAIZEON.description;Le Portail Cosmique mène au Nexus, où Raizeon veille sur les réalités primordiales. Mon dieu... Il y a plein d'étoiles !
BOSS_JALMYR.description;Où vont les énigmes non résolues ? Dans les Bassins du Réconfort, là où Jalmyr collecte les choses inexplicables. La frontière entre mythe et réalité y est plus fine. Emmenez vos cartes mythiques : vous en aurez besoin.
LIMITED_BOSS_BATTLE.description;L'Empereur Kaios défie les dieux eux-mêmes. Chaque jour, la première fois que vous triomphez de ses forces, vous gagnerez de l'expérience et quelques points pour votre besace.
OVERSKY_ISLAND_01_MISSION01.description;L'empire est arrivé avant vous à Outreciel. Un de leurs éclaireurs a capturé Fugoro. Il est temps de sauver la grenouille légendaire...
OVERSKY_ISLAND_01_MISSION02.description;L'éclaireur emmenait Fugoro dans ce camp de prisonniers impérial. Que mijote l'empire exactement ? Vainquez le gardien pour le découvrir.
OVERSKY_ISLAND_01_MISSION03.description;Vous avez découvert le plan secret de l'empire. Ils ont volé un œuf sacré et utilisent la magie pour l'empêcher d'éclore. Aidez le bébé à se libérer.
OVERSKY_ISLAND_01_MISSION04.description;Le draco-yak sacré a éclos. Dites lui bonjour.
OVERSKY_ISLAND_02_MISSION01.description;Vous devez réussir quatre épreuves pour mériter l'aide d'Ulani, Chamane d'Outreciel. La première est l'Épreuve de Sagesse.
OVERSKY_ISLAND_02_MISSION02.description;L'honorable Chef Taranga s'occupe de l'Épreuve du Courage. Vainquez-le pour poursuivre votre route.
OVERSKY_ISLAND_02_MISSION03.description;L'aîné Fluffie peut paraitre idiot, mais il maîtrise la vertu de l'humilité. Il n'est pas compliqué de comprendre pourquoi.
OVERSKY_ISLAND_02_MISSION04.description;C'est dans la Lumière d'Eruna qu'Ulani réalise l'Épeuvre de Sérénité. Alors que bien des chamans servent un unique élément, Ulani est aimée des quatre. Elle fera une alliée de choix.
OVERSKY_ISLAND_03_MISSION01.description;Aidez Sir Yakkington à étudier les mystérieuses Chutes des Phosfollets. À l'endroit où l'eau se jette dans le vide, vous trouverez un follet azuré sauvage.
OVERSKY_ISLAND_03_MISSION02.description;Vous avez découvert un follet qui semble lié à l'ancienne Arboria. Peut-être est-ce son enfant ?
OVERSKY_ISLAND_03_MISSION03.description;Vous trouvez un follet de feu qui ressemble étrangement à Kojin, le vieil ami de Pyrhos.
OVERSKY_ISLAND_03_MISSION04.description;Dans les hauteurs élancées des Chutes des Phosfollets, ce follet chuchote le nom  Iona.
OVERSKY_ISLAND_04_MISSION01.description;Yak Sparrow monte la garde à la lisière du Repaire des Pirates. Il est à la tête du Troupeau des Nuages, une bande de yaks du ciel qui profitent de leur mignonnerie pour faire le mal.
OVERSKY_ISLAND_04_MISSION02.description;Une Éolienne légendaire a fait le serment de voler plus haut que n'importe qui avant elle. Les historiens pensaient qu'elle était morte, mais elle a en fait atteint Outreciel et rejoint l'équipage de CAP-10.
OVERSKY_ISLAND_04_MISSION03.description;Le vieux Barbe-Grise fut le premier Pirate du Ciel. Il trouva un méca brisé, le répara, et lui enseigna tout sur la piraterie. À la fin, l'apprenti dépassa le maître.
OVERSKY_ISLAND_04_MISSION04.description;Là-haut chez les forbans, traversant les typhons, huileux jusqu'en son flanc, libre voile d'artimon : un robot malfaisant, mais plus jamais larbin, chassant riches et menant fripouilles à leur destin.
OVERSKY_ISLAND_05_MISSION01.description;Autrefois, seuls ceux dont le cœur était plein d'amour pour toute vie pouvaient franchir cette porte. Rapala en a corrompu le seuil.
OVERSKY_ISLAND_05_MISSION02.description;Les graines du Paradis sont nées dans cette clairière. Rapala a rendu ses gardiens malades de chagrin.
OVERSKY_ISLAND_05_MISSION03.description;Le Temple de Gaea était jadis un lieu de vie et de lumière. Rapala a souillé les lieux avec l'Obscurité Rampante. Si elle s'enracine, elle pourrira jusqu'au cœur même d'Outreciel.
OVERSKY_ISLAND_05_MISSION04.description;Quand la Déesse Gaea donna sa vie pour le monde, elle se réincarna dans l'Arbre d'Éternité, source du merveilleux éden qu'est Outreciel. Rapala est en train de la rendre folle.
OVERSKY_ISLAND_EXPLORER_GLADE;Clairière des Éclaireurs
OVERSKY_ISLAND_ULANI_REALM;Royaume d'Ulani
OVERSKY_ISLAND_WISPLIGHT_FALLS;Chutes des Phosfollets
OVERSKY_ISLAND_PIRATE_AERIE;Repaire des Pirates
OVERSKY_ISLAND_GAEA_NAVEL;Nombril de Gaea
WORLD_LOCATION_VALLEY_OF_YAKS;Montagne Corne-Brume
WORLD_LOCATION_SHIMMERING_GROVE;Le Bosquet Étincelant
WORLD_LOCATION_MAGDAS_RISE;Colline de Magda
WORLD_LOCATION_YAKKARRAN;Yakkaran
WORLD_LOCATION_TOMB_OF_SUNKEN_EMPEROR;Tombe de l'Empereur englouti
WORLD_LOCATION_CRYSTAL_PLAINS;La Jungle de Verre
WORLD_LOCATION_HOWLING_DESERT;Le Désert Hurlant
WORLD_LOCATION_FORGE_OF_CREATION;La Forge de la Création
WORLD_LOCATION_HOLLOWDEEP;Le Creux Profond
WORLD_LOCATION_FOREST_OF_TRIALS;Forêt des Épreuves
WORLD_LOCATION_COSMIC_PORTAL;Le Portail Cosmique
WORLD_LOCATION_POOLS_OF_SOLACE;Bassins du Réconfort
WORLD_LOCATION_SYLAND_ISLES;Îles des Sylandes
WORLD_LOCATION_AERNOST;Aernost
WORLD_LOCATION_DEAD_PLAINS;Mortes-Plaines
WORLD_LOCATION_FOREST_OF_ERIANOR;Forêt d'Erianor
WORLD_LOCATION_MENETHYR;Menethyr
WORLD_LOCATION_DARK_FOREST;Forêt Obscure
WORLD_LOCATION_DARK_FORTRESS;Forteresse Obscure
WORLD_LOCATION_WASTELANDS;Terres Désolées
WORLD_LOCATION_WATERHELD;Port-Marine
WORLD_LOCATION_TRASGAR;Trasgar
WORLD_LOCATION_BRISGAR;Brisgar
WORLD_LOCATION_BLUE_OCEAN;Océan Bleu
WORLD_LOCATION_RED_SEA;Mer Rouge
WORLD_LOCATION_SEA_OF_ELBARACH;Mer d'Elbarach
WORLD_LOCATION_BRISGAR_FOREST;Forêt de Brisgar
WORLD_LOCATION_THE_QUEENS_LAKE;Lac de la Reine
WORLD_LOCATION_REBEL_ISLES;Îles Rebelles
WORLD_LOCATION_GOLDEN_PASS;Passage d'Or
WORLD_LOCATION_KINGDOM_OF_ELBARACH;Royaume d'Elbarach
WORLD_LOCATION_EIDENAR;Eidenar
WORLD_LOCATION_TRITEA;Tritea
WORLD_LOCATION_WARSTORM_GROUNDS;Marches d'Ouraguerre
WORLD_LOCATION_DESERT_OF_ASTAR;Désert d'Astar
WORLD_LOCATION_JAHILA_MARKET;Marché de Jahila
WORLD_LOCATION_LAKE_OF_OBERON;Lac d'Obéron
WORLD_LOCATION_FALCON_ISLES;Îles Faucon
WORLD_LOCATION_RUUNINS_GLADE;Clairière de Ruunin
WORLD_LOCATION_THE_SACRED_RIVER;La Rivière Sacrée
WORLD_LOCATION_WINDFALL_TEMPLE;Temple de l'Aubaine
WORLD_LOCATION_DEVIL_ISLES;Îles du Diable
WORLD_LOCATION_DEVILS_CAVE;Grotte du Diable
WORLD_LOCATION_MISTY_MOUNTAINS;Montagnes Brumeuses
WORLD_LOCATION_PUKEN_PIN;Puken'Pin
WORLD_LOCATION_BAY_OF_AQUALIS;Baie d'Aqualis
WORLD_LOCATION_ARCANITE_ROCKS;Rochers d'Arcanite
WORLD_LOCATION_LAKE_OF_ERIMAR;Lac d'Eirimar
WORLD_LOCATION_LAKE_OF_CALIMAR;Lac de Calimar
