FUGORO_EPIC_03_0001;Ho acquisito nuovi tesori.
FUGORO_EPIC_03_0002;Si dice che questa statua vivente fosse la sorella di Orosei.
FUGORO_EPIC_03_0003;Sario, il Sommo Sacerdote, si è divertito infinitamente con le sue vittime. Letteralmente all'infinito.
FUGORO_EPIC_03_0004;Questo vince la gara annuale di Costruisci uno Sconquassatore migliore!
FUGORO_EPIC_03_0005;Ho dovuto intrufolarmi nella montagna di Garudan per questo gioiellino.
FUGORO_EPIC_03_0006;Il Re pazzo ha creato un'intera armata di Yak Meccanici.
FUGORO_EPIC_03_0007;Qui è racchiuso il segreto di un monaco senza nome. Lo chiamerò Jerry.
FUGORO_EPIC_03_0008;Il Calice col Salice contiene un'infusione di precisione.
FUGORO_EPIC_03_0009;Il cuore delle bestie selvagge si accorda con il ritmo di questo tamburo.
FUGORO_EPIC_03_0010;Questo corno apparteneva a Yaknus in persona.
FUGORO_EPIC_03_0011;Sebbene Aramis sia caduto, la sua lama non ha smesso di combattere.
