KROG_EPIC_01_0001;Benvenuto alla mia festa!
KROG_EPIC_01_0002;Danza per il Re!
KROG_EPIC_01_0003;Che festa!
KROG_EPIC_01_0004;Muovi il tuo yak!
KROG_EPIC_01_0005;Il Re è divertente!
KROG_EPIC_01_0006;Balla il Krog!
KROG_EPIC_01_0007;Adoro questa canzone!
KROG_EPIC_01_0008;Tocca a Krog!
KROG_EPIC_01_0009;Fatevi sentire!
KROG_EPIC_01_0010;Ci servono più yak-mpane!
KROG_EPIC_01_0011;Mai visto uno Yak coi pantaloni?
KROG_EPIC_01_0012;Tutti gli orchi single alzino le mani!
KROG_EPIC_01_0013;Tutti gli orchi dicano Yak!
KROG_EPIC_01_0014;Perché nessuno dice Yak?
KROG_EPIC_01_0015;Ballare non è divertente?
KROG_EPIC_01_0016;Krog... deve riflettere.
KROG_EPIC_01_0017;La festa è finita.
