PROLOGUE_2_0001;Le creature possono estrarre faeria dai pozzi.
PROLOGUE_2_0002;Dominerò TUTTI E QUATTRO i pozzi di faeria.
PROLOGUE_2_0003;Posiziona il tuo Giovane Contadino a fianco di questo pozzo.
PROLOGUE_2_0004;Ciò che resta del tuo faeria verrà conservato per il prossimo turno.
PROLOGUE_2_0005;Cavaliere, raccogli faeria!
PROLOGUE_2_0006;Le creature che si trovano a fianco dei pozzi raccolgono faeria automaticamente.
PROLOGUE_2_0010;Oops, ho lasciato i fornelli accesi! Ti dispiace finire questa battaglia da solo? Grazie!
PROLOGUE_2_0007;Per favore, non attaccarmi.
PROLOGUE_2_0008;E non ti AZZARDARE a rubare il nostro faeria!
PROLOGUE_2_0009;Le carte evento possono essere giocate solo una volta. Scegli attentamente.
