PROLOGUE_5_0001;Buona fortuna…
PROLOGUE_5_0002;Un degno sacrificio.
PROLOGUE_5_0003;Padroneggio TUTTI e quattro gli elementi!
PROLOGUE_5_0004;Fai attenzione. Perdo sempre contro questo idiota.
PROLOGUE_5_0014;La mia mente è infinita!
PROLOGUE_5_0005;La tua morte arriva dal deserto!
PROLOGUE_5_0006;BRUCIA!
PROLOGUE_5_0007;Due nuovi poteri sbloccati!
PROLOGUE_5_0008;Adesso puoi pescare una carta OPPURE ottenere 1 faeria invece di costruire terreni.
PROLOGUE_5_0009;Finisce qui|
PROLOGUE_5_0010;Inchinati di fronte al mio spirito!
PROLOGUE_5_0011;Questa creatura ha Ultime Parole.
PROLOGUE_5_0012;Devi uccidere quello spirito!
PROLOGUE_5_0013;NO! CHE COSA HAI FATTO?
GAMEPAD_PROLOGUE_5_0015;Puoi usare {GAMEPAD_BACK_BUTTONS_L1} e {GAMEPAD_BACK_BUTTONS_R1} per girare le carte nella tua mano.
