SEIFER_EPIC_01_0001;È tempo di una rivincita.
SEIFER_EPIC_01_0002;Questa volta non mi tratterrò.
SEIFER_EPIC_01_0003;La morte migliore è una morte lenta.
SEIFER_EPIC_01_0004;Sangue, ossa, fiamme e massi!
SEIFER_EPIC_01_0005;Mi piaci, hai fegato. Penso che te lo strapperò via!
SEIFER_EPIC_01_0006;Una bella morte è già una ricompensa!
SEIFER_EPIC_01_0007;Credi di aver vinto?!
SEIFER_EPIC_01_0008;Sei più furbo di quanto pensassi.
SEIFER_EPIC_01_0009;Guarisci! Non ho ancora finito di farti male!
SEIFER_EPIC_01_0010;Non aspettarti altra compassione.
