1.cardName;Giovane Contadino
2.cardName;Arciere di Montagna
2.cardText;{ranged_attack}
3.cardName;Guerriero di Syland
4.cardName;Cavaliere di Syland
4.cardText;{gift} - Dona ad una creatura amica {charge|3} per questo turno.
9.cardName;Ingegnere Imperiale
9.cardText;{gift} - Attiva tutte le abilità di produzione alleate.
10.cardName;Mantenete le righe!
10.cardText;Aggiungi due <b>Guardie imperiali</b> 2/3 con {taunt} alla mano.
11.cardName;Fortezza Mobile
12.cardName;Fucina a Vapore
12.cardText;{production} - Una creatura alleata casuale ottiene +1/+0.
13.cardName;Esattore delle Tasse
13.cardText;{combat} - Ottieni {faeria|1}.
14.cardName;Canzone Curativa
14.cardText;Pesca una carta e ottieni 5 punti vita.
15.cardName;Protezione
15.cardText;Fornisci {protection} a una creatura.
16.cardName;Guardia Imperiale
16.cardText;{taunt}\n{last_words} - Ottieni 2 punti vita.
22.cardName;Soldato della Libertà
22.cardText;{haste}
23.cardName;Falò
23.cardText;Dona +1/+1 a una creatura.
24.cardName;Picchiata del Falco
24.cardText;Infligge 1 danno a una creatura.
29.cardName;Maestro Spadaccino
29.cardText;Ottiene +2/+0 durante il tuo turno (quando si trova nella tua mazzo o in gioco)
30.cardName;Yak della Prateria
32.cardName;Attacco Yak
32.cardText;Posiziona tre <b>Yak Arrabbiati</b> 2/2 con {haste}.
33.cardName;Punizione
33.cardText;Infliggi 2 danni ad una creatura. Se è neutrale, infliggi invece 5 danni.
34.cardName;Pupillo della Regina
34.cardText;{protection}
35.cardName;Guardia della Regina
35.cardText;{taunt}\n{combat} - Ottieni {faeria|1}.
36.cardName;Magda, Regina di Meroval
36.cardText;Le tue leggendarie costano {faeria|1} in meno.\n{production} - Aggiungi una leggendaria casuale alla tua mano, diventa {wild}.
37.cardName;Buffone di Corte
37.cardText;{taunt}\n{gift} - Una creatura casuale nella tua mano ottiene +2/+2.
38.cardName;Guardia del Re
38.cardText;{taunt}\n{combat} - Pesca una carta.
39.cardName;Eroe Improbabile
39.cardText;La prima volta che questa creatura combatte e sopravvive, ottiene +3/+3 e {charge|2}.
40.cardName;Magnus, Re di Meroval
40.cardText;{charge|3}\n{combat} - Pesca una carta. Essa ha un costo pari a {faeria|0}.
41.cardName;Appestato
41.cardText;{last_words} - Infligge 2 danni a TUTTE le creature.
42.cardName;Macchina d'assedio
42.cardText;{ranged_attack}\nDopo aver attaccato, ottiene +1/+0.
43.cardName;Sharra, Sterminatrice di Draghi
43.cardText;Sharra ignora tutti i danni pari o superiori a 4.
44.cardName;Carestia
44.cardText;Infligge 1 danno a TUTTE le creature.
45.cardName;Giudice Reale
45.cardText;{options|Pesca una Protezione gratuita.|Pesca una Punizione gratuita.}\n- Aggiungi una <b>Protezione</b> alla tua mano. La puoi usare al costo di {faeria|0}.\n- Aggiungi una <b>Punizione</b> alla tua mano. La puoi usare al costo di {faeria|0}.
46.cardName;Cartografo
46.cardText;{last_words} - Aggiungi una carta <b>Esplorazione</b> alla tua mano.
47.cardName;Statua Scintillante
47.cardText;{taunt}\n{production} - Ottieni 1 punti vita.
48.cardName;Anziano del Villaggio
48.cardText;{last_words} - Pesca una carta.
49.cardName;Cantastorie
49.cardText;{gift} - Ogni giocatore pesca 2 carte e ottiene 2 punti vita.
50.cardName;Monaco Errante
50.cardText;Ogniqualvolta peschi una carta, ottiene +1/+0.
51.cardName;Guardia della Fucina a Vapore
52.cardName;Servitore del Re
52.cardText;{protection}
53.cardName;Giorno dei Draghi
53.cardText;Aggiungi i quattro <b>Draghi</b> elementali alla tua mano. Costano {faeria|3} in meno e diventano {wild}.
54.cardName;Avventuriero Coraggioso
54.cardText;{gift} - Ottiene +2/+2 per ogni creatura nemica adiacente.
55.cardName;Picchiatore
56.cardName;Barone Thulgar
56.cardText;{last_words} - Ogni giocatore pesca una carta. Esse hanno un costo pari a {faeria|0}.
57.cardName;Saggezza
57.cardText;Pesca 2 carte.
58.cardName;Yak da Guerra
58.cardText;Ottiene +2/+0 fintanto che il tuo avversario ha 10 punti vita o meno.
59.cardName;Difensore della Patria
59.cardText;{taunt}\n{gift} - Se sei stato attaccato durante il turno precedente, evoca un altro <b>Difensore della Patria</b>.
60.cardName;Assassino della Regina
60.cardText;{deathtouch}
61.cardName;Fuorilegge
61.cardText;{last_words} - Il tuo avversario pesca una carta e ottiene {faeria|2}.
62.cardName;Cacciatore di Fortuna
62.cardText;Ogniqualvolta questa creatura raccoglie faeria, una creatura casuale che controlli ottiene +1/+1.
63.cardName;Ranger Straniero
63.cardText;{gift} - Aggiungi un <b>Falò</b> alla tua mano.
64.cardName;Torre di Drenaggio
64.cardText;I pozzi di faeria sono vuoti.\n{production} - Infliggi un danno a questa struttura.\n{last_words} - Riempi tutti i pozzi di faeria.
65.cardName;Esploratore della Giungla
65.cardText;Ha +1/+1 mentre controlli {blue}{blue} e +0/+2 mentre controlli {green}{green}
66.cardName;Esploratore di Vulcani
66.cardText;Ha +1/+1 mentre controlli {blue}{blue} e +2/+0 mentre controlli {red}{red}
67.cardName;Esploratore di Oasi
67.cardText;Ha +1/+1 mentre controlli {blue}{blue} e +1/+1 mentre controlli {yellow}{yellow}
68.cardName;Esploratore della Taiga
68.cardText;Ha +2/+0 mentre controlli {red}{red} e +0/+2 mentre controlli {green}{green}
69.cardName;Esploratore della Savana
69.cardText;Ha +1/+1 mentre controlli {yellow}{yellow} e +0/+2 mentre controlli {green}{green}
70.cardName;Esploratore delle Rocce
70.cardText;Ha +2/+0 mentre controlli {red}{red} e +1/+1 mentre controlli {yellow}{yellow}
71.cardName;Pesce Rubino
71.cardText;{aquatic}
72.cardName;Ladruncolo
72.cardText;{options|Ottiene +2/+2|Pesca 2 carte.}\n- Ottiene +2/+2.\n- Pesca 2 carte.
73.cardName;Sorgente Gabriana
73.cardText;{production} - Ottieni {faeria|3}. Infliggi un danno a questa struttura.
74.cardName;Tyranax
75.cardName;Incantatrice Gabriana
75.cardText;{gift} - Il valore di attacco di un'altra creatura diventa pari all'ammontare dei suoi punti vita.
76.cardName;Comandante Gabriano
76.cardText;{aquatic}, {charge|2}\nLa prima volta che peschi una carta con costo base {faeria|7} o maggiore, questa creatura ottiene +1/+1 e {flying}.
77.cardName;Guardiano Gabriano
77.cardText;{gift} - Fornisci {protection} a una creatura.
82.cardName;Mochi di Primavera
82.cardText;{gift} - La prossima carta con costo base pari a {faeria|7} o maggiore che peschi costerà {faeria|3} in meno.
83.cardName;Tritone Guerriero
83.cardText;{jump}
84.cardName;Bestia Mistica
84.cardText;{gift} - Ottiene +2/+0 e {jump} se evocata vicino ad un pozzo avversario.
85.cardName;Fantasma dello Specchio
85.cardText;{gift} - Trasforma un'altra creatura in un <b>Fantasma dello specchio</b> 5/5.
86.cardName;Tritone Cuoco
86.cardText;{gift} - Aggiungi un <b>Banchetto di Tritone</b> alla tua mano.
87.cardName;Rospo Ninja
87.cardText;{jump}, {haste}
88.cardName;Ranificare
88.cardText;Trasforma una creatura in una <b>Rana</b> 2/2 con {jump}.
93.cardName;Incantesimo Gabriano
93.cardText;Il valore di attacco di una creatura equivale all'ammontare dei suoi punti vita.\nPesca una carta.
94.cardName;Creazione di Aurora
94.cardText;Aggiungi alla tua mano la copia di una creatura. Costa {faeria|5} in meno.
95.cardName;Persecutore delle Tenebre
95.cardText;Se hai giocato un evento in questo turno, costa {faeria|2} in meno.
96.cardName;Vortice Incantato
96.cardText;Aggiungi 2 carte blu casuali alla tua mano.
97.cardName;Nobile Gabriano
97.cardText;{gift} - Evoca un <b>Pesce rubino</b> 1/1 (puoi posizionarlo su una casella oceano).
102.cardName;Adepto di Aurora
102.cardText;Ottiene +1/+1 ogniqualvolta lanci una carta evento.
103.cardName;Guscio Corazzato
103.cardText;{aquatic}
104.cardName;Baeru, l'Onda Primordiale
104.cardText;{aquatic}\n{production} - Trasforma tutte le terre adiacenti in {blue}
105.cardName;Tempesta
105.cardText;{last_words} - Ottieni {faeria|10}.
106.cardName;Fiaba della Vecchia Tartaruga
106.cardText;Pesca 3 carte. Tutte le creature pescate costeranno {faeria|2} in meno.
107.cardName;Colosso Frangionde
107.cardText;Costa {faeria|1} in meno per ogni volta che hai prelevato da un pozzo nemico (costo minimo: {faeria|4}).
108.cardName;Orosei, Sogno degli Abissi
108.cardText;{flying}, {charge|2}\n{gift} - Trasforma tutte le tue creature in creature che costano {faeria|2} in più.
