ACT_FUGORO.marketDescription;Gioca con potenti carte tesoro e batti Fugoro al suo stesso gioco.\nContiene 7 missioni.\nRicompense totali: 4 Forzieri da Battaglia e 600 unità d'oro.
ACT_FUGORO.marketName;Pacchetto missioni di Fugoro
ACT_FUGORO.marketShortDescription;Pacchetto missioni
ACT_HOAKA.marketDescription;Sfida il leggendario stratega Tritone sui suoi tabelloni unici.\nContiene 7 missioni.\nRicompense totali: 4 Forzieri da Battaglia e 600 unità d'oro.
ACT_HOAKA.marketName;Pacchetto missioni di Hoaka
ACT_HOAKA.marketShortDescription;Pacchetto missioni
ACT_JALMYR_02.marketDescription;Padroneggia il gioco risolvendo gli indovinelli di Sphinx.\nContiene 7 Puzzles.\nTotale Ricompense: 4 Forzieri da Battaglia e 600 unità d'oro.
ACT_JALMYR_02.marketName;Jalmyr, atto II
ACT_JALMYR_02.marketShortDescription;Pacchetto missioni
ACT_JALMYR_03.marketDescription;Padroneggia il gioco risolvendo gli indovinelli di Sphinx.\nContiene 7 Puzzles.\nTotale Ricompense: 4 Forzieri da Battaglia e 600 unità d'oro.
ACT_JALMYR_03.marketName;Jalmyr, atto III
ACT_JALMYR_03.marketShortDescription;Pacchetto missioni
ACT_JALMYR_04.marketDescription;Padroneggia il gioco risolvendo gli indovinelli di Sphinx.\nContiene 7 Puzzles.\nTotale Ricompense: 4 Forzieri da Battaglia e 600 unità d'oro.
ACT_JALMYR_04.marketName;Jalmyr, atto IV
ACT_JALMYR_04.marketShortDescription;Pacchetto missioni
ACT_MAGDA.marketDescription;Crea combinazioni di tesori uniche per sconfiggere la potente Regina\nContiene 7 missioni.\nRicompense totali: 4 Forzieri da Battaglia e 600 unità d'oro.
ACT_MAGDA.marketName;Pacchetto missioni di Magda
ACT_MAGDA.marketShortDescription;Pacchetto missioni
AVATAR_ADVENTURER.marketDescription;Segui le orme del giovane Fugoro nel suo viaggio ad Altocielo!\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_AURORA.marketDescription;I passatempi preferiti di Aurora sono addestrare futuri eroi, modificare il corso della storia e gustare nuove qualità di tè.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_BLUE_ELEMENTAL_2.marketDescription;Talvolta i più saggi incontrano questa creatura nelle rovine di città dimenticate.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_BLUE_ELEMENTAL_3.marketDescription;Compare al cospetto dei saggi ed esaudisce i loro desideri. Rivelando il futuro alla loro vista.\n\n Questo oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_BOMB_SLINGER.marketDescription;Niente mozza il fiato come una scarica di bombe.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_CAP_10.marketDescription;Molto tempo fa questo robot fu creato come difensore. Ora è stato riprogrammato per la pirateria!
AVATAR_DARK_WISP.marketDescription;Uno spirito dispettoso che si annida negli spazi che separano le cose.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_FUGORO.marketDescription;Fugoro è il mercante più audace al mondo. Egli si intrufola spesso furtivamente dietro Orosei per rubare i tesori di Pandora.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_GREEN_ELEMENTAL_2.marketDescription;Molti pazzi giurano di aver visto questa creatura negli angoli più remoti delle foreste incontaminate.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_GREEN_ELEMENTAL_3.marketDescription;Compare al cospetto dei pazzi ed esaudisce i loro desideri. Deforma le foreste secondo i loro capricci.\n\n Questo oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_HOAKA.marketDescription;Un maestro nell'arte della guerra, Hoaka sarebbe imbattibile se non inventasse continuamente nuove inattuabili tattiche.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_JALMYR.marketDescription;La misteriose sfinge osserva il cosmo e fa da mentore agli dei.\n\nQuesto oggetto sblocca una nuovo sfera per il tuo avatar.
AVATAR_KELDRAN_EMISSARY.marketDescription;Gli Emissari del Vento portano sino alle sacre nubi preghiere scritte dalla gente comune. \n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_KHALIM.marketDescription;Un prodigio dell'ordine Djidan, Khalim sfidò il suo maestro e prese parte a una guerra temporale.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_KINGS_GUARD.marketDescription;Le spade possono spezzarsi, ma un ideale no. La Guardia del Re non cadrà mai.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_KOBOLD_MERCENARY.marketDescription;I Signori del sottosuolo dominano il regno sotterraneo dei coboldi. Là dove il debole serve il forte, questi temibili guerrieri hanno raggiunto l'apice soverchiando un mucchio di deboli rivali.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_KROG.marketDescription;Krog crede di essere il Re degli Orchi. Nessun altro lo crede.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_MAGDA.marketDescription;Le più grandi leggende al mondo sono semplici pedine nella scacchiera di Magda.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_OGRE_BATTLER.marketDescription;Sebbene il suo vero nome sia Brutar, questo Orco combattente è noto ai suoi amici come signor Clubbles."\n\nQuesto elemento sblocca un nuovo avatar per la tua sfera."
AVATAR_RAIZEON.marketDescription;Questa entità domina tutti gli elementi e mette alla prova chiunque entri nel suo dominio.
AVATAR_RAPALA.marketDescription;Alcuni pesci vogliono solo vedere il mondo bruciare.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_RED_ELEMENTAL_2.marketDescription;Alcuni Condottieri avvistano questa creatura mentre il sole sorge sul campo di battaglia.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_RED_ELEMENTAL_3.marketDescription;Compare al cospetto dei signori della guerra ed esaudisce i loro desideri. Riunire le montagne sotto un comune vessillo.\n\n Questo oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_RUUNIN.marketDescription;Ruunin è l'immortale guardiano dell'ordine naturale. Ella è sopravvissuta a ogni amico che abbia conosciuto.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_SAGAMI_ELDER.marketDescription;Non sono gli anni che determinano l'età di un Sagami, ma i nemici che ha ucciso.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_SEIFER.marketDescription;Seifer si è fatto un nome incenerendo regni corrotti. Avendo conquistato i demoni e ottenuto il loro potere, le urla disperate del nemico sono ormai musica per le sue orecchie.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_SHARRA.marketDescription;Quando era solo una bambina, la paura di Sharra divampò con il suo villaggio.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_SHAYTAN_ASSASSIN.marketDescription;Gli Assassini di Shaytan sono i messaggeri dell'Arciprete. Il suo messaggio è sempre lo stesso.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.
AVATAR_TAESA.marketDescription;Le incantatrici di Gabrian esercitano l'antica magia della creazione. Insieme ai Cavalieri delle Onde, sono le guardiane dell'equilibrio spirituale all'interno del regno gabriano.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_TARANGA.marketDescription;I Rakoa non avevano una parola per guerra, ma Taranga sapeva che si trattava di qualcosa a cui opporsi.
AVATAR_TARUM.marketDescription;Tarum è stato il primo seme mai piantato. Ha visto ergersi le montagne, la nascita dei draghi e la caduta degli dei antichi.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_THE_EGG.marketDescription;Trovato nel sogno di un drago, alcuni credono che l'Uovo sia segno di un futuro migliore. Un giorno si schiuderà.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_ULANI.marketDescription;I bambini Rakoani ridono col vento, danzano con le onde, dormono fra le foglie, e parlano di segreti col fuoco. Ulani non è mai realmente cresciuto.
AVATAR_VERDURAN_FORCE.marketDescription;Nessun taglialegna vi infilza la sua accetta una seconda volta.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_YAKKAR.marketDescription;L'elite degli elite. Questi yaks proteggono la bilancia della realtà.
AVATAR_YAK_CYNICAL.marketDescription;Questo yak è qui per porre e rispondere a una semplice domanda: "Qual è il miglior mazzo di faeria?"
AVATAR_YAK_DRAGON.marketDescription;Ad alcuni draghi piacciono gli yak. Gli piacciono MOLTO.
AVATAR_YAK_FANCY.marketDescription;Sir Yakkinton è l'ospite più ambito al mondo per una cena.
AVATAR_YAK_FARMER.marketDescription;Puoi morire da eroe o vivere da contadino.
AVATAR_YAK_FAT.marketDescription;Il momento in cui uno yak è più felice è quando sta per esser mangiato. - "Il Libro di Seifer"
AVATAR_YAK_FORCER.marketDescription;Hai il diritto di rimanere peloso.
AVATAR_YAK_HIPPIE.marketDescription;Nella vita, non dimenticarti di fermarti e mangiare rose.
AVATAR_YAK_KING.marketDescription;Lord Yaknus, primo del suo nome, è conosciuto come colui che ruppe i gioghi e fu la bestia di tutti i fardelli.
AVATAR_YAK_PIRATE.marketDescription;Il leggendario capitano Yak Sparrow. Flagello dei sette cieli.
AVATAR_YELLOW_ELEMENTAL_2.marketDescription;Nelle ore precedenti a un assassinio, questa creatura può apparire a colui che lo eseguirà.\n\nQuesto oggetto sblocca un nuovo avatar per la sfera.
AVATAR_YELLOW_ELEMENTAL_3.marketDescription;Compare al cospetto degli assassini ed esaudisce i loro desideri. Cospargere la sabbia con il sangue.\n\n Questo oggetto sblocca un nuovo avatar per la tua sfera.
BACKER_STARTER_PACK_BUNDLE.marketDescription;30 Forzieri da Battaglia, 10 monete Pandora, 1 sfera e 1 avatar.
BACKER_STARTER_PACK_BUNDLE.marketName;Bundle Kickstarter
BLUE_CHEST_1.marketDescription;Ogni Forziere da Battaglia contiene 4 carte casuali di cui non possiedi tutte le copie.
BLUE_CHEST_1.marketName;1 Forziere da Battaglia
BLUE_CHEST_1.marketShortDescription;4 Nuove carte!
BLUE_CHEST_12.marketDescription;Ogni Forziere da Battaglia contiene 4 carte casuali di cui non possiedi tutte le copie.
BLUE_CHEST_12.marketName;12 Forziere da Battaglia
BLUE_CHEST_12.marketShortDescription;48 Nuove carte!
BLUE_CHEST_14.marketDescription;Ciascun Forziere da Battaglia contiene 5 carte casuali. La carta più rara trovata può essere cambiata con una carta casuale della stessa rarità.
BLUE_CHEST_14.marketName;14 Forzieri da Battaglia
BLUE_CHEST_14.marketShortDescription;70 nuove carte!
BLUE_CHEST_2.marketDescription;Ogni Forziere da Battaglia contiene 4 carte casuali di cui non possiedi tutte le copie.
BLUE_CHEST_2.marketName;2 Forziere da Battaglia
BLUE_CHEST_2.marketShortDescription;8 Nuove carte!
BLUE_CHEST_25.marketDescription;Ciascun Forziere da Battaglia contiene 5 carte casuali. La carta più rara trovata può essere cambiata con una carta casuale della stessa rarità.
BLUE_CHEST_25.marketName;25 Forzieri da Battaglia
BLUE_CHEST_25.marketShortDescription;Arricchisci la tua collezione
BLUE_CHEST_26.marketDescription;Ciascun Forziere da Battaglia contiene 5 carte casuali. La carta più rara trovata può essere cambiata con una carta casuale della stessa rarità.
BLUE_CHEST_26.marketName;260 Forziere da Battaglia
BLUE_CHEST_26.marketShortDescription;130 nuove carte!
BLUE_CHEST_4.marketDescription;Ciascun Forziere da Battaglia contiene 5 carte casuali. La carta più rara trovata può essere cambiata con una carta casuale della stessa rarità.
BLUE_CHEST_4.marketName;4 Forziere da Battaglia
BLUE_CHEST_4.marketShortDescription;20 nuove carte!
BLUE_CHEST_5.marketDescription;Ogni Forziere da Battaglia contiene 4 carte casuali di cui non possiedi tutte le copie.
BLUE_CHEST_5.marketName;5 Forziere da Battaglia
BLUE_CHEST_5.marketShortDescription;20 Nuove carte!
BLUE_CHEST_55.marketDescription;Ciascun Forziere da Battaglia contiene 5 carte casuali. La carta più rara trovata può essere cambiata con una carta casuale della stessa rarità.
BLUE_CHEST_55.marketName;55 Forzieri da Battaglia
BLUE_CHEST_55.marketShortDescription;275 nuove carte!
BUNDLE_BLUE_CHEST_24.marketDescription;Contiene 12 Forzieri da Battaglia (60 carte) e 1 carta Leggendaria casuale. Può essere acquistato una sola volta.
BUNDLE_BLUE_CHEST_24.marketName;Pacchetto Battaglia del principiante
BUNDLE_BLUE_CHEST_24.marketShortDescription;120 nuove carte!
BUNDLE_EMOTE_AURORA.marketName;Bundle Emote di Aurora
BUNDLE_EMOTE_SEIFER.marketName;Bundle Emote di Seifer
BUNDLE_EMOTE_SHARRA.marketName;Bundle Emote di Sharra
BUNDLE_PINK_CHEST_8.marketName;Pacchetto Mitico del principiante
BUNDLE_PREMIUM_1.marketName;Pacchetto Premio
BUNDLE_SET_ADVENTURER.marketDescription;Segui le orme del giovane Fugoro nel suo viaggio ad Altocielo!\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_ADVENTURER.marketName;Il Set dell'Avventuriero
BUNDLE_SET_AURORA.marketDescription;I passatempi preferiti di Aurora sono addestrare futuri eroi, modificare il corso della storia e gustare nuove qualità di tè.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_AURORA.marketName;Set di Aurora
BUNDLE_SET_FUGORO.marketDescription;Avventuroso, saggio, ladro, temerario, romantico. Lui è... il rospo più interessante al mondo (e il proprietario di questo emporio)!\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_FUGORO.marketName;Il set di Fugoro
BUNDLE_SET_HOAKA.marketDescription;Un maestro nell'arte della guerra, Hoaka sarebbe imbattibile se non inventasse continuamente nuove inattuabili tattiche.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_HOAKA.marketName;Il Set di Hoaka
BUNDLE_SET_KHALIM.marketDescription;Un prodigio dell'ordine Djidan, Khalim sfidò il suo maestro e prese parte a una guerra temporale.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_KHALIM.marketName;Il set di Khalim
BUNDLE_SET_KROG.marketDescription;Krog crede di essere il Re degli Orchi. Nessun altro lo crede.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_KROG.marketName;Set di Krog
BUNDLE_SET_MAGDA.marketDescription;Le più grandi leggende al mondo sono semplici pedine nella scacchiera di Magda.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_MAGDA.marketName;Set di Magda
BUNDLE_SET_RUUNIN.marketDescription;Ruunin è l'immortale guardiano dell'ordine naturale. Ella è sopravvissuta a ogni amico che abbia conosciuto.\n\nQuesto oggetto sblocca un nuovo avatar per la tua sfera.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_RUUNIN.marketName;Il set di Ruunin
BUNDLE_SET_SEIFER.marketDescription;Seifer si è fatto un nome incenerendo regni corrotti. Avendo conquistato i demoni e ottenuto il loro potere, le urla disperate del nemico sono ormai musica per le sue orecchie.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_SEIFER.marketName;Set di Seifer
BUNDLE_SET_SHARRA.marketDescription;Quando era solo una bambina, la paura di Sharra divampò con il suo villaggio.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_SHARRA.marketName;Set di Sharra
BUNDLE_SET_TARUM.marketDescription;Tarum è stato il primo seme mai piantato. Ha visto ergersi le montagne, la nascita dei draghi e la caduta degli dei antichi.\n\nQuesto set sblocca l'avatar, la sfera, i pozzi, il retro della carta e le 6 emote del personaggio.
BUNDLE_SET_TARUM.marketName;Il Set di Tarum
CARD_BACK_ADVENTURER.marketDescription;Segui le orme del giovane Fugoro nel suo viaggio ad Altocielo!\n\nQuesto oggetto sblocca un nuovo retro della carta per il tuo mazzo.
CARD_BACK_AURORA.marketDescription;I passatempi preferiti di Aurora sono addestrare futuri eroi, modificare il corso della storia e gustare nuove qualità di tè.\n\nQuesto oggetto sblocca un nuovo retro per il mazzo.
CARD_BACK_BASIC_COPPER.marketDescription;Baldurion le forgiò da rame e zaffiri fusi.\n\nQuesto oggetto sblocca un nuovo retro delle carte per il tuo mazzo.
CARD_BACK_BASIC_DIAMOND.marketDescription;Baldurion le forgiò da rame e zaffiri fusi.\n\nQuesto oggetto sblocca un nuovo retro delle carte per il tuo mazzo.
CARD_BACK_BOMB_SLINGER.marketDescription;Niente mozza il fiato come una scarica di bombe.\n\nQuesto oggetto sblocca un nuovo retro per il mazzo.
CARD_BACK_FAERIA_WORLD_CIRCUIT.marketDescription;Hai guadagnatoil rispetto dei dragoni.\n\nQuesto oggetto sblocca un nuovo retro delle carte per il tuo mazzo.
CARD_BACK_FUGORO.marketDescription;Fugoro è il mercante più audace al mondo. Egli si intrufola spesso furtivamente dietro Orosei per rubare i tesori di Pandora.\n\nQuesto oggetto sblocca un nuovo retro della carta per il tuo mazzo.
CARD_BACK_HOAKA.marketDescription;Un maestro nell'arte della guerra, Hoaka sarebbe imbattibile se non inventasse continuamente nuove inattuabili tattiche.\n\nQuesto oggetto sblocca un nuovo retro della carta per il tuo mazzo.
