QUEST_NAME_PUZZLE_DLC_YRUSH_2;Intervento Divino
QUEST_NAME_PUZZLE_DLC_YRUSH_1;Colpisci e Fuggi
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;Fuga Precipitosa
QUEST_NAME_PUZZLE_DLC_WHALES;Balene di un Tempo
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;La voce
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;Specchio Distorto
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;Regno del Pesce
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;Per lo Sciame
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;OTK Yak di Rubino
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;Party di Cannoni
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;Difensori di Altocielo
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;Al Riparo!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;L'Orgoglio è più importante di una Caduta
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;Ora di Scienze
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;Super Rospo
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;Il Mostro
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;Incubo
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;Ascensione
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;Finale
QUEST_NAME_PUZZLE_DLC_MAZE;Labirinto
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;Eroe Inaspettato
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;La Caccia è aperta
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;Regicida
QUEST_NAME_PUZZLE_DLC_KAIOS;Dominio di Kaios
QUEST_NAME_PUZZLE_DLC_ISTANU;Luce Eterna
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;OTK Urside
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;Amici Fino alla Fine
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Contrattacco
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;Il Martello
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;Il Potere dell'Amicizia
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;Il Fabbro
QUEST_NAME_PUZZLE_DLC_GEMSHELL;Scegli una Carta
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;Conoscenza è Potere
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;Scuolabus Magico
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;Storie di Fate
QUEST_NAME_PUZZLE_DLC_EXPLORER;Scambio Cromatico
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;OTK Eventi
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;Es of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;La Profezia
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;In Costruzione
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;La Raccolta
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;Spazzino
QUEST_NAME_PUZZLE_DLC_BAERU;Signore dell'Oceano
QUEST_NAME_PUZZLE_DLC_AXOLOTL;Hookxolotl
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;Io sogno, e le Rane Tremano
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;Potere Travolgente
QUEST_NAME_LOYALTY_PATCH_03;Caduta di Eternavita
QUEST_NAME_LOYALTY_PATCH_02;Scylla
QUEST_NAME_LOYALTY_PATCH_01;Tempo del Martello
QUEST_NAME_LOYALTY_PATCH_00;Corruzione
QUEST_NAME_PUZZLE_54;Puzzle 54
QUEST_NAME_PUZZLE_53;Puzzle 53
QUEST_NAME_PUZZLE_52;Puzzle 52
QUEST_NAME_PUZZLE_51;Puzzle 51
QUEST_NAME_PUZZLE_50;Puzzle 50
QUEST_NAME_PUZZLE_49;Puzzle 49
QUEST_NAME_PUZZLE_48;Puzzle 48
QUEST_NAME_PUZZLE_47;Puzzle 47
QUEST_NAME_PUZZLE_46;Puzzle 46
QUEST_NAME_PUZZLE_45;Puzzle 45
QUEST_NAME_PUZZLE_44;Puzzle 44
QUEST_NAME_PUZZLE_43;Puzzle 43
QUEST_NAME_PUZZLE_42;Puzzle 42
QUEST_NAME_PUZZLE_41;Puzzle 41
QUEST_NAME_PUZZLE_40;Puzzle 40
QUEST_NAME_PUZZLE_39;Puzzle 39
QUEST_NAME_PUZZLE_38;Puzzle 38
QUEST_NAME_PUZZLE_37;Puzzle 37
QUEST_NAME_PUZZLE_36;Puzzle 36
QUEST_NAME_PUZZLE_35;Puzzle 35
QUEST_NAME_PUZZLE_34;Puzzle 34
QUEST_NAME_PUZZLE_33;Puzzle 33
QUEST_NAME_PUZZLE_32;Puzzle 32
QUEST_NAME_PUZZLE_31;Puzzle 31
QUEST_NAME_PUZZLE_30;Puzzle 30
QUEST_NAME_PUZZLE_29;Puzzle 29
QUEST_NAME_PUZZLE_28;Puzzle 28
QUEST_NAME_PUZZLE_27;Puzzle 27
QUEST_NAME_PUZZLE_26;Puzzle 26
QUEST_NAME_PUZZLE_25;Puzzle 25
QUEST_NAME_PUZZLE_24;Puzzle 24
QUEST_NAME_PUZZLE_23;Puzzle 23
QUEST_NAME_PUZZLE_22;Puzzle 22
QUEST_NAME_PUZZLE_21;Puzzle 21
QUEST_NAME_PUZZLE_20;Puzzle 20
QUEST_NAME_PUZZLE_19;Puzzle 19
QUEST_NAME_PUZZLE_18;Puzzle 18
QUEST_NAME_PUZZLE_17;Puzzle 17
QUEST_NAME_PUZZLE_16;Puzzle 16
QUEST_NAME_PUZZLE_15;Puzzle 15
QUEST_NAME_PUZZLE_14;Puzzle 14
QUEST_NAME_PUZZLE_13;Puzzle 13
QUEST_NAME_PUZZLE_12;Puzzle 12
QUEST_NAME_PUZZLE_11;Puzzle 11
QUEST_NAME_PUZZLE_10;Puzzle 10
QUEST_NAME_PUZZLE_09;Puzzle 09
QUEST_NAME_PUZZLE_08;Puzzle 08
QUEST_NAME_PUZZLE_07;Puzzle 07
QUEST_NAME_PUZZLE_06;Puzzle 06
QUEST_NAME_PUZZLE_05;Puzzle 05
QUEST_NAME_PUZZLE_04;Puzzle 04
QUEST_NAME_PUZZLE_03;Puzzle 03
QUEST_NAME_PUZZLE_02;Puzzle 02
QUEST_NAME_PUZZLE_01;Puzzle 01
ACT_LOYALTY_PATCH;Patch della Lealtà
ACT_JALMYR_04;Jalmyr Atto IV
ACT_JALMYR_03;Jalmyr Atto III
ACT_JALMYR_02;Jalmyr Atto II
ACT_JALMYR_01;Jalmyr Atto I
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;Per la Causa
ACT_DLC_ELEMENTS_TRIBES;Tribù di Altocielo
ACT_DLC_ELEMENTS_REDBLUE;Opere a Vapore
ACT_DLC_ELEMENTS_PAIRS;Coppia
ACT_DLC_ELEMENTS_MOBILITY;Cavalca i Venti
ACT_DLC_ELEMENTS_LEGENDS;Leggende
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;Creature Pericolose
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;Combo Attraverso i Secoli
ACT_DLC_ELEMENTS_CHALLENGE;Sfida
ACT_DLC_ELEMENTS_BOARD_CLEAR;Pulire la Lavagna
ACT_PUZZLE_TUTORIAL;Puzzle Tutorial
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;Attacco degli Yak
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;Evento di Estinzione
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;Distese degli Shedim
QUEST_NAME_PUZZLE_DLC_HIPPO;Sacrificio Valoroso
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;Baloo Arrabbiato
QUEST_NAME_PUZZLE_DLC_COMMANDER;Pesci Fuor d'Acqua
QUEST_NAME_PUZZLE_DLC_BARRACKS;Pesci Volanti
