ACCOUNT_DOES_NOT_EXIST;Questo account non esiste:
ACTIVATION_CODE_FAILED;Sembra che ci sia un problema con il tuo codice di attivazione.
ACTIVATION_KEY_FAILED;Sembra che ci sia un problema con la tua chiave di attivazione.
ALREADY_IN_GAME;Sembra che tu stia già giocando. Prova a uscire e accedere nuovamente.
BAD_CLIENT_VERSION;Sembra che la tua versione non sia aggiornata. Prova a riavviare il gioco.
CANNOT_BE_PLAYER_HAS_NO_DECK;Il moderatore ha tentato di aggiungerti come giocatore, ma non possiede un mazzo.
CANNOT_INVITE_FRIEND_DECLINED;Il giocatore che hai cercato di invitare ha già rifiutato l'invito. Ora dovrà essere lui a effettuare la richiesta di amicizia.
CANNOT_INVITE_FRIEND_DOES_NOT_EXIST;Questo giocatore non esiste. Assicurati di inserire un id giocatore corretto.
CANNOT_INVITE_FRIEND_OPPONENT;Non puoi invitare qualcuno contro cui stai giocando. Aspetta la fine della partita.
CANNOT_INVITE_FRIEND_PROLOGUE;Non puoi invitare un amico che non ha completato il prologo.
CANNOT_INVITE_FRIEND_REFUSED;Il giocatore che hai cercato di invitare non accetta richieste di amicizia.
CANNOT_MODIFY_DECK_WHILE_SEARCHING;Non puoi modificare il tuo mazzo mentre cerchi una partita.
CANNOT_PAUSE_DURING_MULLIGAN;Non puoi mettere in pausa una partita durante la fase di mulligan.
CANNOT_SET_AS_PLAYER_HAS_NO_DECK;Non può essere aggiunto ai giocatori poiché non possiede un mazzo.
CANNOT_SET_YOURSELF_AS_RECRUITER;Non puoi impostare te stesso come reclutatore.
CANNOT_SIGN_UP_FREEZE_MODE_ON;La manutenzione è in corso, per favore prova a connetterti più tardi.
CANNOT_SPECTATE_TOURNAMENT_GAME;Non puoi assistere a una partita di torneo.
CANNOT_START_FREEZE_MODE_ON;Impossibile iniziare partite: server occupati. Ci scusiamo per il disagio!
CANNOT_START_SERVER_REBOOTING;Impossibile iniziare partite: i server verranno riavviati a breve. Ci scusiamo per il disagio!
CARD_COPIES_LIMITED;Ci possono essere massimo 3 copie di una carta in un mazzo.
COMMUNITY_EVENT_INACTIVE_OR_DOES_NOT_EXIST;L'evento della community non è attivo o non esiste
COMMUNITY_EVENT_NO_STEAM_KEYS_LEFT;Non ci sono più chiavi di Steam, riprova più tardi
CONSTRUCTED_CLOSED;Oggi la modalità Classificata non è disponibile, prova una sfida Pandora.
COUPON_ALREADY_USED;Questo buono è già stato utilizzato.
COUPON_DOES_NOT_EXIST;Il buono non è valido.
COUPON_EXPIRED;Il buono che hai inserito è scaduto.
COUPON_ITEM_ALREADY_OWNED;Gli articoli di questo buono sono già in tuo possesso.
COUPON_MAX_ACTIVATIONS_REACHED;Questo buono ha raggiunto il limite massimo di attivazioni e non può più essere attivato.
COUPON_RESERVED;Questo buono è riservato per un altro account.
DECK_SIZE_LIMITED;Un mazzo non può contenere più di {0} carte.
DISCONNECTED_FROM_WORLD;La partita è terminata, ma sembra che tu non sia più connesso al server principale. Riconnettiti!
FRIEND_DOES_NOT_ALLOW_SPECTATE;Il tuo amico non ammette spettatori durante le sue partite.
FRIEND_NO_LONGER_IN_GAME;Il tuo amico non è più in una partita.
GAME_CANCELED_NO_GAMESERVER_FOUND;Nessun server di gioco è stato trovato nella tua zona! Riprova più tardi.
GAME_CANCELED_PLAYER_DID_NOT_REPLY_IN_TIME;La tua partita è stata annullata (uno dei giocatori non ha risposto in tempo).
GAME_CANCELED_SERVER_DID_NOT_REPLY_IN_TIME;La tua partita è stata annullata (il server non ha risposto in tempo).
