ACTIVATE;<b>Attiva</b>
AQUATIC;<b>Acquatico</b>
ARTIFACT;Artefatto
AUTO_HARVEST;<b>Autoestrazione</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Starter Verde
BLUEPRINT_01.shortdescription;Abbraccia la forza della foresta e dona al tuo esercito di umani più salute e mobilità. Crea un punto d'appoggio vicino a un pozzo di Faeria, quindi corri verso la sfera!
BLUEPRINT_02.name;Starter Rosso
BLUEPRINT_02.shortdescription;Gli orchi marciano minacciosamente giù dalle montagne. Assalta il tuo avversario con con la loro imponente stazza, quindi termina il lavoro con il fuoco.
BLUEPRINT_03.name;Starter Blu
BLUEPRINT_03.shortdescription;Fai un tuffo grazie al potere degli eventi! Usa le creature acquatiche o con balzo per estrarre contemporaneamente da più pozzi di Faeria. Colpisci il tuo nemico quando è il momento giusto.
BLUEPRINT_04.name;Starter Giallo
BLUEPRINT_04.shortdescription;Assapora le oscure delizie del deserto. Pratica rituali proibiti e ottieni potere dalla morte delle tue creature. Utilizza la tua vita come risorsa per ottenere un vantaggio sul tuo avversario e distruggere la sua sfera.
BLUEPRINT_05.name;Invasione Blu
BLUEPRINT_05.shortdescription;Lascia che la tua avidità di raccogliere ulteriore Faeria ti rafforzi. Concentrati sull'estrazione dai pozzi nemici e i tuoi giganteschi colossi costeranno di meno dopo ogni raccolta.
BLUEPRINT_06.name;Gloria in combattimento
BLUEPRINT_06.shortdescription;Schiaccia i tuoi nemici, osservali indietreggiare, e ascolta i lamenti degli yak. Comanda un esercito che vive per combattere. Il dono dell'acciaio brilla più luminoso in tempo di guerra.
BLUEPRINT_07.name;Crociata mortale
BLUEPRINT_07.shortdescription;Non mostrare alcuna pietà. Punta direttamente al tuo avversario e attacca la sua sfera ad ogni costo.
BLUEPRINT_08.name;L'accordo finale
BLUEPRINT_08.shortdescription;Concludi un accordo con gli orchi e gioca costose carte ad un prezzo ridotto. Scatena Draghi e Behemoth per mietere epiche vittorie.
BLUEPRINT_09.name;Armata dei cieli
