ACCEPT;Accetta
ACCOUNT_RECOVERY;Recupero Account
ACCOUNT_RECOVERY_TITLE;Recupera il tuo Account
ACTIVATION_KEY;Chiave di attivazione
ADD_A_FRIEND;Aggiungi un amico tramite il suo id
ADD_NEW_DECK;Nuovo Mazzo
ADVENTURE_POUCH_POINTS;Punti Borsa Avventura
ALLY_TURN;Turno dell'alleato
AMBIENT;Ambiente
ARENA_RUN_DECK_NAME;Mazzo Pandora
BACK;INDIETRO
BIND_ACCOUNT_BUTTON;Associa a {0}
BIND_ACCOUNT_LABEL;Hai già un account Faeria?
BLUEPRINT_PANEL_TEXT1;Come prima cosa cerca di modificare uno dei mazzi pre costruiti.
BLUEPRINT_PANEL_TEXT2;Puoi costruire anche un mazzo personalizzato premendo il tasto sottostante.
BLUEPRINT_PANEL_TITLE;Vuoi costruire il tuo mazzo?
BLUEPRINT_REQUIREMENT_LEVEL;RAGGIUNGI LIVELLO
BLUEPRINT_REQUIREMENT_QUEST;COMPLETA ALTRE QUESTS PER SBLOCCARE QUESTA FORMULA
BOOSTER_OPENING_GEMSTITLE;Gemme della rarità
BOSS_DEFEATED;Sconfitto
BOSS_NOT_RELEASED;Da rilasciare
BUILD_YOUR_DECK;Mazzo personalizzato
CANCEL;Annulla
CARD_LIMIT_MESSAGE;Ci possono essere massimo 3 copie di una carta in un mazzo.
CHAT_ERROR_MESSAGE_TOO_LONG;Messaggio troppo lungo (max. {0} caratteri).
CHAT_ERROR_NOBODY_TO_REPLY_TO;Non c'è nessuno a cui rispondere.
CHAT_ERROR_NOT_CONNECTED;Il collegamento si è interrotto. Prova a disconnetterti e a riconnetterti di nuovo.
CHAT_ERROR_NO_INTERLOCUTOR;Nessuna conversazione in corso. Usa il comando /w, la lista amici o fai clic su un nome utente nella chat per inviare un messaggio.
CHAT_ERROR_ONLY_WITH_FRIENDS;Su Faeria puoi comunicare solo con utenti amici.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} è offline. Puoi inviare messaggi solo agli utenti connessi.
CHAT_GENERIC_WARNING;Ricorda che gli addetti della Abrakam Entertainment non ti chiederanno mai la password quando ti offrono assistenza. Non comunicare dati sensibili via chat.
CHAT_HINT_USER_BACK_ONLINE;{0} è di nuovo online!
CHAT_HINT_USER_WENT_OFFLINE;{0} è ora offline.
CHAT_INPUT_PLACEHOLDER;/w nomeUtente Il tuo messaggio.
CHAT_TOOLTIP_DND_MODE;Modalità Non disturbare. Mentre è attiva, questa finestra non si aprirà quando ricevi un messaggio. I messaggi verranno registrati silenziosamente.
CHAT_TO_SOMEBODY;A [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;Sali di livello o completa le Missioni Giornaliere per ottenere più Forzieri!
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;Al momento possiedi tutti gli oggetti mitici. Torna più tardi.
CHOOSE_OTHER_BLUEPRINT;Cambia Formula
CLAIM_REWARDS;Reclama il tuo premio
CLEAR;Cancella
COLLECTION_FILTER_CARD_TYPE;Filtra per tipo di carta
COLLECTION_FILTER_FAERIA_COST;FIltra per costo in Faeria
COLLECTION_MODE;Creazione
COLLECTION_SEARCH_PLACEHOLDER;Cerca…
CONFIRM;Conferma
CONNECTION_LOST_RECONNECTING;Connessione persa\nRiconnessione in corso…
CONNECTION_QUEUE_CAPTION;La tua posizione in coda è:
CONNECTION_QUEUE_TITLE;I server sono pieni!
CONSTRUCTED_MODE;Modalità Classificata
CONSTRUCTED_RUN_DECK_NAME;Hai sbloccato la modalità Classificata!
CO_OP_POPUP_JOIN_BUTTON_TEXT;Unisciti
CO_OP_POPUP_LOCKED_BUTTON_TEXT;Gioca
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;Devi completare le missioni precedenti per sbloccarlo.
CO_OP_POPUP_ALLY_SELECTION_TITLE;Invita il tuo alleato
CO_OP_POPUP_NO_ALLY;Nessun alleato disponibile
CO_OP_LOBBY_CANCELLED;Il tuo alleato ha annullato la missione
COUPON_REDEEM;Riscatta
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;Non è possibile disincantare una carta mentre sei in attesa di una giocare una partita.
CRAFT_LEGENDARY_ERROR;Non puoi creare carte leggendarie
CRAFT_GOLD_CARD_ERROR;Non puoi creare carte mitiche
CRAFT_FOURTH_CARD;Hai già 3 o più copie di questa carta
CRAFT_NOT_ENOUGH_CHARGES;Non hai abbastanza carica per creare una carta
CRAFT_FULLY_CHARGED;Pieno
CRAFT_ACCOUNT_LEVEL_TOO_LOW;Devi essere di livello {0} o superiore per creare questa carta
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;Crea
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;Disincanta
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;Disincanta tutte le carte in eccesso
CRAFT_MODE_UNAVAILABLE_TOOTIP;Devi essere al livello {0} per Plasmare
CRAFT_SECOND_LEGENDARY_CARD;Hai già questa carta leggendaria
CREATE_BLUEPRINT_DECK;Crea
CREATE_YOUR_ACCOUNT;Crea il tuo account
DAILY_REWARD_NEXT;Prossima
DAILY_REWARD_TITLE;Ricompensa della connessione giornaliera
DAILY_REWARD_POPUP_TITLE;Premio di connessione giornaliera!
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;Mostra mitiche?
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;Standard
DECKEDITOR_SAVETEXT;Salva
DECKLAYOUT_INCOMPLETE_TEXT;Incompleto
DECKSELECTION_SOLO_INFO;Questa è la schermata di selezione del mazzo per la modalità Missioni. Torna al menu principale per creare o modificare mazzi.
DECK_EDITOR_BUY_BATTLE_CHEST;Compra dei Forzieri da Battaglia per avere altre carte.
DECK_EDITOR_FILTER_NO_RESULT;Nessuna carta corrisponde ai tuoi criteri di ricerca.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;Non possiedi alcuna carta blu.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;Non hai carte verdi.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;Non hai carte neutrali.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;Non possiedi alcuna carta rossa.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;Non possiedi alcuna gialla blu.
DECK_SIZE;Dimensioni mazzo:
DECK_SLOT_PURCHASE;+5 Slot per i Mazzi
DELETE;Elimina
DISCONNECT;Disconnesso
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;Devi possedere più di {0} carte per Disincantare
DONE;Completato
DROP_RUN;Abbandona
DYNAMIC_BUNDLE_CONFIRM_WARNING;Bundle Dinamico: Possiedi già oggetti di questo bundle, il prezzo sottostante è stato adeguatamente scontato.
EDIT;Modifica
ELITE_MISSIONS_BUTTON_TEXT;I Boss del Mondo
ELITE_MISSIONS_BUTTON_TOOLTIP;Richiede livello {0}
EMAIL_ADDRESS;Indirizzo e-mail
EMOTE_MENU_GREETINGS;Salve
EMOTE_MENU_OOPS;Oops
EMOTE_MENU_TAUNT;Provocazione
EMOTE_MENU_UNIQUE;Campione
