BOSS_KING_YAKNUS.description;Tanto tempo fa, gli umani e gli yak strinsero un'alleanza. Per decidere chi avrebbe preso il comando, i due sovrani si batterono. Il vincitore sarebbe stato servito dal popolo dell'altro per 100 anni. Il re degli umani vinse, ma ogni cento anni la battaglia si ripete. Questa battaglia è chiamata... Yaknarok.
BOSS_GREEN_GENIE.description;Quando le quattro divinità caddero, Arboria abbandonò il mondo e tornò al Boschetto Scintillante. Qui la vita è davvero circolare e la voce di Gaea persiste.
BOSS_BLUE_YELLOW_SURVIVAL.description;Magda sterminò i banditi deli litorali celesti che avevano ucciso sua madre. Gli spiriti maledetti della battaglia indugiano qui, attaccando chiunque si avvicini.
BOSS_YAKKAR.description;A Yakkaran, l'Avanguardia Yak si allena in vista di una misteriosa e futura guerra. Il loro capo Yakkar gestisce l'Arena di Yakkaran dove insegna una nuove strategie di guerra.
BOSS_AZURE_GENIE.description;Molto tempo fa un grande Imperatore desiderò la conoscenza proibita da Udina. Ella, entusiasta, acconsentì alla sua richiesta. Non andò a finire bene per lui ed il suo impero.
BOSS_GREEN_RED_SURVIVAL.description;Nessuno sa cosa trasformò quello che un tempo era un verde paradiso in vetro. Nessuno sa cosa spinse i guardiani infuriati a difenderlo. Avvertimento: occhio agli ogre.
BOSS_YELLOW_GENIE.description;Il Deserto Ululante è la dimora del grande Dagdan, signore del vento e della furia.
BOSS_CRIMSON_GENIE.description;La Forgia della Creazione è dove le porte di Pandora furono inizialmente create, e gli dei forgiarono le anime da pura magia. Una delle più grandi creazioni fu Pyrhos, il guardiano della forgia. Tuttavia, Pyrhos lentamente impazzì nel suo isolamento. Per farsi compagnia, egli usò la forgia per creare un'amico di nome Kojin. Sfortunamente Pyrhos non era un dio, e non riuscì a creare un essere immortale.
BOSS_DARK_WISP.description;Un solo spiritello infesta questa solitaria caverna. Tutti i tentativi di conoscerla sono falliti. Appunti scritti a riguardo svaniscono. Incantesimi per vedere il futuro ritornano sguardi vacui e specchi vuoti. Ti stai davvero avvicinando? Non farlo. Davvero.
BOSS_FOUR_COLOR_01.description;Anche gli dei devono essere messi alla prova se desiderano visitare il Portale Cosmico. Questa foresta da incubo evoca echi delle creature più terrificanti del mondo. Preparati a morire.
BOSS_RAIZEON.description;Il Portale Cosmico conduce al Nexus, dove Raizeon veglia sulle realtà originarie. Mio dio... è pieno di stelle.
BOSS_JALMYR.description;Dove vanno gli indovinelli senza soluzione? Alle pozze della consolazione, dove Jalmyr colleziona cose sconosciute. Il confine tra il mito e la realtà qui si confonde. Porta con te le tue carte mitiche. Ti serviranno.
LIMITED_BOSS_BATTLE.description;L'imperatore Kaios sta sfidando gli dei stessii. Ogni giorno, la prima volta che sconfiggi le sue armate guadagnerai esperienza e qualche punto per la tua borsa.
