FUGORO_EPIC_03_0001;新しいお宝を手に入れたぞ。
FUGORO_EPIC_03_0002;この生きてる像はオローセイのお姉さんだったと言われている。
FUGORO_EPIC_03_0003;大祭司サーリオは彼の犠牲者で永遠に楽しんでいた。文字通り永遠に。
FUGORO_EPIC_03_0004;これは毎年の「よりいいグランドシェイカーを作成する」コンテストで受賞しているぞ。
FUGORO_EPIC_03_0005;この綺麗な宝物のため、ガルダンの山に潜入したんだ。
FUGORO_EPIC_03_0006;熱狂した王はクロックワークヤクで宮廷を作った。
FUGORO_EPIC_03_0007;これは無名の修道士の秘密を保持するものだ。 私は彼を「ジェリー」と呼ぶ。
FUGORO_EPIC_03_0008;宮殿の聖杯は真実の醸造所にある。
FUGORO_EPIC_03_0009;このドラムの鼓動は野生動物のそれと同じだ。
FUGORO_EPIC_03_0010;その昔、この角笛はヤクナスに属していた。
FUGORO_EPIC_03_0011;アラミスは落ちたが、彼の刃は戦いを断念しなかった。
