PROLOGUE_5_0001;幸運を…
PROLOGUE_5_0002;価値ある犠牲である。
PROLOGUE_5_0003;私は４つの属性すべてをマスターした！
PROLOGUE_5_0004;気をつけて。いつもこのバカ野郎には負けてしまう。
PROLOGUE_5_0014;私の精神は無限だ！
PROLOGUE_5_0005;貴様の死は砂漠から来るだろう！
PROLOGUE_5_0006;燃えろ！
PROLOGUE_5_0007;2つの新しい力が解放されました！
PROLOGUE_5_0008;あなたは土地を作る代わりにカードを１枚引くか、１フェアリアを得ることができます。
PROLOGUE_5_0009;これで終わりだ！
PROLOGUE_5_0010;私の精神の前に屈せよ！
PROLOGUE_5_0011;このクリーチャーは遺言を持っています。
PROLOGUE_5_0012;この魂を殺さなくてはいけない。
PROLOGUE_5_0013;ああ！何をした！？
GAMEPAD_PROLOGUE_5_0015;{GAMEPAD_BACK_BUTTONS_L1} および.{GAMEPAD_BACK_BUTTONS_R1}.を使用して手札のカードを順番に切り替えることができます。
