1.cardName;ファームボーイ
2.cardName;ヒルトップアーチャー
2.cardText;{ranged_attack}
3.cardName;サイランドの戦士
4.cardName;サイランドの馬術家
4.cardText;{gift} - このターン対象の他の味方クリーチャー1体は {charge|3} を得る。
9.cardName;帝国のエンジニア
9.cardText;{gift} - 味方全ての生産能力を起動させる。
10.cardName;戦線を維持せよ！
10.cardText;{taunt} を持つ<b>帝国の番人</b>を2枚手札に加える。
11.cardName;歩く要塞
12.cardName;蒸気精製所
12.cardText;{production} - ランダムに選ばれた味方クリーチャー1体は+1/+0を得る。
13.cardName;収税官
13.cardText;{combat} - {faeria|1} を得る。
14.cardName;治癒の歌
14.cardText;あなたはカードを１枚引き、5ライフを得る。
15.cardName;保護措置
15.cardText;対象のクリーチャー1体は{protection}を得る。
16.cardName;帝国の番人
16.cardText;{taunt}\n{last_words} - あなたは2ライフを得る。
22.cardName;自由の闘士
22.cardText;{haste}
23.cardName;キャンプファイアー
23.cardText;対象のクリーチャー1体は+1/+1を得る。
24.cardName;ハヤブサの急降下
24.cardText;対象のクリーチャー1体に1ダメージを与える。
29.cardName;剣の達人
29.cardText;あなたのターンの間+2/+0を得る。（手札の中にあるかプレイしている間）
30.cardName;草原のヤク
32.cardName;ヤクアタック
32.cardText;{haste}を持つ2/2の<b>怒ったヤク</b>を3体召喚する。
33.cardName;処罰
33.cardText;対象のクリーチャー1体に2ダメージを与える。それがニュートラルのクリーチャーならば、代わりに5ダメージを与える。
34.cardName;女王のお気に入り
34.cardText;{protection}
35.cardName;女王の護衛
35.cardText;{taunt}\n{combat} - {faeria|1}を得る。
36.cardName;マーロバルの女王　マグダー
36.cardText;あなたのレジェンドのカードのコストは{faeria|1}少なくなる。\n{production} - ランダムなレジェンドのカードを手札に加え、それを{wild}にする。
37.cardName;宮廷の道化師
37.cardText;{taunt}\n{gift} - ランダムに選ばれたあなたの手札のクリーチャー1体に+2/+2を与える。
38.cardName;王の護衛
38.cardText;{taunt}\n{combat} - カードを1枚引く。
39.cardName;見込みのないヒーロー
39.cardText;このクリーチャーが初めて戦闘して生き残った時、+3/+3と{charge|2}を得る。
40.cardName;マーロバルの王　マグナス
40.cardText;{charge|3}\n{combat} - カードを1枚引く。 それのコストを{faeria|0}にする。
41.cardName;伝染病の運搬人
41.cardText;{last_words} - 全てのクリーチャーに2ダメージを与える。
42.cardName;攻城兵器
42.cardText;{ranged_attack}\nこのクリーチャーが攻撃するたび、+1/+0を得る。
43.cardName;ドラゴンスレイヤー　シャーラー
43.cardText;このクリーチャーは4以上のダメージを無効化する。
44.cardName;飢饉
44.cardText;全てのクリーチャーに1ダメージを与える。
45.cardName;王家の裁判官
45.cardText;{options|{faeria|0}コストの<b>保護措置</b> を1枚手札に加える。|{faeria|0}コストの<b>処罰</b>を1枚手札に加える。}\n-  {faeria|0}コストの<b>保護措置</b> を1枚手札に加える。\n- {faeria|0}コストの<b>処罰</b>を1枚手札に加える。
46.cardName;地図製作者
46.cardText;{last_words} - <b>探検</b>を1枚手札に加える。
47.cardName;キラキラ光る像
47.cardText;{taunt}\n{production} - あなたは1ライフを得る。
48.cardName;村の長老
48.cardText;{last_words} - カードを1枚引く。
49.cardName;ストーリーテラー
49.cardText;{gift} - それぞれのプレイヤーは、カードを2枚引き、2ライフを得る。
50.cardName;さすらう修道士
50.cardText;あなたがカードを1枚引くたび、+1/+0を得る。
51.cardName;鍛冶場の執行者
52.cardName;忠実な信者
52.cardText;{protection}
53.cardName;竜の日
53.cardText;4枚の<b>竜</b>を手札に加え、それらを{wild}にする。それらのコストは{faeria|3}少なくなる。
54.cardName;向こう見ずな冒険家
54.cardText;{gift} - 隣接する敵クリーチャー1体ごとに+2/+2を得る。
55.cardName;メイスマン
56.cardName;サルガー男爵
56.cardText;{last_words} - それぞれのプレイヤーはカードを1枚引く。それのコストは{faeria|0}になる。
57.cardName;知恵
57.cardText;カードを2枚引く。
58.cardName;戦いのヤク
58.cardText;対戦相手のライフが10以下の場合+2/+0を持つ。
59.cardName;母国の擁護者
59.cardText;{taunt}\n{gift} - あなたのオーブが前のターンに攻撃されていた場合、<b>母国の擁護者</b>を召喚する。
60.cardName;女王の暗殺者
60.cardText;{deathtouch}
61.cardName;追われた無法者
61.cardText;{last_words} - 対戦相手はカードを1枚引き、{faeria|2}を得る。
62.cardName;幸運の狩人
62.cardText;このクリーチャーがフェアリアを収穫するたび、ランダムな味方クリーチャーに+1/+1を与える。
63.cardName;辺境のレンジャー
63.cardText;{gift} - <b>キャンプファイアー</b>を1枚手札に加える。
64.cardName;帝国の配水管
64.cardText;全ての井戸を空にする。\n{production} - このストラクチャーに1ダメージを与える。\n{last_words} - 全ての井戸にフェアリアが再び湧く。
65.cardName;雨林の探検家
65.cardText;あなたが{blue}{blue}をコントロールしている間+1/+1を、{green}{green}をコントロールしている間+0/+2を得る。
66.cardName;カルデラの探検家
66.cardText;あなたが{blue}{blue}をコントロールしている間+1/+1を、{red}{red}をコントロールしている間+2/+0を得る。
67.cardName;オアシスの探検家
67.cardText;あなたが{blue}{blue}をコントロールしている間+1/+1を、{yellow}{yellow}をコントロールしている間+1/+1を得る。
68.cardName;タイガの探検家
68.cardText;あなたが{red}{red}をコントロールしている間+2/+0を、{green}{green}をコントロールしている間+0/+2を得る。
69.cardName;サバンナの探検家
69.cardText;あなたが{yellow}{yellow}をコントロールしている間+1/+1を、{green}{green}をコントロールしている間+0/+2を得る。
70.cardName;砂岩の探検家
70.cardText;あなたが{red}{red}をコントロールしている間+2/+0を、{yellow}{yellow}をコントロールしている間+1/+1を得る。
71.cardName;ルビーフィッシュ
71.cardText;{aquatic}
72.cardName;ロアーの泥棒
72.cardText;{options|+2/+2を得る。|カードを2枚引く。}\n- +2/+2を得る。\n- カードを2枚引く。
73.cardName;ギャブリアの貯水槽
73.cardText;{production} - {faeria|3}を得る。このストラクチャーに1ダメージを与える。
74.cardName;ティラナックス
75.cardName;ギャブリアの女魔術師
75.cardText;{gift} - 対象の他のクリーチャー1体の攻撃値をライフと同じにする。
76.cardName;ギャブリアの海軍中佐
