LOADING_HINT_QUEST_0;助言：毎ターン{faeria|3}を得ます。
LOADING_HINT_QUEST_1;助言：使ってないフェアリアは次ターンに持ち越します。
LOADING_HINT_QUEST_2;助言：能力は各カードの上部に説明されています。
LOADING_HINT_QUEST_3;助言：敵オーブ近くに土地を作成しよう。
LOADING_HINT_QUEST_4;助言：とげウィスプは成長する前に倒そう。
LOADING_HINT_QUEST_5;助言：Faeriaには4つの色があります。 各色には独自の土地タイプがあります。
LOADING_HINT_QUEST_6;助言：ルーニンは、森の古代の、不滅な護り手です。
LOADING_HINT_QUEST_7;助言：赤カードは燃える山々の力を使います。
LOADING_HINT_QUEST_8;サイファーは壊れた王国の灰に彼の名前を燃やした。
LOADING_HINT_QUEST_9;助言：跳躍を持つクリーチャーは、障害物を飛び越えて、どの方向にも2つのスペースまで移動できます。
LOADING_HINT_QUEST_10;助言：敵の水生クリーチャーを妨害する土地を作ろう。
LOADING_HINT_QUEST_11;助言：カリムはアグレッシブです。入念にオーブを守りましょう。
LOADING_HINT_QUEST_13;まだただの子供だった頃、シャーラーの恐怖心は彼女の村とともに焼け落ちた。
LOADING_HINT_QUEST_20;マグダーはマーロバルの女王です。英雄と悪役は、彼女の壮大な計画の内の道具に過ぎません。
LOADING_HINT_QUEST_25;数マイル離れたところからでも、クログのダンスパーティーは遠くの雷鳴に間違われることがよくあります。
LOADING_HINT_QUEST_26;タラムはこの世で植えられた最初の種である。 彼は山の登場、ドラゴンの誕生、古代の神の堕落を見てきた
LOADING_HINT_QUEST_29;タラムの力は徐々に強くなります　急いで倒そう！
LOADING_HINT_QUEST_30;ホーアカーは常に新しいボードを発明しています。
LOADING_HINT_QUEST_48;アーロラーの趣味は未来の英雄を指導することと新しいお茶の味を楽しむことだ。
LOADING_HINT_QUEST_49;ディジダンの秩序の天才、カリムは主人に背を向け、世界的な戦争に入った。
LOADING_HINT_QUEST_54;いくつかの魚はただ世界が燃えるのを見たいと思っています。
LOADING_HINT_QUEST_64;神秘的なジャルミーは宇宙を見て、神々に教える。
LOADING_HINT_QUEST_117;助言：パンドラで見つけられるトレジャーは強力なカードです。
LOADING_HINT_QUEST_118;フーゴロは歴史の偉大な遺物を収集する旅をします。
LOADING_HINT_RANDOM_DEATHTOUCH_ONLY_IF_DAMAGE;助言：接死は、ダメージが与えられた場合にのみクリーチャーを破壊するので加護を貫通しません。
LOADING_HINT_RANDOM_TIKIS_CAN_TARGET_THEMSELVES;助言：ティキ族の世話人とティキ族の笛吹きは自分自身をターゲットにできる。
LOADING_HINT_RANDOM_FROGS_PLACED_ON_LAKES;助言：カエル召還のカエルは湖でしか召喚できません。
