ACT_FUGORO.marketDescription;強力なトレジャーを使ってフーゴロをやっつけます。\n7ミッションがあります。\n報酬は４バトルチェストと600ゴールドです。
ACT_FUGORO.marketName;フーゴロのミッションパック
ACT_FUGORO.marketShortDescription;ミッションパック
ACT_HOAKA.marketDescription;ユニークなボードで策士として有名なトライトンにチャレンジします。\n7ミッションがあります。\n報酬は４バトルチェストと600ゴールドです。
ACT_HOAKA.marketName;ホアーカのミッションパック
ACT_HOAKA.marketShortDescription;ミッションパック
ACT_JALMYR_02.marketDescription;スフィンクスのなぞなぞを解くことでフェアリアをマスターします。\n10ミッションがあります。\n報酬は４バトルチェストと600ゴールドです。
ACT_JALMYR_02.marketName;ジャルミー 第Ⅱ幕
ACT_JALMYR_02.marketShortDescription;ミッションパック
ACT_JALMYR_03.marketDescription;スフィンクスのなぞなぞを解くことでフェアリアをマスターします。\n10ミッションがあります。\n報酬は４バトルチェストと600ゴールドです。
ACT_JALMYR_03.marketName;ジャルミー 第Ⅲ幕
ACT_JALMYR_03.marketShortDescription;ミッションパック
ACT_JALMYR_04.marketDescription;スフィンクスのなぞなぞを解くことでフェアリアをマスターします。\n10ミッションがあります。\n報酬は４バトルチェストと600ゴールドです。
ACT_JALMYR_04.marketName;ジャルミー 第Ⅳ幕
ACT_JALMYR_04.marketShortDescription;ミッションパック
ACT_MAGDA.marketDescription;ユニークな宝物とのコンボをマスターして強力な女王を打ち負かしましょう。\n7ミッションがあります。\n報酬は４バトルチェストと600ゴールドです。
ACT_MAGDA.marketName;マグダーのミッションパック
ACT_MAGDA.marketShortDescription;ミッションパック
AVATAR_ADVENTURER.marketDescription;若きフーゴロのオーバースカイの旅の歩みを辿ろう！  \n\nこのアイテムによりオーブ用の新しいアバターを使用可能になります。
AVATAR_AURORA.marketDescription;アーロラーの趣味は未来の英雄を指導すること、歴史の流れを導くこと、新しいお茶の味を楽しむことだ。\n\nこのアイテムにより、あなたは新しいアバターを使用可能になります。
AVATAR_BLUE_ELEMENTAL_2.marketDescription;忘れられた都市の遺跡の中で、賢者はこのクリーチャーに出会うことがあるだろう。\n\nこのアイテムにより、あなたは新しいアバターを使用可能になります。
AVATAR_BLUE_ELEMENTAL_3.marketDescription;彼は賢人の前に現れ、未来を自分の目で見通したいというその願いを成就させる。\n\nこのアイテムにより、あなたは新しいアバターを使用可能になります。
AVATAR_BOMB_SLINGER.marketDescription;人生の価値は呼吸の回数で決まる訳ではないが、あなたの呼吸を止めるのはその爆弾だろう。\n\nこのアイテムにより、あなたは新しいアバターを使用可能になります。
AVATAR_CAP_10.marketDescription;その昔、このメカは守る側として作られた。そして今、彼は空賊として再プログラムされている！
AVATAR_DARK_WISP.marketDescription;事物の間に生きるいたずらな霊魂。\n\nこのアイテムにより、あなたは新しいアバターを使用可能になります。
AVATAR_FUGORO.marketDescription;フーゴロは世界一冒険心旺盛な商人だ。パンドラの宝を盗むためにオロセイの後ろをこっそりと通ることがある。\n\nこのアイテムはオーブ用の新しいアバターを解除する。
AVATAR_GREEN_ELEMENTAL_2.marketDescription;手つかずの森の奥深くで、狂人は時にこのクリーチャーに出会うだろう。\n\nこのアイテムにより、あなたは新しいアバターを使用可能になります。
AVATAR_GREEN_ELEMENTAL_3.marketDescription;彼は狂人の前に現れ、思いのまま森を飛び回りたいというその願いを成就させる。\n\nこのアイテムにより、あなたは新しいアバターを使用可能になります。
AVATAR_HOAKA.marketDescription;戦闘の主ホアーカは実用的ではない新しい戦術を開発し続ける限り倒されることはない。\n\nこのアイテムはオーブ用の新しいアバターを解除する。
AVATAR_JALMYR.marketDescription;このミステリアスなスフィンクスは世界を見ている。そして神々に教えを授ける。\n\nこのアイテムはオーブ用の新しいアバターを解除する。
AVATAR_KELDRAN_EMISSARY.marketDescription;風をまとう使者は人々の書いた願いを聖なる雲まで運んでいく。\n\nこのアイテムはオーブ用の新しいアバターを解除する。
AVATAR_KHALIM.marketDescription;ディジダンの秩序の天才、カリムは彼の主人に楯突き、世界的な戦争を起こした。\n\nこのアイテムはオーブ用の新しいアバターを解除する。
AVATAR_KINGS_GUARD.marketDescription;剣は折れても理想は折れず。王の護衛は、決して屈しない。\n\nこのアイテムにより、あなたは新しいアバターを使用可能になります。
