CARD_ALREADY_OWNED_TOOLTIP_TEXT;あなたは既にこのカードを{0}枚持っている。
CARD_FILTER_CREATURE;クリーチャー
CARD_FILTER_EVENT;イベント
CARD_FILTER_FALL_OF_EVERLIFE;フォールオブエバーライフ
CARD_FILTER_OVERSKY;オーバースカイ
CARD_FILTER_STRUCTURE;ストラクチャー
PANDORA_MYTHIC_RUN_NOT_ENOUGH_COINS_ERROR_TEXT;この挑戦を始めるのに十分なシャードを持っていません。
PANDORA_MYTHIC_RUN_TOOLTIP_TEXT;ミシックパンドラの挑戦を始めよう。シャードを得るため、6ゲームを勝ち上がれ！
PANDORA_POINT_TOOLTIP_TEXT;各シーズン終了時の報酬を得るための勝利ポイント。
PANDORA_POP_UP_MULTI_PLAYER_TITLE_TEXT;マルチプレイヤー
PANDORA_POP_UP_MYTHIC_MULTI_PLAYER_INFO_TEXT;より良い報酬を得るため、他のプレイヤーと競い合おう。
PANDORA_POP_UP_MYTHIC_RUN_MULTI_PLAYER_TITLE_TEXT;ミシックマルチプレイヤー
PANDORA_POP_UP_MYTHIC_RUN_SINGLE_PLAYER_TITLE_TEXT;ミシックシングルプレイヤー
PANDORA_POP_UP_MYTHIC_SINGLE_PLAYER_INFO_TEXT;シャードを得るため、手強くなっていくAIに挑戦しよう。
PANDORA_POP_UP_SINGLE_PLAYER_TITLE_TEXT;シングルプレイヤー
PANDORA_POP_UP_STANDARD_MULTI_PLAYER_INFO_TEXT;より良い報酬を得るため、他のプレイヤーと競い合おう。
PANDORA_POP_UP_STANDARD_RUN_MULTI_PLAYER_TITLE_TEXT;マルチプレイヤー
PANDORA_POP_UP_STANDARD_RUN_SINGLE_PLAYER_TITLE_TEXT;シングルプレイヤー
PANDORA_POP_UP_STANDARD_SINGLE_PLAYER_INFO_TEXT;バトルチェストとカードを得るため、強力になっていくAIに挑戦しよう。
PANDORA_STANDARD_RUN_HAS_FULL_COLLECTION_ERROR_TEXT;既に全てのカードを持っているため、もうスタンダードな挑戦を行うことができません。
PANDORA_STANDARD_RUN_NOT_ENOUGH_CHEST_ERROR_TEXT;この挑戦を始めるのに十分なバトルチェストを持っていません。
PANDORA_STANDARD_RUN_TOOLTIP_TEXT;スタンダードパンドラの挑戦を始めよう。バトルチェストとカードの賞品を得るため、6ゲームを勝ち上がれ！
PURCHASE_PANEL_BUY_MISSING_SOFT_CURRENCY_TEXT;足りない{0}{1}を購入しますか？
PURCHASE_PANEL_GO_TO_SHOP_BUTTON_TEXT;ショップに行く
PURCHASE_PANEL_OUT_OF_CURRENCY_TEXT;{0}がなくなりました。ショップで手に入れることができます。
REWARD;報酬
REWARD_ACT;ミッションパックをアンロックした
REWARD_ARENA_POINTS;{0}
REWARD_AVATAR;アバターをもらう
REWARD_BLUEPRINT;新しいフォーミュラをアンロックしました！
REWARD_BOOSTER;{0}
REWARD_CARD;カード{0}枚をもらう
REWARD_CARD_BACK;新しいカードバック
REWARD_EMOTE;新しいエモート
REWARD_FEATURE_ARENA_ID;パンドラモードをアンロックしました！
REWARD_FEATURE_CRAFTING_ID;作成することをアンロックしました！
REWARD_FEATURE_EPIC_CRAFTING_ID;エピックカードの作成をアンロックしました。
REWARD_FEATURE_HIGHLANDER_ID;ハイランダーモードをアンロックしました！
REWARD_FEATURE_MAIN_MENU_ID;デッキビルダーをアンロックしました！
REWARD_FEATURE_RANKED_ID;ランクモードをアンロックしました！
REWARD_FEATURE_RARE_CRAFTING_ID;レアカードの作成をアンロックしました。
REWARD_ORIGIN_ACCOUNTACTIVATED;アカウント有効化の報酬
REWARD_ORIGIN_ANNUITY;ゴキが見つけたシャード
REWARD_ORIGIN_ARENA;あなたの賞品
REWARD_ORIGIN_CRAFT;作成を完了しました！
REWARD_ORIGIN_DAILYASSIGNMENT;デイリーアサインメント
REWARD_ORIGIN_DAILYQUEST;デイリークエストを完了しました！
REWARD_ORIGIN_DEFEAT;報酬
REWARD_ORIGIN_DLCPREMIUM;プレミアムアカウント
REWARD_ORIGIN_DLCFALLOFEVERLIFE;フォールオブエバーライフ
REWARD_ORIGIN_EARLYACCESSBUNDLE;アーリーアクセスバンドル
REWARD_ORIGIN_FIRSTDAYVICTORY;今日の最初の勝利
REWARD_ORIGIN_HATCH;卵を孵化する
REWARD_ORIGIN_LADDERRESET;ランク戦勝をリセット
REWARD_ORIGIN_LEVEL;レベル{0}の報酬
REWARD_ORIGIN_LOYALTYPATCH;ロイヤリティパッチの報酬
REWARD_ORIGIN_MARKET;購入を完了しました！
REWARD_ORIGIN_POUCH;アドベンチャーポーチの報酬
REWARD_ORIGIN_QUEST;ミッションの報酬
REWARD_ORIGIN_RECRUITMENT;新人招待
REWARD_ORIGIN_SOLOOBJECTIVE;目標達成
REWARD_ORIGIN_STEAMPACK;スチームパック
REWARD_ORIGIN_VICTORY;報酬
REWARD_POUCH_POINTS;{0}
REWARD_WELL;新しいフェアリア井戸
TOURNAMENT_ALREADY_SIGNED_UP;既にサインアップしています。
TOURNAMENT_DECK_ALREADY_PICKED;このデッキは既にトーナメントデッキとして選択されています。
TOURNAMENT_DECK_CHANGE_LOST_A_GAME;一度敗北したデッキは再度使えません。
TOURNAMENT_DECK_FIXED_UNTIL_LOSS;敗北するまでデッキを変えることはできません。
TOURNAMENT_DECK_LOCKED;このデッキはトーナメントにサインアップされています。トーナメントへのサインアップが完了するまで編集することができません。
TOURNAMENT_DECK_LOST_A_GAME;一度敗北したデッキは再度使えません。
TOURNAMENT_DECK_MUST_BE_LEAD;最初のゲームでは、1番目に登録したデッキを使用せねばなりません。
TOURNAMENT_DISCARD_DECKS;やりなおし
TOURNAMENT_LOBBY;トーナメントロビー
TOURNAMENT_PICKED_DECK;登録 #{0}
TOURNAMENT_SIGNUP;サインアップ
TOURNAMENT_SIGNUP_DECK_1;1番目のデッキを登録
TOURNAMENT_SIGNUP_DECK_2;2番目のデッキを登録
TOURNAMENT_SIGNUP_DECK_3;3番目のデッキを登録
TOURNAMENT_SIGNUP_SUCCESSFUL;トーナメントへのサインアップに成功しました！
REWARD_DECK_SLOT;デッキスロットを手に入れました。
REWARD_LORE_PAGE;新しい伝承の頁を手に入れました！
REWARD_FEATURE_LORE_BOOK_ID;伝承の書をアンロックしました！
TOURNAMENT_CRUCIBLE_RULES;今日のトーナメントに参加するには4つのデッキを登録する必要があります。4つのデッキの中に、13枚以上のカードが重複する2つのデッキの組み合わせが含まれてはいけません。\n\nデッキを1つずつ選択し、<b>登録<\b>してください。4つすべて登録すると、トーナメントロビーへの参加準備が完了します。\n\n<b>注意！</b>\n\n最後のデッキを登録すると、再選択<b>できません。</b>登録するデッキが使いたいものであるか、十分に確認してください。
LOBBY_CRUCIBLE_RULES;参加するには4つのデッキを登録する必要があります。4つのデッキの中に、13枚以上のカードが重複する2つのデッキの組み合わせが含まれてはいけません。\n\nデッキを1つずつ選択し、<b>登録<\b>してください。4つすべて登録すると、準備完了です。
TOURNAMENT_DECK_BANNED;対戦相手に禁止されたデッキは選択できません。
TOURNAMENT_DECK_CONFLICT_MESSAGE_TEXT;{0}個のデッキが{1}枚より多くのカードを共有しています。問題のデッキ:"{2}"
TOURNAMENT_DECK_PICK_CONFIRM_BUTTON_TEXT;確認
TOURNAMENT_COUNTDOWN_TEXT;{0}秒以内に次のフェーズに移ります…
TOURNAMENT_COUNTDOWN_GAME_START_TEXT;{0}秒以内にゲームが開始します…
TOURNAMENT_BAN_DECK_TEXT;禁止するデッキを選択してください。
TOURNAMENT_BAN_DECK_SPECTATOR_TEXT;禁止デッキの選択中…
TOURNAMENT_BAN_PHASE_NAME_TEXT;禁止フェーズ
TOURNAMENT_PICK_DECK_LOCKED_TEXT;ゲームに勝利した場合デッキを変更することができません。準備ができたら確認ボタンを押してください。
TOURNAMENT_PICK_DECK_TEXT;プレイするデッキを選択してください。
TOURNAMENT_PICK_DECK_SPECTATOR_TEXT;デッキの選択中...
TOURNAMENT_PICK_PHASE_NAME_TEXT;選択フェーズ
TOURNAMENT_SIGNUP_DECK_4;4番目のデッキを登録
TOURNAMENT_PHASE_TIME_LEFT;残り時間 : {0}
INVALID_DECK_CARDS_QUANTITY;デッキのカードはちょうど{0}枚でなければなりません。
CARD_FILTER_INCOMPLETE;未収集
MOUSE_REWARD_LORE_PAGE_CLICK_TO_READ;クリックして読む
CARD_FILTER_RESURGENCE;リサージェンス
REWARD_ORIGIN_YOUBACK;おかえりなさい！{0}に感謝を！
REWARD_ORIGIN_FRIENDBACK;{0}が復帰しました！
REWARD_ORIGIN_DLCRESURGENCE;リサージェンス
REWARD_FEATURE_PUZZLE_PACKS_ID;パズルセクションをアンロックしました！
PUZZLES_MENU_TITLE_ELEMENTS;エレメンツ
PUZZLES_MENU_TITLE_CORE;コアパズル
PUZZLES_DLC_PURCHASE_REWARDS;DLCに含まれる報酬
PUZZLES_DLC_PURCHASE_BUTTON;Steamストアへ行く
PUZZLE_NEED_LANE_UNLOCK;このパズルをリプレイするには、先にアドベンチャーモードでこのパズルをクリアする必要があります。
REWARD_FEATURE_DLC_385;エレメンツパズルをアンロックしました！
REWARD_FEATURE_DLC_383;リサージェンスをアンロックしました！
REWARD_FEATURE_DLC_316;フォールオブエバーライフをアンロックしました！
REWARD_FEATURE_DLC_315;あなたのアカウントは現在プレミアムです！
REWARD_FEATURE_DLC_187;スチームパックをアンロックしました！
REWARD_FEATURE_DLC_16;G2Aバンドルをアンロックしました！
REWARD_FEATURE_DLC_15;アーリーアクセスバンドルをアンロックしました！
PUZZLES_ACT_COMPLETION_TOOLTIP;数多くのパズルを解き明かし、これらの報酬を受け取ろう！
MARKET_TAB_WELLS;井戸
MARKET_TAB_SETS;セット
MARKET_TAB_ORBS;オーブ
MARKET_TAB_FEATURED;オススメ
MARKET_TAB_CARD_BACKS;カードバック
MARKET_TAB_AVATARS;アバター
COSMETIC_SET_SELECT;デッキに合わせるセットを選択
REWARD_ORIGIN_DLCGAGANA;クロニクルズオブガガナー
REWARD_FEATURE_DLC_386;クロニクルズオブガガナーをアンロックしました！
CARD_FILTER_GAGANA;ガガナー
REWARD_FEATURE_DLC_390;全ての井戸がアンロックされました！
REWARD_FEATURE_DLC_389;、 全てのオーブがアンロックされました！
REWARD_FEATURE_DLC_388;全てのカードバックがアンロックされました！
REWARD_FEATURE_DLC_387;全てのアバターがアンロックされました！
GAMEPAD_REWARD_LORE_PAGE_CLICK_TO_READ;{GAMEPAD_RIGHT_BUTTONS_LEFT} を押して読む
MOUSE_ENGAGEMENT_PRESS_CONFIRM_TEXT;クリックしてプレイ
GAMEPAD_ENGAGEMENT_PRESS_CONFIRM_TEXT;プレイするにはボタンを押してください
NON_XBOX_LIVE_PLAYERS_MIGHT_BE_PRESENT;エックスボックスライブプレイヤーでなくても遊べる。
GAMEPAD_QUEST_BUTTON_TOOLTIP_TEXT;{GAMEPAD_ACTION_CONFIRM} を押してバトル開始
PLATFORM_STEAM_ACCOUNT_BINDING_MESSAGE;Steamからファエリアを初めてログインした方には、自動的にSteamアカウントにつながっているファエリアアカウントが作成されます。
PLATFORM_SWITCH_ACCOUNT_BINDING_MESSAGE;ニンテンドーからファエリアを初めてログインした方には、自動的にニンテンドーアカウントにつながっているファエリアアカウントが作成されます。
LORE_PAGE_LABEL;伝承の頁
ENTER_A_DECK_NAME;デッキ名を入力する
