QUEST_NAME_PUZZLE_DLC_YRUSH_2;神聖なる干渉
QUEST_NAME_PUZZLE_DLC_YRUSH_1;ヒットエンドラン
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;大氾濫
QUEST_NAME_PUZZLE_DLC_WHALES;在りし日の鯨
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;声
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;絡み合う鏡
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;魚の天
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;群れを目指して
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;ルビーヤク・ワンターンキル
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;キャノン・パーティー
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;オーバースカイの守護者
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;隠れて！
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;驕れる者は久しからず
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;科学の授業
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;スーパーカエル
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;怪物
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;ナイトメア
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;上昇
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;フィナーレ
QUEST_NAME_PUZZLE_DLC_MAZE;迷宮
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;意外な英雄
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;狩りの最中
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;大逆罪
QUEST_NAME_PUZZLE_DLC_KAIOS;カイオスの領域
QUEST_NAME_PUZZLE_DLC_ISTANU;永遠の光
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;クマ・ワンターンキル
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;生涯の友
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;カウンターストライク
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;鉄槌
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;友情の力
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;鍛冶師
QUEST_NAME_PUZZLE_DLC_GEMSHELL;カードを選ぶ
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;知識こそパワー
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;マジックスクールバス
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;フェアリーテール
QUEST_NAME_PUZZLE_DLC_EXPLORER;色彩のスイッチ
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;イベント・ワンターンキル
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ESofMill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;予言
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;構築中
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;収穫期
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;スカベンジャー
QUEST_NAME_PUZZLE_DLC_BAERU;海の王
QUEST_NAME_PUZZLE_DLC_AXOLOTL;遠くからでもピリリと辛い
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;私は夢を見て、カエルたちは身震いする
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;圧倒的パワー
QUEST_NAME_LOYALTY_PATCH_03;フォールオブエバーライフ
QUEST_NAME_LOYALTY_PATCH_02;スキュラ
QUEST_NAME_LOYALTY_PATCH_01;鉄槌の時間
QUEST_NAME_LOYALTY_PATCH_00;汚染
QUEST_NAME_PUZZLE_54;パズル54
QUEST_NAME_PUZZLE_53;パズル53
QUEST_NAME_PUZZLE_52;パズル52
QUEST_NAME_PUZZLE_51;パズル51
QUEST_NAME_PUZZLE_50;パズル50
QUEST_NAME_PUZZLE_49;パズル49
QUEST_NAME_PUZZLE_48;パズル48
QUEST_NAME_PUZZLE_47;パズル47
QUEST_NAME_PUZZLE_46;パズル46
QUEST_NAME_PUZZLE_45;パズル45
QUEST_NAME_PUZZLE_44;パズル44
QUEST_NAME_PUZZLE_43;パズル43
QUEST_NAME_PUZZLE_42;パズル42
QUEST_NAME_PUZZLE_41;パズル41
QUEST_NAME_PUZZLE_40;パズル40
QUEST_NAME_PUZZLE_39;パズル39
QUEST_NAME_PUZZLE_38;パズル38
QUEST_NAME_PUZZLE_37;パズル37
QUEST_NAME_PUZZLE_36;パズル36
QUEST_NAME_PUZZLE_35;パズル35
QUEST_NAME_PUZZLE_34;パズル34
QUEST_NAME_PUZZLE_33;パズル33
QUEST_NAME_PUZZLE_32;パズル32
QUEST_NAME_PUZZLE_31;パズル31
QUEST_NAME_PUZZLE_30;パズル30
QUEST_NAME_PUZZLE_29;パズル29
QUEST_NAME_PUZZLE_28;パズル28
QUEST_NAME_PUZZLE_27;パズル27
QUEST_NAME_PUZZLE_26;パズル26
QUEST_NAME_PUZZLE_25;パズル25
QUEST_NAME_PUZZLE_24;パズル24
QUEST_NAME_PUZZLE_23;パズル23
QUEST_NAME_PUZZLE_22;パズル22
QUEST_NAME_PUZZLE_21;パズル21
QUEST_NAME_PUZZLE_20;パズル20
QUEST_NAME_PUZZLE_19;パズル19
QUEST_NAME_PUZZLE_18;パズル18
QUEST_NAME_PUZZLE_17;パズル17
QUEST_NAME_PUZZLE_16;パズル16
QUEST_NAME_PUZZLE_15;パズル15
QUEST_NAME_PUZZLE_14;パズル14
QUEST_NAME_PUZZLE_13;パズル13
QUEST_NAME_PUZZLE_12;パズル12
QUEST_NAME_PUZZLE_11;パズル11
QUEST_NAME_PUZZLE_10;パズル10
QUEST_NAME_PUZZLE_09;パズル09
QUEST_NAME_PUZZLE_08;パズル08
QUEST_NAME_PUZZLE_07;パズル07
QUEST_NAME_PUZZLE_06;パズル06
QUEST_NAME_PUZZLE_05;パズル05
QUEST_NAME_PUZZLE_04;パズル04
QUEST_NAME_PUZZLE_03;パズル03
QUEST_NAME_PUZZLE_02;パズル02
QUEST_NAME_PUZZLE_01;パズル01
ACT_LOYALTY_PATCH;ロイヤリティパッチ
ACT_JALMYR_04;ジャルミー 第4章
ACT_JALMYR_03;ジャルミー 第3章
ACT_JALMYR_02;ジャルミー 第2章
ACT_JALMYR_01;ジャルミー 第1章
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;発動のために
ACT_DLC_ELEMENTS_TRIBES;オーバースカイの部族
ACT_DLC_ELEMENTS_REDBLUE;蒸気機関
ACT_DLC_ELEMENTS_PAIRS;似たもの同士
ACT_DLC_ELEMENTS_MOBILITY;風に乗れ
ACT_DLC_ELEMENTS_LEGENDS;伝説
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;危険なクリーチャーたち
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;歴史あるコンボ
ACT_DLC_ELEMENTS_CHALLENGE;チャレンジ
ACT_DLC_ELEMENTS_BOARD_CLEAR;石板を拭け
ACT_PUZZLE_TUTORIAL;チュートリアルパズル
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;ヤクアタック
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;絶滅のイベントカード
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;シェディムのゴミ
QUEST_NAME_PUZZLE_DLC_HIPPO;勇敢なる犠牲
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;激怒のバルー
QUEST_NAME_PUZZLE_DLC_COMMANDER;水を出た魚
QUEST_NAME_PUZZLE_DLC_BARRACKS;フライングフィッシング
