ACCOUNT_DOES_NOT_EXIST;このアカウントがありません。
ACTIVATION_CODE_FAILED;有効化のコードが問題ありそうです。
ACTIVATION_KEY_FAILED;有効化のキーが問題ありそうです。
ALREADY_IN_GAME;もうゲーム中のようだ。再度入りなおしてみよう
BAD_CLIENT_VERSION;古いバージョンのようだ。リスタートしてみよう！
CANNOT_BE_PLAYER_HAS_NO_DECK;モデレータはあなたをプレイヤーにしましたが、デッキがありません。
CANNOT_INVITE_FRIEND_DECLINED;フレンドリクエストしたプレイヤーが断りました。フレンドリクエストはそのプレイヤーからもらわなくちゃいけません。
CANNOT_INVITE_FRIEND_DOES_NOT_EXIST;このプレーヤーは存在しません。正しいプレーヤーIDを入力してください。
CANNOT_INVITE_FRIEND_OPPONENT;ゲーム中相手にフレンドリクエストできません。マッチの終わりまで待ってください。
CANNOT_INVITE_FRIEND_PROLOGUE;まだプロローグの終わっていないフレンドは招待できません。
CANNOT_INVITE_FRIEND_REFUSED;フレンドリクエストしたプレイヤーはフレンドリクエストを応じませんでした。
CANNOT_MODIFY_DECK_WHILE_SEARCHING;マッチを探しているあいだは、デッキを変更できません。
CANNOT_PAUSE_DURING_MULLIGAN;マリガンフェイズ間にゲームはポーズできません。
CANNOT_SET_AS_PLAYER_HAS_NO_DECK;彼らはデッキがないので、プレイヤーにできません。
CANNOT_SET_YOURSELF_AS_RECRUITER;自分は招待者に設定できません。
CANNOT_SIGN_UP_FREEZE_MODE_ON;メンテナンス中です。後でサインアップしてください。
CANNOT_SPECTATE_TOURNAMENT_GAME;トーナメントゲームを観戦できません。
CANNOT_START_FREEZE_MODE_ON;サーバーが混み合ってるのでゲームを始められませんでした。申し訳ございません。
CANNOT_START_SERVER_REBOOTING;ゲームを始められませんでした。すぐにサーバーを再スタートします。
CARD_COPIES_LIMITED;デッキには同じカードを3枚まで入れることができます。
COMMUNITY_EVENT_INACTIVE_OR_DOES_NOT_EXIST;コミュニティーイベントは活動していないか存在していません。
COMMUNITY_EVENT_NO_STEAM_KEYS_LEFT;スチームキーが残りがないので、後でまた再試行してください。
CONSTRUCTED_CLOSED;本日ランクのゲームは閉鎖しています。パンドラだけプレイできます。
COUPON_ALREADY_USED;このクーポンはもう使われています。
COUPON_DOES_NOT_EXIST;クーポンコードは無効です。
COUPON_EXPIRED;入れたクーポンコードは失効しました。
COUPON_ITEM_ALREADY_OWNED;このクーポンからもうアイテムを得ています。
COUPON_MAX_ACTIVATIONS_REACHED;このクーポンは、既に最大有効化回数に達しているため、有効化できません。
COUPON_RESERVED;他のアカウントがもうこのクーポンを予約していました。
DECK_SIZE_LIMITED;デッキはカード{0}枚まで入れれます。
DISCONNECTED_FROM_WORLD;メインサーバーとのコネクションを失いました。再接続してください。ゲームは完了しています
FRIEND_DOES_NOT_ALLOW_SPECTATE;あなたの友達はゲームを観戦することを許可していません。
FRIEND_NO_LONGER_IN_GAME;あなたの友達は今ゲームをプレイしていません。
GAME_CANCELED_NO_GAMESERVER_FOUND;あなたのリージョンでゲームのサーバーを見つけていません。後でもう一度試してください。
