ACTIVATE;<b>活性</b>
AQUATIC;<b>水生</b>
ARTIFACT;アーティファクト
AUTO_HARVEST;<b>収穫</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;緑のスターターデッキ
BLUEPRINT_01.shortdescription;たくさんの体力と機動性を備えた森の力を活用し、あなたの軍隊を作り出そう。 フェアリアの井戸の近くに足場を確立してから、オーブに向かって飛び降りろ！
BLUEPRINT_02.name;赤のスターターデッキ
BLUEPRINT_02.shortdescription;オーガ達が山から足並みをそろえやってきた。 彼らなりの礼儀”ですぐに仕事を終わらせていく。
BLUEPRINT_03.name;青のスターターデッキ
BLUEPRINT_03.shortdescription;イベントの力で飛沫ををあげよう！ 飛び跳ねる生物や水生魚を使用しすぐに複数のフェアリアの井戸から収穫することができる。
BLUEPRINT_04.name;黄のスターターデッキ
BLUEPRINT_04.shortdescription;砂漠の暗い喜びを味わえるぞ。 禁止された儀式を使用し、自分のクリーチャーの死から力を得る。 自分のライフをリソースとして使うことで、相手よりも強力になるだろう。
BLUEPRINT_05.name;青海の侵略
BLUEPRINT_05.shortdescription;フェアリアがあなたに力を与えるためにあなたの欲を見せろ。 敵の井戸からフェアリアを収穫することに集中し、巨像の集団を安く召喚しよう。
BLUEPRINT_06.name;戦闘の栄光
BLUEPRINT_06.shortdescription;あなたの敵を押しつぶすヤクの嘆きが聞こえるだろう。 戦闘することで繁栄する軍隊を指揮する。 好戦的な味方には、鋼の贈り物が一番輝くことになる。
BLUEPRINT_07.name;必殺の聖戦
BLUEPRINT_07.shortdescription;慈悲を示さない。 あなたの相手に直接向かい、すべてのコストで彼らのオーブを攻撃して聖戦に力を貸す。
BLUEPRINT_08.name;究極の取引
BLUEPRINT_08.shortdescription;オーガ達との交渉により格安で高価なカードを手に入れた。崇高な勝利を目指し封じられた竜と巨人を放て。
BLUEPRINT_09.name;天空の艦隊
BLUEPRINT_09.shortdescription;空に命じよ。 あなたの鳥達は艦隊の強さを補強し、敵の心を震え上がらせ上空からの死を解き放つ。
BLUEPRINT_10.name;自然の憤怒
BLUEPRINT_10.shortdescription;森は気長ではない。 あなたの敵、あなたのゴッドを倒そうとするものを自然の獲物とするための道を切り開け。
CHARGE;<b>襲撃{0}</b>
COMBAT;<b>戦闘</b>
CONVOKE;<b>召集</b>
CORRUPT;<b>汚染</b>
CREATURE;クリーチャー
CURRENCY_COIN;シャード
CURRENCY_GEM;ジェム
DAILY_QUEST_00_NAME;究極
DAILY_QUEST_01_NAME;暴走
DAILY_QUEST_02_NAME;定め
DAILY_QUEST_03_NAME;裁き
DAILY_QUEST_04_NAME;征圧
DAILY_QUEST_05_NAME;津波
DAILY_QUEST_06_NAME;繁栄
DAILY_QUEST_07_NAME;焦熱
DAILY_QUEST_08_NAME;砂嵐
DAILY_QUEST_09_NAME;均衡
DAILY_QUEST_11_NAME;奇跡
DAILY_QUEST_12_NAME;創造
DAILY_QUEST_13_NAME;聖なる試練
DAILY_QUEST_14_NAME;決闘者
DAILY_QUEST_15_NAME;百戦錬磨
DAILY_QUEST_16_NAME;フレンドとのクエスト
DAILY_QUEST_18_NAME;フレンドとのクエスト
DAILY_QUEST_27_NAME;宝探し
DAILY_QUEST_28_NAME;メールアドレスの確認
DAILY_QUEST_30_NAME;パンドラの覚醒
DAILY_QUEST_31_NAME;ドリンク片手に
DAILY_QUEST_32_NAME;親善試合
DAILY_QUEST_33_NAME;着せ替え
DAILY_QUEST_34_NAME;自分でやろう
DAILY_QUEST_35_NAME;優れた職人
DAILY_QUEST_COMPLETE_ANY_ACT;ミッションかパズルパックをクリアする
DAILY_QUEST_COMPLETE_2_WILD_ACTS;4つのワイルドミッションを完了する。
DAILY_QUEST_COMPLETE_ANY_LANE;レーンを完成させよう
DAILY_QUEST_COMPLETE_QUESTS;{0}ミッションを完遂しよう
DAILY_QUEST_COMPLETE_QUESTS_OR_PUZZLES;{0}ミッションかパズルを完遂しよう
DAILY_QUEST_COMPLETE_TRAINING_ACT;トレーニングパックを完遂しよう
DAILY_QUEST_CRAFT_CARD;カードを一枚作成する
DAILY_QUEST_CRAFT_GOLD_CARD;ミシックカードを一枚作成する
DAILY_QUEST_CREATE_LANDS;{0}個の土地を作成する
DAILY_QUEST_DEAL_DAMAGE_TO_ENEMIES;対戦相手に{0}ダメージを与える
DAILY_QUEST_DEAL_DAMAGE_TO_GODS;ゴッドに{0}ダメージを与える
DAILY_QUEST_DEFEAT_RUUNIN;ミッションでルーニンに勝つ
DAILY_QUEST_DEFEAT_SEIFER;ミッションでサイファーに勝つ
DAILY_QUEST_DEFEAT_SOLO_OPPONENTS;ミッションで{0}相手に勝つ
DAILY_QUEST_DESTROY_CREATURES;{0}体のクリーチャーを破壊する
DAILY_QUEST_FIND_AND_DEFEAT_RAPALA;ミッションでバトルして、ラパラーを倒す
DAILY_QUEST_OPEN_BATTLE_CHEST;バトルチェストを開ける
DAILY_QUEST_PERFECT;ダメージを受けずに勝利する
DAILY_QUEST_PLAY_AGAINST_FRIEND;友達と一緒に対戦する
DAILY_QUEST_PLAY_ARENA_RUN;パンドラを完遂する
DAILY_QUEST_PLAY_BLUE_CARDS;青カードを{0}枚使用する
DAILY_QUEST_PLAY_CREATURES;クリーチャーを{0}体使用する
DAILY_QUEST_PLAY_EVENTS;イベントを{0}回使用する
DAILY_QUEST_PLAY_GREEN_CARDS;緑カードを{0}回使用する
DAILY_QUEST_PLAY_NEUTRAL_CARDS;中立カードを{0}回使用する
DAILY_QUEST_PLAY_PVP_GAMES;カジュアル、ランク、マルチプレイヤーパンドラで{0}回プレイする
DAILY_QUEST_PLAY_RED_CARDS;赤カードを{0}回使用する
DAILY_QUEST_PLAY_WITH_SPECIAL_COSMETIC;特別なオーブかアバター使ってゲームをプレイする
DAILY_QUEST_PLAY_YELLOW_CARDS;黄カードを{0}回使用する
DAILY_QUEST_REACH_LEVEL_8;レベル８に到達する
DAILY_QUEST_SOLVE_PUZZLES;ミッションで{0}回パズルを解く
DAILY_QUEST_SPECTATE_FRIEND_WINNING_GAME;フレンドのゲーム戦勝利を目撃する
DAILY_QUEST_VALIDATE_YOUR_EMAIL;あなたのEメールを確認してください
DAILY_QUEST_WAIT_FOR_SEIFER;サイファーが戻るまでソロモードでバトルする
DAILY_QUEST_WIN_DIVINE_CHALLENGES;ソロモードをすべてクリアする
