ACCEPT;引き受ける
ACCOUNT_RECOVERY;アカウントの復旧
ACCOUNT_RECOVERY_TITLE;アカウントを復旧する
ACTIVATION_KEY;有効化のキー
ADD_A_FRIEND;IDでフレンドを追加する
ADD_NEW_DECK;新しいデッキ
ADVENTURE_POUCH_POINTS;アドベンチャーポーチポイント
ALLY_TURN;味方のターン
AMBIENT;環境音
ARENA_RUN_DECK_NAME;パンドラのデッキ
BACK;バックさせる
BIND_ACCOUNT_BUTTON;{0}に縛る
BIND_ACCOUNT_LABEL;もうフェアリアのアカウントがありますか？
BLUEPRINT_PANEL_TEXT1;まず、あらかじめ作られたデッキを変えてみよう！
BLUEPRINT_PANEL_TEXT2;下のボタン押すことでカスタムデッキも作成できます。
BLUEPRINT_PANEL_TITLE;自分のデッキを作りたいですか？
BLUEPRINT_REQUIREMENT_LEVEL;レベルに到達
BLUEPRINT_REQUIREMENT_QUEST;もっとミッションを完了するために、このフォーミュラをアンロックします。
BOOSTER_OPENING_GEMSTITLE;レアリティジェム
BOSS_DEFEATED;倒した
BOSS_NOT_RELEASED;リリース予定
BUILD_YOUR_DECK;カスタムデッキ
CANCEL;キャンセル
CARD_LIMIT_MESSAGE;デッキには同じカードを3枚まで入れることができます。
CHAT_ERROR_MESSAGE_TOO_LONG;メッセージが長過ぎる。(最高は{0}文字)。
CHAT_ERROR_NOBODY_TO_REPLY_TO;誰も返事できません。
CHAT_ERROR_NOT_CONNECTED;接続に失敗しました。再度ログインしてみてください。
CHAT_ERROR_NO_INTERLOCUTOR;誰もにメッセージを送れません。チャットで「/w｣のコマンドかフレンドリストかユーザをクリックしてメッセージを送れます。
CHAT_ERROR_ONLY_WITH_FRIENDS;フェアリアの友達にチャットできます。
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0}はオフラインです。オンラインのユーザだけにメッセージを送れます。
CHAT_GENERIC_WARNING;アブラカムの従業員は、あなたを助ける際に決してパスワードを要求しません。決して誰にも教えないでください。
CHAT_HINT_USER_BACK_ONLINE;{0}がオンラインになりました。
CHAT_HINT_USER_WENT_OFFLINE;{0}がオフラインになりました。
CHAT_INPUT_PLACEHOLDER;/w ユーザ名　メッセージ
CHAT_TOOLTIP_DND_MODE;着信拒否モードです。これを有効にしている間は、メッセージを受信したときにこのウィンドウは開きません。 メッセージはサイレントに記録されます。
CHAT_TO_SOMEBODY;[{0}]に: {1}
CHEST_OPENING_NO_MORE_CHEST;レベルアップするかデイリークエストを完了してチェストを手に入れましょう！
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;既に全てのミシックアイテムを持っています。
CHOOSE_OTHER_BLUEPRINT;フォーミュラを変えます。
CLAIM_REWARDS;賞品を得る
CLEAR;クリアー
COLLECTION_FILTER_CARD_TYPE;カードタイプで検索する
COLLECTION_FILTER_FAERIA_COST;フェアリアコストで検索する
COLLECTION_MODE;作成する
COLLECTION_SEARCH_PLACEHOLDER;検索する...
CONFIRM;確認する
CONNECTION_LOST_RECONNECTING;接続に失敗しました。\n再接続しています...
CONNECTION_QUEUE_CAPTION;キュー内の場所：
CONNECTION_QUEUE_TITLE;サーバーはいっぱいです！
CONSTRUCTED_MODE;ランク戦
CONSTRUCTED_RUN_DECK_NAME;ランクのデッキ
CO_OP_POPUP_JOIN_BUTTON_TEXT;参加する
CO_OP_POPUP_LOCKED_BUTTON_TEXT;プレイ
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;先に前のミッションを完了させてください。
CO_OP_POPUP_ALLY_SELECTION_TITLE;味方を招待する
CO_OP_POPUP_NO_ALLY;仲間がいません
CO_OP_LOBBY_CANCELLED;味方がミッションをキャンセルしました
COUPON_REDEEM;引き換える
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;ゲームを探し中にこのカードを分解できません。
CRAFT_LEGENDARY_ERROR;レジェンドのカードは作成できません。
CRAFT_GOLD_CARD_ERROR;ミシックカードは作成できません。
CRAFT_FOURTH_CARD;あなたはすでにこのカードを3枚以上持っています。
CRAFT_NOT_ENOUGH_CHARGES;カードを作成するためのチャージが足りません。
CRAFT_FULLY_CHARGED;フル
CRAFT_ACCOUNT_LEVEL_TOO_LOW;カード作成を行うためには、レベル{0}以上でなければいけません。
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;作成する
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;分解する
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;余剰カードを分解する
CRAFT_MODE_UNAVAILABLE_TOOTIP;作成するためにはレベル{0}にならなくちゃいけない
CRAFT_SECOND_LEGENDARY_CARD;すでにこのレジェンドカードを持っています
CREATE_BLUEPRINT_DECK;作る
CREATE_YOUR_ACCOUNT;あなたのアカウントを作る
DAILY_REWARD_NEXT;次
DAILY_REWARD_TITLE;デイリーログイン報酬
DAILY_REWARD_POPUP_TITLE;デイリーコネクションのボーナスです！
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;ミシックを表示する？
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;スタンダード
DECKEDITOR_SAVETEXT;セーブする
DECKLAYOUT_INCOMPLETE_TEXT;未完成
DECKSELECTION_SOLO_INFO;ここはミッションモードのデッキを選ぶ画面です。メインメニューに戻ってデッキを作るか編集しましょう
DECK_EDITOR_BUY_BATTLE_CHEST;より多くのカードを得るためにバトルチェストを購入する。
