KROG_EPIC_01_0001;내 축제다. 환영한다!
KROG_EPIC_01_0002;왕을 위해 춤춘다!
KROG_EPIC_01_0003;좋은 축제다!
KROG_EPIC_01_0004;네 야크들 흔든다!
KROG_EPIC_01_0005;왕 재밌다!
KROG_EPIC_01_0006;한다 크로그!
KROG_EPIC_01_0007;이 음악 좋다!
KROG_EPIC_01_0008;크로그 시간이다!
KROG_EPIC_01_0009;큰 소리 낸다!
KROG_EPIC_01_0010;야크 종 더 필요하다!
KROG_EPIC_01_0011;누구 바지안에 야크 있다?
KROG_EPIC_01_0012;오우거 전부, 손 머리 위로! 다 같이!
KROG_EPIC_01_0013;여기 오우거 전부, 외친다! 야크!
KROG_EPIC_01_0014;왜 야크! 말. 아무도 따라 안한다?
KROG_EPIC_01_0015;춤, 재미 없다?
KROG_EPIC_01_0016;크로그. 생각한다 새로운 것
KROG_EPIC_01_0017;축제. 끝났다.
