PROLOGUE_3_0001;내 힘은 숲으로 부터 온다!
PROLOGUE_3_0002;녀석이 숲을 많이 만들수록 강한 카드가 나올 거야.
PROLOGUE_3_0003;어떤 카드들은 색을 가진 땅이 있어야 사용할 수 있습니다.
PROLOGUE_3_0004;이 그리즐리는 숲 하나를 요구합니다.
PROLOGUE_3_0006;숲 생물들은 숲 위에만 소환이 가능합니다.
PROLOGUE_3_0007;매 턴마다 색이 있는 땅 하나 또는 색이 없는 땅 둘을 만들 수 있습니다.
PROLOGUE_3_0008;이 골렘을 소환하려면 숲이 5개 필요합니다.
PROLOGUE_3_0009;카드의 능력은 카드 위에 설명되어 있습니다.
PROLOGUE_3_0010;카드를 선택하여 능력을 확인하세요.
PROLOGUE_3_0011;선물 능력을 가진 생물들은 소환되며 특수한 효과를 발동시킵니다.
PROLOGUE_3_0012;이 적은 도발능력을 가지고 있습니다.
PROLOGUE_3_0013;도발 능력을 가진 적 옆의 생물들은 반드시 그 자리에 머물러 싸워야 합니다.
