PROLOGUE_5_0001;행운이 따르기를...
PROLOGUE_5_0002;합당한 희생
PROLOGUE_5_0003;네가지 원소를 모두 정복하였습니다!
PROLOGUE_5_0004;조심해. 난 항상 이 멍청이에게 졌어.
PROLOGUE_5_0014;안돼! 대체 무슨짓을 한거야!!
PROLOGUE_5_0005;너는 모래에 파묻혀 죽을 것이다!
PROLOGUE_5_0006;불타라!
PROLOGUE_5_0007;새로운 두가지 힘을 얻었다!
PROLOGUE_5_0008;이제 땅을 만드는 대신 카드를 뽑거나 1 페어리아를 얻을 수 있습니다.
PROLOGUE_5_0009;끝이다!
PROLOGUE_5_0010;내 영혼을 이 활에 담아!
PROLOGUE_5_0011;이 생물은 마지막 말이 있습니다.
PROLOGUE_5_0012;저 정령을 죽여야 합니다!
PROLOGUE_5_0013;#REF!
GAMEPAD_PROLOGUE_5_0015;{GAMEPAD_BACK_BUTTONS_L1}과 {GAMEPAD_BACK_BUTTONS_R1}을 사용해 손에 있는 카드를 차례대로 넘길 수 있습니다.
