1.cardName;소년 농부
2.cardName;언덕위 궁수
2.cardText;{ranged_attack}
3.cardName;사일랜드 전사
4.cardName;사일랜드 조마사
4.cardText;{gift} - 다른 아군 생물 하나에게 이번 턴동안 {charge|3}을 줍니다.
9.cardName;황실 기술자
9.cardText;{gift} - 모든 <b>생산</b> 능력을 발동합니다.
10.cardName;진형을 유지하라!
10.cardText;{taunt} 능력을 가진 2/3 <b>황실 근위병</b>을 두 장 패에 넣습니다.
11.cardName;기동요새
12.cardName;증기 공방
12.cardText;{production} - 무작위 아군 생물에게 +1/+0을 부여합니다.
13.cardName;세금 징수원
13.cardText;{combat} - {faeria|1}을 얻습니다.
14.cardName;치유의 노래
14.cardText;카드를 한 장 뽑고, 생명력을 5 얻습니다.
15.cardName;보호
15.cardText;생물 하나에게 {protection}을 줍니다.
16.cardName;황실 근위병
16.cardText;{taunt}\n{last_words} - 생명력을 2 얻습니다.
22.cardName;자유의 전사
22.cardText;{haste}
23.cardName;모닥불
23.cardText;생물 하나에게 +1/+1을 줍니다.
24.cardName;매 강하
24.cardText;생물 하나에게 1 피해를 줍니다.
29.cardName;검술의 달인
29.cardText;내 턴에만 +2/+0을 얻습니다. (전장 또는 손에 있을 때)
30.cardName;초원 야크
32.cardName;야크 습격
32.cardText;{haste} 능력을 가진 2/2 <b>화난 야크</b>를 세 마리 소환합니다.
33.cardName;처벌
33.cardText;생물 하나에게 2 피해를 줍니다. 그 생물이 중립 속성이라면 대신 5 피해를 줍니다.
34.cardName;여왕의 왼팔
34.cardText;{protection}
35.cardName;여왕의 근위병
35.cardText;{taunt}\n{combat} - {faeria|1}을 얻습니다.
36.cardName;메로벌의 여왕 마그다
36.cardText;내 전설 카드들의 비용이 {faeria|1} 감소합니다.\n{production} - 무작위 전설 카드 한장을 내 손으로 가져옵니다. 그 카드의 요구 땅이 {wild}이 됩니다.
37.cardName;궁정 광대
37.cardText;{taunt}\n{gift} - 손에 있는 무작위 생물 하나가 +2/+2를 얻습니다.
38.cardName;왕의 근위병
38.cardText;{taunt}\n{combat} - 카드를 한 장 뽑습니다.
39.cardName;풋내기 영웅
39.cardText;다른 생물과 전투하고 살아남으면 +3/+3과 {charge|2} 을 얻습니다. (한번만 적용)
40.cardName;메로벌의 왕 마그누스
40.cardText;{charge|3}\n{combat} - 카드를 한 장 뽑습니다. 그 카드의 비용은 {faeria|0}이 됩니다.
41.cardName;보균자
41.cardText;{last_words} - 모든 생물에게 2 피해를 줍니다.
42.cardName;공성 엔진
42.cardText;{ranged_attack}\n공격할 때 마다 +1/+0을 얻습니다.
43.cardName;드래곤 슬레이어 샤라
43.cardText;4 이상의 피해를 무시합니다.
44.cardName;기근
44.cardText;모든 생물에게 1 피해를 줍니다.
45.cardName;황실 재판관
45.cardText;{options|비용이 {faeria|0}인 보호를 손에 넣습니다.|비용이 {faeria|0}인 처벌을 손에 넣습니다.}\n- 비용이 {faeria|0}인 <b>보호</b>를 손에 넣습니다. \n- 비용이 {faeria|0}인 <b>처벌</b>을 손에 넣습니다.
46.cardName;지도제작자
46.cardText;{last_words} - <b>탐사</b> 한 장을 손에 넣습니다.
47.cardName;반짝이는 조각상
47.cardText;{taunt}\n{production} - 생명력 1 을 얻습니다.
48.cardName;마을 장로
48.cardText;{last_words} - 카드를 한 장 뽑습니다.
49.cardName;이야기꾼
49.cardText;{gift} - 모든 플레이어가 카드 두 장을 뽑고 생명력을 2 얻습니다.
50.cardName;떠돌이 수도승
50.cardText;카드를 뽑을 때 마다 +1/+0을 얻습니다.
51.cardName;증기공방 집행자
52.cardName;왕의 오른팔
52.cardText;{protection}
53.cardName;용의 날
53.cardText;네 가지 속성의 <b>용</b>들을 내 손으로 가져옵니다. 그 카드들의 비용이 {faeria|3} 줄고 요구 땅이 {wild}이 됩니다.
54.cardName;용감한 모험가
54.cardText;{gift} - 인접한 적 생물 하나 당 +2/+2를 얻습니다.
55.cardName;둔기전사
56.cardName;남작 툴가르
56.cardText;{last_words} - 각 플레이어가 카드를 한 장 뽑습니다. 뽑은 카드의 비용은 {faeria|0}이 됩니다.
57.cardName;지혜
57.cardText;카드를 두 장 뽑습니다.
58.cardName;무장한 야크
58.cardText;상대의 생명력이 10 이하이면 +2/+0을 얻습니다.
59.cardName;고국의 수호자
59.cardText;{taunt}\n{gift} - 지난 상대 턴에 공격당했다면, <b>고국의 수호자</b>를 하나 더 소환합니다.
60.cardName;여왕의 암살자
60.cardText;{deathtouch}
61.cardName;지명수배자
61.cardText;{last_words} - 상대는 카드 한 장을 뽑고 {faeria|2}를 얻습니다.
62.cardName;행운 사냥꾼
62.cardText;페어리아를 수확할 때 마다 무작위 아군 생물에게 +1/+1을 줍니다.
63.cardName;변방 경비병
63.cardText;{gift} - <b>모닥불</b> 한 장을 손에 넣습니다.
64.cardName;제국 배수관
64.cardText;페어리아 우물들이 비워집니다.\n{production} - 이 건물에 피해를 1 줍니다. \n{last_words} - 페어리아 우물을 다시 채웁니다.
65.cardName;우림 탐험가
65.cardText;내가 {blue}{blue}를 가지고 있을 때 +1/+1을 얻습니다. 내가 {green}{green}를 가지고 있을 때 +0/+2을 얻습니다.
66.cardName;칼데라 탐험가
66.cardText;내가 {blue}{blue}를 가지고 있을 때 +1/+1을 얻습니다. 내가 {red}{red}를 가지고 있을 때 +2/+0을 얻습니다.
67.cardName;오아시스 탐험가
67.cardText;내가 {blue}{blue}를 가지고 있을 때 +1/+1을 얻습니다. 내가 {yellow}{yellow}를 가지고 있을 때 +1/+1을 얻습니다.
68.cardName;타이가 탐험가
68.cardText;내가 {red}{red}를 가지고 있을 때 +2/+0을 얻습니다. 내가 {green}{green}를 가지고 있을 때 +0/+2을 얻습니다.
69.cardName;사바나 탐험가
69.cardText;내가 {yellow}{yellow}를 가지고 있을 때 +1/+1을 얻습니다. 내가 {green}{green}를 가지고 있을 때 +0/+2을 얻습니다.
70.cardName;사암 탐험가
70.cardText;내가 {red}{red}를 가지고 있을 때 +2/+0을 얻습니다. 내가 {yellow}{yellow}를 가지고 있을 때 +1/+1을 얻습니다.
71.cardName;루비 피시
71.cardText;{aquatic}
72.cardName;이야기 도둑
72.cardText;{options|Gains +2/+2|Draw 2 cards.}\n - +2/+2를 얻습니다. \n - 카드를 두 장 뽑습니다.
73.cardName;게이브리아 수조
73.cardText;{production} - {faeria|3}을 얻습니다. 이 건물에 피해를 1 줍니다.
74.cardName;티라낙스
75.cardName;게이브리아 비술사
75.cardText;{gift} - 다른 생물 하나의 공격력을 그 생물의 생명력과 같게 바꿉니다.
76.cardName;게이브리아 사령관
76.cardText;{aquatic}, {charge|2}\n기본 비용이 {faeria|7} 이상인 카드를 뽑으면, +1/+1과 {flying}을 얻습니다. (한 번만 적용)
