QUEST_NAME_PUZZLE_DLC_YRUSH_2;신의 조화
QUEST_NAME_PUZZLE_DLC_YRUSH_1;치고 빠지기
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;짓밟기
QUEST_NAME_PUZZLE_DLC_WHALES;태고의 고래
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;목소리
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;뒤틀린 거울
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;물고기의 시대
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;군단을 위해
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;루비 야크 원턴킬
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;대포 파티
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;창공의 수호자들
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;엎드려!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;흥망성쇠
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;과학 수업
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;수퍼 개구리
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;괴물
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;악몽
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;승천
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;피날레
QUEST_NAME_PUZZLE_DLC_MAZE;미궁
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;풋내기 영웅
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;사냥을 시작하지
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;황제 시해
QUEST_NAME_PUZZLE_DLC_KAIOS;카이오스의 땅
QUEST_NAME_PUZZLE_DLC_ISTANU;영원한 빛
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;큰곰 원턴킬
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;우리는 영원히 친구야
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;반격
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;절대망치
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;마이 리틀 야크
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;대장장이
QUEST_NAME_PUZZLE_DLC_GEMSHELL;카드를 한 장 고르세요
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;지식은 힘이다
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;신기한 스쿨버스
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;동화
QUEST_NAME_PUZZLE_DLC_EXPLORER;채도 변환
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;이벤트 원턴킬
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ES of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;예언
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;공사중
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;수확
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;시체청소부
QUEST_NAME_PUZZLE_DLC_BAERU;해왕
QUEST_NAME_PUZZLE_DLC_AXOLOTL;우파루슛
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;내가 꿈을 꾸면 개구리들이 전율한다.
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;압도적인 힘으로
QUEST_NAME_LOYALTY_PATCH_03;영생의 몰락
QUEST_NAME_LOYALTY_PATCH_02;스킬라
QUEST_NAME_LOYALTY_PATCH_01;두들길 시간!
QUEST_NAME_LOYALTY_PATCH_00;오염
QUEST_NAME_PUZZLE_54;퍼즐 54
QUEST_NAME_PUZZLE_53;퍼즐 53
QUEST_NAME_PUZZLE_52;퍼즐 52
QUEST_NAME_PUZZLE_51;퍼즐 51
QUEST_NAME_PUZZLE_50;퍼즐 50
QUEST_NAME_PUZZLE_49;퍼즐 49
QUEST_NAME_PUZZLE_48;퍼즐 48
QUEST_NAME_PUZZLE_47;퍼즐 47
QUEST_NAME_PUZZLE_46;퍼즐 46
QUEST_NAME_PUZZLE_45;퍼즐 45
QUEST_NAME_PUZZLE_44;퍼즐 44
QUEST_NAME_PUZZLE_43;퍼즐 43
QUEST_NAME_PUZZLE_42;퍼즐 42
QUEST_NAME_PUZZLE_41;퍼즐 41
QUEST_NAME_PUZZLE_40;퍼즐 40
QUEST_NAME_PUZZLE_39;퍼즐 39
QUEST_NAME_PUZZLE_38;퍼즐 38
QUEST_NAME_PUZZLE_37;퍼즐 37
QUEST_NAME_PUZZLE_36;퍼즐 36
QUEST_NAME_PUZZLE_35;퍼즐 35
QUEST_NAME_PUZZLE_34;퍼즐 34
QUEST_NAME_PUZZLE_33;퍼즐 33
QUEST_NAME_PUZZLE_32;퍼즐 32
QUEST_NAME_PUZZLE_31;퍼즐 31
QUEST_NAME_PUZZLE_30;퍼즐 30
QUEST_NAME_PUZZLE_29;퍼즐 29
QUEST_NAME_PUZZLE_28;퍼즐 28
QUEST_NAME_PUZZLE_27;퍼즐 27
QUEST_NAME_PUZZLE_26;퍼즐 26
QUEST_NAME_PUZZLE_25;퍼즐 25
QUEST_NAME_PUZZLE_24;퍼즐 24
QUEST_NAME_PUZZLE_23;퍼즐 23
QUEST_NAME_PUZZLE_22;퍼즐 22
QUEST_NAME_PUZZLE_21;퍼즐 21
QUEST_NAME_PUZZLE_20;퍼즐 20
QUEST_NAME_PUZZLE_19;퍼즐 19
QUEST_NAME_PUZZLE_18;퍼즐 18
QUEST_NAME_PUZZLE_17;퍼즐 17
QUEST_NAME_PUZZLE_16;퍼즐 16
QUEST_NAME_PUZZLE_15;퍼즐 15
QUEST_NAME_PUZZLE_14;퍼즐 14
QUEST_NAME_PUZZLE_13;퍼즐 13
QUEST_NAME_PUZZLE_12;퍼즐 12
QUEST_NAME_PUZZLE_11;퍼즐 11
QUEST_NAME_PUZZLE_10;퍼즐 10
QUEST_NAME_PUZZLE_09;퍼즐 09
QUEST_NAME_PUZZLE_08;퍼즐 08
QUEST_NAME_PUZZLE_07;퍼즐 07
QUEST_NAME_PUZZLE_06;퍼즐 06
QUEST_NAME_PUZZLE_05;퍼즐 05
QUEST_NAME_PUZZLE_04;퍼즐 04
QUEST_NAME_PUZZLE_03;퍼즐 03
QUEST_NAME_PUZZLE_02;퍼즐 02
QUEST_NAME_PUZZLE_01;퍼즐 01
ACT_LOYALTY_PATCH;황제에의 충성 패치
ACT_JALMYR_04;얄미어 제4막
ACT_JALMYR_03;얄미어 제3막
ACT_JALMYR_02;얄미어 제2막
ACT_JALMYR_01;얄미어 제1막
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;더 큰 선을 위하여
ACT_DLC_ELEMENTS_TRIBES;창공의 종족들
ACT_DLC_ELEMENTS_REDBLUE;증기기관
ACT_DLC_ELEMENTS_PAIRS;짝패
ACT_DLC_ELEMENTS_MOBILITY;바람을 타고
ACT_DLC_ELEMENTS_LEGENDS;전설
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;위험한 생물들
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;시대를 풍미한 콤보들
ACT_DLC_ELEMENTS_CHALLENGE;도전
ACT_DLC_ELEMENTS_BOARD_CLEAR;일망타진
ACT_PUZZLE_TUTORIAL;튜토리얼 퍼즐
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;야크 습격
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;대멸종
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;셰딤 황무지
QUEST_NAME_PUZZLE_DLC_HIPPO;담대한 희생
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;발루 화났다
QUEST_NAME_PUZZLE_DLC_COMMANDER;물 밖의 고기
QUEST_NAME_PUZZLE_DLC_BARRACKS;날치 낚시
