ACTIVATE;<b>발동</b>
AQUATIC;<b>수생</b>
ARTIFACT;유물
AUTO_HARVEST;<b>자동 수확</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Zelený začátek
BLUEPRINT_01.shortdescription;숲의 힘을 개방해 인간 군대에게 생명력과 기동성을 부여하십시오. 페어리아 우물 앞에 전진기지를 세우고, 오브를 향해 진격합니다!
BLUEPRINT_02.name;Červený začátek
BLUEPRINT_02.shortdescription;잔혹한 오우거들이 산에서 몰려옵니다. 커다란 덩치들로 상대를 위협하고, 불의 힘으로 마무리하세요.
BLUEPRINT_03.name;Modrý začátek
BLUEPRINT_03.shortdescription;이벤트 카드들로 전장에 변화를 줍니다. 개구리와 수중 생물들을 이용해 많은 우물을 점령하고 좋은 시기를 노리세요.
BLUEPRINT_04.name;Žlutý začátek
BLUEPRINT_04.shortdescription;어두운 사막의 쾌락을 음미하세요. 금지된 의식을 행하고 당신이 소유한 생물들의 죽음으로부터 힘을 취하십시오. 생명력을 자원으로 사용해 싸워 적의 오브를 삼키십시오.
BLUEPRINT_05.name;파도의 침투
BLUEPRINT_05.shortdescription;탐욕적으로 페어리아를 모아 힘을 키우세요. 상대 우물에서 많이 수확할수록 거신들을 싸게 소환할 수 있습니다.
BLUEPRINT_06.name;전쟁 속 영광
BLUEPRINT_06.shortdescription;적들을 차례로 부수고, 늘어진 시체들을 등지고 애통한 야크들의 울음소리를 들으며. 싸울수록 강해지는 군대를 부리세요. 강철로 된 무구는 전쟁 속에서 가장 빛납니다.
BLUEPRINT_07.name;Křížová výprava
BLUEPRINT_07.shortdescription;자비는 없습니다. 적의 오브에 즉시 접근해 모든 것을 쏟아부어 공격하십시오. 공격할 때마다 광적인 성전사가 강해집니다.
BLUEPRINT_08.name;최고의 흥정
BLUEPRINT_08.shortdescription;오우거 장사꾼들의 수완으로 비싼 카드들을 특가에 내 보세요. 거대한 승리에는 드래곤과 베히모스가 함께합니다.
BLUEPRINT_09.name;Nebeské loďstvo
BLUEPRINT_09.shortdescription;하늘을 지배하세요. 황금 새장으로 함대를 강화하세요. 하늘에서 죽음이 내려와 적의 심장에 꽂힙니다.
BLUEPRINT_10.name;자연의 분노
BLUEPRINT_10.shortdescription;숲이 항상 기다리는 것은 아닙니다. 오브를 향한 길을 열고 신 사냥꾼을 보내 적들을 자연의 희생양으로 삼으세요.
CHARGE;<b>돌진 {0}</b>
COMBAT;<b>교전</b>
CONVOKE;<b>소집</b>
CORRUPT;오염
CREATURE;생물
CURRENCY_COIN;샤드
CURRENCY_GEM;젬
DAILY_QUEST_00_NAME;완성
DAILY_QUEST_01_NAME;광란
DAILY_QUEST_02_NAME;신 죽이기
DAILY_QUEST_03_NAME;심판
DAILY_QUEST_04_NAME;정복
DAILY_QUEST_05_NAME;해일
DAILY_QUEST_06_NAME;번창
DAILY_QUEST_07_NAME;불바다
DAILY_QUEST_08_NAME;모래바람
DAILY_QUEST_09_NAME;균형
DAILY_QUEST_11_NAME;기적
DAILY_QUEST_12_NAME;창조
DAILY_QUEST_13_NAME;신성한 시련
DAILY_QUEST_14_NAME;결투자
DAILY_QUEST_15_NAME;숙련자
DAILY_QUEST_16_NAME;친구를 위한 퀘스트
DAILY_QUEST_18_NAME;친구를 위한 퀘스트
DAILY_QUEST_27_NAME;보물 사냥
DAILY_QUEST_28_NAME;자신을 증명하라
DAILY_QUEST_30_NAME;판도라 개방
DAILY_QUEST_31_NAME;보고 배우세요
DAILY_QUEST_32_NAME;죽을 때까지 친구
DAILY_QUEST_33_NAME;준비된 성공
DAILY_QUEST_34_NAME;스스로 해보세요
DAILY_QUEST_35_NAME;제작 전문가
DAILY_QUEST_COMPLETE_ANY_ACT;미션이나 퍼즐 팩을 완료하세요
DAILY_QUEST_COMPLETE_2_WILD_ACTS;4개의 무작위 미션 팩 완료
DAILY_QUEST_COMPLETE_ANY_LANE;경로 하나를 완주하세요.
DAILY_QUEST_COMPLETE_QUESTS;미션을 {0}개 완료하세요.
DAILY_QUEST_COMPLETE_QUESTS_OR_PUZZLES;미션이나 퍼즐을 {0}개 완료하세요.
DAILY_QUEST_COMPLETE_TRAINING_ACT;트레이닝 팩을 완료하세요.
DAILY_QUEST_CRAFT_CARD;원하는 카드 한 장을 만드세요
DAILY_QUEST_CRAFT_GOLD_CARD;원하는 신화 카드 한 장을 만드세요
DAILY_QUEST_CREATE_LANDS;땅을 {0}개 만드세요
DAILY_QUEST_DEAL_DAMAGE_TO_ENEMIES;적에게 {0} 피해를 주세요
DAILY_QUEST_DEAL_DAMAGE_TO_GODS;신에게 {0} 피해를 주세요
DAILY_QUEST_DEFEAT_RUUNIN;미션에서 루닌을 물리치세요
DAILY_QUEST_DEFEAT_SEIFER;미션에서 사이퍼를 물리치세요
DAILY_QUEST_DEFEAT_SOLO_OPPONENTS;미션에서 적 {0}명을 물리치세요
DAILY_QUEST_DESTROY_CREATURES;생물을 {0}개 제거하세요
DAILY_QUEST_FIND_AND_DEFEAT_RAPALA;라팔라가 등장할 때까지 미션을 진행하고, 물리치세요
DAILY_QUEST_OPEN_BATTLE_CHEST;전리품 상자를 열어 보세요
DAILY_QUEST_PERFECT;피해를 입지 않고 게임에서 승리하세요
DAILY_QUEST_PLAY_AGAINST_FRIEND;친구와 게임을 해 보세요
DAILY_QUEST_PLAY_ARENA_RUN;판도라를 끝까지 진행하세요
DAILY_QUEST_PLAY_BLUE_CARDS;청색 카드를 {0}장 사용하세요
DAILY_QUEST_PLAY_CREATURES;생물 카드를 {0}장 사용하세요
DAILY_QUEST_PLAY_EVENTS;이벤트 카드를 {0}장 사용하세요
DAILY_QUEST_PLAY_GREEN_CARDS;녹색 카드를 {0}장 사용하세요
DAILY_QUEST_PLAY_NEUTRAL_CARDS;중립 카드를 {0}장 사용하세요
DAILY_QUEST_PLAY_PVP_GAMES;캐주얼, 경쟁전, 또는 멀티플레이어 판도라 모드에서 {0} 게임을 진행하세요
DAILY_QUEST_PLAY_RED_CARDS;적색 카드를 {0}장 사용하세요
DAILY_QUEST_PLAY_WITH_SPECIAL_COSMETIC;특별한 오브 또는 아바타로 게임을 해 보세요
DAILY_QUEST_PLAY_YELLOW_CARDS;황색 카드를 {0}장 사용하세요
DAILY_QUEST_REACH_LEVEL_8;8레벨에 도달하세요
DAILY_QUEST_SOLVE_PUZZLES;미션에서 퍼즐을 {0}개 해결하세요
DAILY_QUEST_SPECTATE_FRIEND_WINNING_GAME;친구가 게임에서 이기는 걸 관전하세요
DAILY_QUEST_VALIDATE_YOUR_EMAIL;이메일을 인증하세요
DAILY_QUEST_WAIT_FOR_SEIFER;사이퍼가 돌아올 때까지 미션을 플레이하세요
DAILY_QUEST_WIN_DIVINE_CHALLENGES;더 많은 카드를 얻기 위해 캠페인을 완료하세요
DAILY_QUEST_WIN_HIGHLANDER_GAMES;하이랜더 모드에서 {0}번 승리하세요. 하이랜더 덱은 반드시 30장의 다른 카드로 구성되어야 합니다!
DAILY_QUEST_WIN_PANDORA_GAMES;판도라 모드에서 {0}번 승리하세요
DAILY_QUEST_WIN_PVP_GAMES;캐주얼, 경쟁전, 또는 멀티플레이어 판도라 모드에서 {0} 게임을 이기세요
DASH;<b>질주 {0}</b>
DEATHTOUCH;<b>죽음의 손길</b>
DIVINE;<b>신성</b>
