ACCEPT;동의
ACCOUNT_RECOVERY;계정 복구
ACCOUNT_RECOVERY_TITLE;계정 복구하기
ACTIVATION_KEY;활성화 키
ADD_A_FRIEND;ID로 친구 추가하기
ADD_NEW_DECK;새 덱
ADVENTURE_POUCH_POINTS;모험 보따리 포인트
ALLY_TURN;동료의 턴
AMBIENT;주변 소리
ARENA_RUN_DECK_NAME;판도라 덱
BACK;뒤로
BIND_ACCOUNT_BUTTON;계정 연동: {0}
BIND_ACCOUNT_LABEL;페어리아 계정을 가지고 있나요?
BLUEPRINT_PANEL_TEXT1;견본 덱들을 사용해 보세요.
BLUEPRINT_PANEL_TEXT2;아래 버튼을 눌러 덱을 자유롭게 만들 수 있습니다.
BLUEPRINT_PANEL_TITLE;나만의 덱을 만들고 싶나요?
BLUEPRINT_REQUIREMENT_LEVEL;레벨 도달
BLUEPRINT_REQUIREMENT_QUEST;이 추천 덱을 사용하기 위해서는 미션를 더 클리어해야 합니다.
BOOSTER_OPENING_GEMSTITLE;희귀도 보석
BOSS_DEFEATED;완료
BOSS_NOT_RELEASED;미공개
BUILD_YOUR_DECK;나만의 덱
CANCEL;취소
CARD_LIMIT_MESSAGE;덱에는 카드 한 종류당 세 장까지만 넣을 수 있습니다.
CHAT_ERROR_MESSAGE_TOO_LONG;메시지가 너무 깁니다(최대. {0}글자).
CHAT_ERROR_NOBODY_TO_REPLY_TO;대답할 대상이 없습니다.
CHAT_ERROR_NOT_CONNECTED;접속이 끊겼습니다. 로그아웃하고 다시 접속해 보세요.
CHAT_ERROR_NO_INTERLOCUTOR;대화 상대가 없습니다. /w 명령어를 사용하거나, 친구 리스트의 유저명을 클릭해 메시지를 보내세요.
CHAT_ERROR_ONLY_WITH_FRIENDS;대화하려면 친구로 등록해야 합니다.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} 님은 오프라인입니다. 온라인인 유저에게만 메시지를 보낼 수 있습니다.
CHAT_GENERIC_WARNING;아브라캄의 직원은 절대로 비밀번호를 묻지 않습니다. 채팅에서 개인정보를 입력하지마세요.
CHAT_HINT_USER_BACK_ONLINE;{0} 님이 다시 접속했습니다!
CHAT_HINT_USER_WENT_OFFLINE;{0} 님이 접속을 종료했습니다.
CHAT_INPUT_PLACEHOLDER;/w 유저명 메시지
CHAT_TOOLTIP_DND_MODE;방해 금지 모드가 활성화되면, 메시지를 받더라도 채팅창이 열리지 않습니다. 메시지는 조용히 채팅창에 저장됩니다.
CHAT_TO_SOMEBODY;To [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;일일 퀘스트를 완수하거나 레벨 업을 통해 더 많은 전리품 상자를 얻을 수 있습니다!
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;현재 신화 아이템을 전부 가지고 있습니다. 나중에 다시 방문하세요.
CHOOSE_OTHER_BLUEPRINT;견본 덱 변경
CLAIM_REWARDS;보상 획득
CLEAR;비우기
COLLECTION_FILTER_CARD_TYPE;카드 종류로 필터
COLLECTION_FILTER_FAERIA_COST;페어리아 비용으로 필터
COLLECTION_MODE;제작
COLLECTION_SEARCH_PLACEHOLDER;검색...
CONFIRM;확인
CONNECTION_LOST_RECONNECTING;접속이 끊겼습니다.\n다시 시도합니다...
CONNECTION_QUEUE_CAPTION;대기열 순번:
CONNECTION_QUEUE_TITLE;서버가 꽉 찼습니다!
CONSTRUCTED_MODE;랭크 게임
CONSTRUCTED_RUN_DECK_NAME;랭크 덱
CO_OP_POPUP_JOIN_BUTTON_TEXT;합류
CO_OP_POPUP_LOCKED_BUTTON_TEXT;플레이
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;이 미션을 열기 위해서는 이전 미션들을 완수해야만 합니다.
CO_OP_POPUP_ALLY_SELECTION_TITLE;동료 초대하기
CO_OP_POPUP_NO_ALLY;참가할 수 있는 동료가 없습니다.
CO_OP_LOBBY_CANCELLED;동료가 미션을 취소했습니다
COUPON_REDEEM;받기
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;게임을 찾는 동안 카드를 분해할 수 없습니다.
CRAFT_LEGENDARY_ERROR;전설 카드를 제작할 수 없습니다.
CRAFT_GOLD_CARD_ERROR;신화 카드를 제작할 수 없습니다.
CRAFT_FOURTH_CARD;이미 이 카드를 3장 이상 가지고 있습니다.
CRAFT_NOT_ENOUGH_CHARGES;카드 제작을 위한 비용이 충분하지 않습니다.
CRAFT_FULLY_CHARGED;제작 가능
CRAFT_ACCOUNT_LEVEL_TOO_LOW;이 카드를 제작하기 위해서 레벨 {0} 이상이어야 합니다.
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;제작
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;분해
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;여분 카드 전부 분해하기
CRAFT_MODE_UNAVAILABLE_TOOTIP;카드를 만들기 위해서는 {0}레벨이 되어야 합니다.
CRAFT_SECOND_LEGENDARY_CARD;이미 이 전설 카드를 가지고 있습니다.
CREATE_BLUEPRINT_DECK;제작
CREATE_YOUR_ACCOUNT;계정 생성
DAILY_REWARD_NEXT;다음
DAILY_REWARD_TITLE;일일 로그인 보상
DAILY_REWARD_POPUP_TITLE;일일 접속 보상!
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;신화 카드 보기
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;일반
DECKEDITOR_SAVETEXT;저장
DECKLAYOUT_INCOMPLETE_TEXT;미완성
DECKSELECTION_SOLO_INFO;이곳은 미션 모드 덱 선택 화면입니다. 덱을 수정하려면 메인 메뉴로 돌아가세요.
DECK_EDITOR_BUY_BATTLE_CHEST;카드를 더 얻으려면 전리품 상자를 구매하세요.
DECK_EDITOR_FILTER_NO_RESULT;검색된 카드가 없습니다.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;청색 카드가 없습니다.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;녹색 카드가 없습니다.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;중립 카드가 없습니다.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;적색 카드가 없습니다.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;황색 카드가 없습니다.
DECK_SIZE;덱 크기:
DECK_SLOT_PURCHASE;덱 슬롯 +5개 추가
DELETE;삭제
DISCONNECT;연결 끊김
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;카드를 분해하기 위해서는 {0}장 이상 카드를 가지고 있어야 합니다.
DONE;완료
DROP_RUN;종료
DYNAMIC_BUNDLE_CONFIRM_WARNING;보유한 아이템: 이 번들에 포함된 아이템들 중 일부를 가지고 있어서, 번들의 가격이 할인됩니다.
EDIT;편집
ELITE_MISSIONS_BUTTON_TEXT;월드 보스
ELITE_MISSIONS_BUTTON_TOOLTIP;레벨 {0} 필요
EMAIL_ADDRESS;이메일 주소
EMOTE_MENU_GREETINGS;인사
EMOTE_MENU_OOPS;실수
EMOTE_MENU_TAUNT;도발
EMOTE_MENU_UNIQUE;특별
EMOTE_MENU_WELL_PLAYED;칭찬
EMOTE_MENU_WOW;놀람
END_TURN;턴 종료
ENEMY_TURN;적 턴
ENTER_DECK_NAME;덱 이름 입력
ENTER_YOUR_RECRUITERS_NAME;추천인 이름 입력...
EVENING;저녁
EVENT_BUTTON_TEXT_SEND;전송
EVENT_EGG_HATCHING_HAS_EGG;인큐베이터가 비어 있군요. 새로운 알을 찾으면 여기서 알을 돌볼 수 있습니다!\n\nFaeriaTV Twitch 채널에서 스트리밍 행사를 시청하고 추첨을 통해 알을 받아가세요.\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;인큐베이터에 어서오세요. 알이 안전하고 따뜻하게 부화되고 있습니다.\n아래에서 알을 확인할 수 있습니다. 금방 부화할지도 몰라요.\n알을 부화시키고 나면 새로운 알을 받아올 수 있습니다. 먼슬리 컵 일정을 확인하세요.
EVENT_HATCH_EGG_BUTTON;알 부화하기
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;친구의 메일 주소 입력
EVENT_TEXT_LOCK_OVERLAY;판도라에서 5승을 하면 두번째 키를 받을 수 있습니다.
