AURORA_EPIC_01_0001;Você machucaria uma senhora idosa?
AURORA_EPIC_01_0002;Não precisa fazer isso...
AURORA_EPIC_01_0003;Sua criatura será mais feliz comigo.
AURORA_EPIC_01_0004;Aceita um pouco de chá, meu bem?
AURORA_EPIC_01_0005;A guerra é muito barulhenta. Descanse um pouco.
AURORA_EPIC_01_0006;Se você jogar uma pedra verde em um rio roxo, o que acontece?
AURORA_EPIC_01_0007;Resposta: A pedra afunda.
AURORA_EPIC_01_0008;Mas que dia adorável.
AURORA_EPIC_01_0009;Meu chá está quase acabando.
AURORA_EPIC_01_0010;Terminei o meu chá.
AURORA_EPIC_01_0011;Obrigada por deixar que eu termine meu chá.
AURORA_EPIC_01_0012;Você não deveria tê-la deixado terminar o chá...
