BOSS_KING_YAKNUS_0002;Obrigado por me ajudar.
BOSS_KING_YAKNUS_0003;Prove que você é digno do meu povo.
BOSS_KING_YAKNUS_0004;Eu lidero um povo orgulhoso e fofinho.
BOSS_KING_YAKNUS_0005;Avançar, meus felpudos irmãos!
BOSS_KING_YAKNUS_0006;Avançar, meus felpudos irmãos!
BOSS_KING_YAKNUS_0007;Esta rosa tem espinhos.
BOSS_KING_YAKNUS_0008;Prepare-se!
BOSS_KING_YAKNUS_0009;IAQUENAROK!!!
BOSS_KING_YAKNUS_0010;Prepare-se!
BOSS_KING_YAKNUS_0011;IAQUENAROK!!!
BOSS_KING_YAKNUS_0012;Prepare-se!
BOSS_KING_YAKNUS_0013;IAQUENAROK!!!
