KROG_EPIC_01_0001;Bem-vindo à minha festa!
KROG_EPIC_01_0002;Dance para o Rei!
KROG_EPIC_01_0003;Ótima festa!
KROG_EPIC_01_0004;Balance o seu iaque!
KROG_EPIC_01_0005;O Rei é divertido!
KROG_EPIC_01_0006;Imite o Krog!
KROG_EPIC_01_0007;Amo essa música!
KROG_EPIC_01_0008;Hora do Krog!
KROG_EPIC_01_0009;Faça barulho!
KROG_EPIC_01_0010;Preciso de mais sinos de iaque!
KROG_EPIC_01_0011;Quem quer levantar poeira?
KROG_EPIC_01_0012;Todos os ogros solteiros, coloquem as mãos para cima!
KROG_EPIC_01_0013;Todos os ogros, digam iaque!
KROG_EPIC_01_0014;Por que ninguém disse iaque?
KROG_EPIC_01_0015;A dança não é divertida?
KROG_EPIC_01_0016;Krog... precisa repensar as coisas.
KROG_EPIC_01_0017;Festa encerrada.
