PROLOGUE_1_0001;Coloque terrenos e invoque criaturas para atacar seu inimigo. Destrua o orbe do adversário para vencer!
PROLOGUE_1_0023;Boas vindas ao Faeria! Eu sou Fugoro, seu amigável --
PROLOGUE_1_0002;Pare de correr, garoto-sapo!
PROLOGUE_1_0024;Ahh! Me ajuda! Eu vou te dar uma recompensa!
PROLOGUE_1_0007;3 faeria! Eu posso convocar uma criatura.
PROLOGUE_1_0008;Espero que esteja preparado para sofrer!
PROLOGUE_1_0025;Você precisará de terrenos para invocar aquele iaque.
PROLOGUE_1_0011;Invoque-o aqui.
PROLOGUE_1_0012;As criaturas devem esperar uma vez antes de atacar.
PROLOGUE_1_0013;Atacar!
PROLOGUE_1_0026;Destrua aquela ladra para podermos contra-atacar.
PROLOGUE_1_0014;Selecione o seu iaque
PROLOGUE_1_0015;Ataque essa ladra.
PROLOGUE_1_0027;Santo iaque!
PROLOGUE_1_0028;Mova e ataque a Sharra diretamente.
PROLOGUE_1_0022;Boa luta!
GAMEPAD_PROLOGUE_1_0029;Você também pode pressionar {GAMEPAD_BACK_BUTTONS_R2} como um atalho para a roda
GAMEPAD_PROLOGUE_1_0010;Mova seu cursor até a carta de Iaque e pressione {GAMEPAD_ACTION_CONFIRM}
MOUSE_PROLOGUE_1_0010;Selecione o seu iaque
GAMEPAD_PROLOGUE_1_0006;Mova seu cursor até aqui e SEGURE {GAMEPAD_ACTION_CONFIRM} para passar sua vez.
MOUSE_PROLOGUE_1_0006;Passe sua vez.
GAMEPAD_PROLOGUE_1_0004;Pressione {GAMEPAD_ACTION_CONFIRM} para construir aqui.
MOUSE_PROLOGUE_1_0004;Construa aqui.
GAMEPAD_PROLOGUE_1_0003;Mova seu cursor aqui e pressione {GAMEPAD_ACTION_CONFIRM} para construir terrenos.
MOUSE_PROLOGUE_1_0003;Construa terrenos em direção ao seu inimigo.
