PROLOGUE_5_0001;Boa sorte...
PROLOGUE_5_0002;Um sacrifício justo!
PROLOGUE_5_0003;Eu dominei TODOS os quatro elementos!
PROLOGUE_5_0004;Cuidado. Eu sempre perco pra esse babaca.
PROLOGUE_5_0014;Minha mente é infinita
PROLOGUE_5_0005;Sua morte virá do deserto!
PROLOGUE_5_0006;QUEIME!
PROLOGUE_5_0007;Dois novos poderes desbloqueados!
PROLOGUE_5_0008;Agora você pode comprar uma carta OU ganhar 1 de faeria em vez de criar terrenos.
PROLOGUE_5_0009;Isso termina agora!
PROLOGUE_5_0010;Curve-se diante do meu espírito!
PROLOGUE_5_0011;Essa criatura possui Última Vontade.
PROLOGUE_5_0012;Você precisa matar aquele espirito!
PROLOGUE_5_0013;NÃO! O QUE VOCÊ FEZ?
GAMEPAD_PROLOGUE_5_0015;Você pode usar {GAMEPAD_BACK_BUTTONS_L1} e {GAMEPAD_BACK_BUTTONS_R1} para ver as cartas na sua mão.
