1.cardName;Menino da Fazenda
2.cardName;Arqueiro da Colina
2.cardText;{ranged_attack}
3.cardName;Guerreiro de Syland
4.cardName;Mestre dos Cavalos de Syland
4.cardText;{gift} - Dá {charge|3} a outra criatura aliada durante este turno.
9.cardName;Engenheiro Imperial
9.cardText;{gift} - Aciona todas as suas habilidades de produção.
10.cardName;Manter Posições!
10.cardText;Acrescenta dois <b>Guardas Imperiais</b> 2/3 com {taunt} à sua mão.
11.cardName;Fortaleza Ambulante
12.cardName;Forja a Vapor
12.cardText;{production} - Uma criatura aliada aleatória ganha +1/+0.
13.cardName;Coletor de Impostos
13.cardText;{combat} - Ganha {faeria|1}.
14.cardName;Canção da Cura
14.cardText;Compra uma carta e recupera 5 de vida.
15.cardName;Salvaguarda
15.cardText;Dá {protection} a uma criatura.
16.cardName;Guarda Imperial
16.cardText;{taunt}\n{last_words} - Recupera 2 de vida.
22.cardName;Lutador da Liberdade
22.cardText;{haste}
23.cardName;Fogueira
23.cardText;Dá +1/+1 a uma criatura.
24.cardName;Mergulho do Falcão
24.cardText;Causa 1 de dano a uma criatura.
29.cardName;Mestre Espadachim
29.cardText;Tem +2/+0 durate o seu turno(enquanto está na sua mão ou em jogo).
30.cardName;Iaque da Pradaria
32.cardName;Ataque dos Iaques
32.cardText;Invoca três <b>Iaques Furiosos</b> 2/2 com {haste}.
33.cardName;Punição
33.cardText;Causa 2 de dano a uma criatura. Se for uma criatura neutra, causa 5.
34.cardName;Favorito da Rainha
34.cardText;{protection}
35.cardName;Guarda da Rainha
35.cardText;{taunt}\n{combat} - Ganha {faeria|1}.
36.cardName;Magda, Rainha de Meroval
36.cardText;Suas cartas Lendárias custam {faeria|1} a menos.\n{production} - Adicione uma carta Lendária aleatória à sua mão. Ela se torna {wild}.
37.cardName;Bobo da Corte
37.cardText;{taunt}\n{gift} - Dá a uma criatura aleatória em sua mão +2/+2.
38.cardName;Guarda do Rei
38.cardText;{taunt}\n{combat} - Compra uma carta.
39.cardName;Heroína Improvável
39.cardText;Na primeira vez em que esta criatura lutar e sobreviver, ela ganha +3/+3 e {charge|2}.
40.cardName;Magnus, Rei de Meroval
40.cardText;{charge|3}\n{combat} - Compra uma carta. Ela custa {faeria|0}.
41.cardName;Portador da Praga
41.cardText;{last_words} - Causa 2 de dano em TODAS as criaturas.
42.cardName;Máquina de Cerco
42.cardText;{ranged_attack}\nDespois de atacar, esta criatura ganha +1/+0.
43.cardName;Sharra, Matadora de Dragões
43.cardText;Sharra ignora todo o dano maior ou igual a 4.
44.cardName;Fome
44.cardText;Causa 1 de dano em TODAS as criaturas.
45.cardName;Juiz Real
45.cardText;{options|Compra uma carta Salvaguarda sem custo.|Compra uma carta Punição sem custo.}\n- Acrescenta uma carta <b>Salvaguarda</b> à sua mão. Custa {faeria|0}.\n- Acrescenta uma carta <b>Punição</b> à sua mão. Custa {faeria|0}.
46.cardName;Cartógrafo
46.cardText;{last_words} - Acrescenta uma carta <b>Explorar</b> à sua mão.
47.cardName;Estátua Cintilante
47.cardText;{taunt}\n{production} - Ganhe 1 de Vida.
48.cardName;Ancião da Vila
48.cardText;{last_words} - Compra uma carta.
49.cardName;Contador de Histórias
49.cardText;{gift} - Cada jogador compra 2 cartas e recupera 2 de vida.
50.cardName;Monge Andarilho
50.cardText;Ganha +1/+0 sempre que você comprar uma carta.
51.cardName;Executor Forjado à Vapor
52.cardName;Fiel ao Rei
52.cardText;{protection}
53.cardName;Dia dos Dragões
53.cardText;Adiciona os quatro <b>Dragões</b> elementais a sua mão. Eles custam menos {faeria|3} e se tornam {wild}.
54.cardName;Aventureiro Ousado
54.cardText;{gift} - Ganha +2/+2 para cada criatura inimiga adjacente.
55.cardName;Maceiro
56.cardName;Barão Thulgar
56.cardText;{last_words} - Cada jogador compra uma carta. Elas custam {faeria|0}.
57.cardName;Sabedoria
57.cardText;Compra 2 cartas.
58.cardName;Iaque de Guerra
58.cardText;Esta criatura recebe +2/+0 enquanto o seu oponente tiver 10 ou menos de vida.
59.cardName;Defensor da Terra Natal
59.cardText;{taunt}\n{gift} - Se você foi atacado no turno anterior, invoca outro <b>Defensor da Terra Natal</b>.
60.cardName;Assassino da Rainha
60.cardText;{deathtouch}
61.cardName;Criminoso Perseguido
61.cardText;{last_words} - Seu oponente compra uma carta e ganha {faeria|2}.
62.cardName;Caçador de Fortuna
62.cardText;Sempre que essa criatura coletar faeria, dê +1/+1 a uma criatura aliada aleatória.
63.cardName;Patrulheira Estrangeira
63.cardText;{gift} - Acrescenta uma <b>Fogueira</b> à sua mão.
64.cardName;Dreno Imperial
64.cardText;Todos os poços de faeria são esvaziados.\n{production} - Esta estrutura sofre 1 de dano.\n{last_words} - Reabastece todos os poços de faeria.
65.cardName;Explorador do Mangue
65.cardText;Tem +1/+1 enquanto você controlar {blue}{blue} e +0/+2 enquanto você controlar {green}{green}
66.cardName;Explorador da Caldeira Vulcânica
66.cardText;Tem +1/+1 enquanto você controlar {blue}{blue} e +2/+0 enquanto você controlar {red}{red}
67.cardName;Explorador do Oásis
67.cardText;Tem +1/+1 enquanto você controlar {blue}{blue} e +1/+1 enquanto você controlar {yellow}{yellow}
68.cardName;Explorador da Taiga
68.cardText;Tem +2/+0 enquanto você controlar {red}{red} e +0/+2 enquanto você controlar {green}{green}
69.cardName;Explorador da Savana
69.cardText;Tem +1/+1 enquanto você controlar {yellow}{yellow} e +0/+2 enquanto você controlar {green}{green}
70.cardName;Explorador do Arenito
70.cardText;Tem +2/+0 enquanto você controlar {red}{red} e +1/+1 enquanto você controlar {yellow}{yellow}
71.cardName;Peixe-Rubi
71.cardText;{aquatic}
72.cardName;Ladrão de Conhecimento
72.cardText;{options|Ganha +2/+2|Compra 2 cartas.}\n- Ganha +2/+2.\n- Compra 2 cartas.
73.cardName;Reservatório Gabriano
73.cardText;{production} - Ganhe {faeria|3}. Causa 1 de dano a esta estrutura.
74.cardName;Tyranax
75.cardName;Encantriz Gabriana
75.cardText;{gift} - O ataque de outra criatura se torna igual à vida dela.
76.cardName;Comandante Gabriano
76.cardText;{aquatic}, {charge|2}\nNa primeira vez em que você comprar uma carta com custo base de {faeria|7} ou mais, ganha +1/+1 e {flying}.
77.cardName;Guardiã Gabriana
77.cardText;{gift} - Dá {protection} a uma criatura.
82.cardName;Mochi da Nascente
82.cardText;{gift} - A próxima carta que você comprar com custo base de {faeria|7}+ custará {faeria|3} a menos.
83.cardName;Guerreiro Tritão
83.cardText;{jump}
84.cardName;Fera Mística
84.cardText;{gift} - Esta criatura ganha +2/+0 e {jump} se invocada adjacente a um poço inimigo.
85.cardName;Fantasma Espelhado
85.cardText;{gift} - Transforma outra criatura em um <b>Fantasma Espelhado</b> 5/5.
86.cardName;Cozinheiro Tritão
86.cardText;{gift} - Acrescenta uma carta <b>Banquete Tritão</b> à sua mão.
87.cardName;Sapo Ninja
87.cardText;{jump}, {haste}
88.cardName;Sapificar
88.cardText;Transforma uma criatura em um <b>Sapo</b> 2/2 com {jump}.
93.cardName;Encantamento Gabriano
93.cardText;O ataque de uma criatura se torna igual à vida dela.\nCompra uma carta.
94.cardName;Criação de Aurora
94.cardText;Acrescenta uma cópia de uma criatura à sua mão. Ela custará {faeria|5} a menos.
95.cardName;Perseguidor Sombrio
95.cardText;Custa {faeria|2} menos se você jogou um evento nesse turno.
96.cardName;Turbilhão de Feitiços
96.cardText;Adiciona 2 cartas azuis aleatórias à sua mão.
97.cardName;Nobre Gabriana
97.cardText;{gift} - Invoca um <b>Peixe-Rubi</b> 1/1 (você pode invocá-lo em um hexágono de oceano).
102.cardName;Discípulo de Aurora
102.cardText;Sempre que você jogar um evento, ganha +1/+1.
103.cardName;Casco Robusto
103.cardText;{aquatic}
104.cardName;Baeru, a Primeira Onda
104.cardText;{aquatic}\n{production} - Transforma todos os terrenos adjacentes em {blue}.
