ACT_FUGORO.marketDescription;Jogue com cartas de tesouro poderosas e vença Fugoro no próprio jogo dele.\nContém 7 missões.\nTotal de Recompensas: 4 Baús de Batalha e 600 de ouro.
ACT_FUGORO.marketName;Pacote de Missões do Fugoro
ACT_FUGORO.marketShortDescription;Pacote de Missões
ACT_HOAKA.marketDescription;Desafie o famoso estrategista tritão nos seus tabuleiros exclusivos.\nContém 7 missões.\nTotal de Recompensas: 4 Baús de Batalha e 600 de ouro.
ACT_HOAKA.marketName;Pacote de Missões do Hoaka
ACT_HOAKA.marketShortDescription;Pacote de Missões
ACT_JALMYR_02.marketDescription;Domine o jogo solucionando os enigmas da Esfinge.\nContém 10 Enigmas.\nTotal de Recompensas: 4 Baús de Batalha e 600 de ouro.
ACT_JALMYR_02.marketName;Jalmyr, Ato II
ACT_JALMYR_02.marketShortDescription;Pacote de Missões
ACT_JALMYR_03.marketDescription;Domine o jogo solucionando os enigmas da Esfinge.\nContém 10 Enigmas.\nTotal de Recompensas: 4 Baús de Batalha e 600 de ouro.
ACT_JALMYR_03.marketName;Jalmyr, Ato III
ACT_JALMYR_03.marketShortDescription;Pacote de Missões
ACT_JALMYR_04.marketDescription;Domine o jogo solucionando os enigmas da Esfinge.\nContém 10 Enigmas.\nTotal de Recompensas: 4 Baús de Batalha e 600 de ouro.
ACT_JALMYR_04.marketName;Jalmyr, Ato IV
ACT_JALMYR_04.marketShortDescription;Pacote de Missões
ACT_MAGDA.marketDescription;Torne-se um mestre nas combinações de tesouro para vencer a poderosa Rainha.\nContém 7 missões.\nTotal de Recompensas: 4 Baús de Batalha e 600 de ouro.
ACT_MAGDA.marketName;Pacote de Missões da Magda
ACT_MAGDA.marketShortDescription;Pacote de Missões
AVATAR_ADVENTURER.marketDescription;Siga os passos do jovem Fugoro na sua viagem sobre o céu!\n\nEste item desbloqueia um novo avatar para o seu orbe.
AVATAR_AURORA.marketDescription;Os passatempos da Aurora incluem aconselhar futuros heróis, guiar o curso da história e degustar novos chás.\n\nEsse item desbloqueia um novo avatar para o seu orbe.
