QUEST_NAME_PUZZLE_DLC_YRUSH_2;Intervenção Divina
QUEST_NAME_PUZZLE_DLC_YRUSH_1;Bata e Corra
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;Debandada
QUEST_NAME_PUZZLE_DLC_WHALES;Baleia de um Tempo
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;A Voz
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;Espelho Retorcido
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;Reinado de Peixes
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;Pelo Enxame
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;Iaque Rubi OTK
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;Festa de Canhões
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;Defensores de Céu-Acima
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;Proteja-se!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;O Orgulho Vem Antes de uma Queda
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;Aula de Ciências
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;Super Sapo
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;O Monstro
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;Pesadelo
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;Ascenção
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;Final
QUEST_NAME_PUZZLE_DLC_MAZE;Labirinto
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;Herói Inesperado
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;A Caçada está Ativa
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;Regicídio
QUEST_NAME_PUZZLE_DLC_KAIOS;Domínios of Kaios
QUEST_NAME_PUZZLE_DLC_ISTANU;Luz Eterna
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;Ursa OTK
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;Amigos Até o Fim
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Counter Strike
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;O Martelo
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;O Poder da Amizade
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;O Ferreiro
QUEST_NAME_PUZZLE_DLC_GEMSHELL;Escolha uma Carta
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;Conhecimento é Poder
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;Ônibus Escolar Mágico
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;Conto de Fadas
QUEST_NAME_PUZZLE_DLC_EXPLORER;Interruptor Cromático
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;Eventos OTK
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;Es of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;A Profecia
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;Em Construção
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;A Colheita
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;Carniceiro
QUEST_NAME_PUZZLE_DLC_BAERU;Senhor dos Oceanos
QUEST_NAME_PUZZLE_DLC_AXOLOTL;Arpéuxolotles
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;Eu Sonho e os Sapos Tremem
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;Poder Esmagador
QUEST_NAME_LOYALTY_PATCH_03;Queda da Vida Eterna
QUEST_NAME_LOYALTY_PATCH_02;Cila
QUEST_NAME_LOYALTY_PATCH_01;Hora do Martelo
QUEST_NAME_LOYALTY_PATCH_00;Corrupção
QUEST_NAME_PUZZLE_54;Quebra-cabeças 54
QUEST_NAME_PUZZLE_53;Quebra-cabeças 53
QUEST_NAME_PUZZLE_52;Quebra-cabeças 52
QUEST_NAME_PUZZLE_51;Quebra-cabeças 51
QUEST_NAME_PUZZLE_50;Quebra-cabeças 50
QUEST_NAME_PUZZLE_49;Quebra-cabeças 49
QUEST_NAME_PUZZLE_48;Quebra-cabeças 48
QUEST_NAME_PUZZLE_47;Quebra-cabeças 47
QUEST_NAME_PUZZLE_46;Quebra-cabeças 46
QUEST_NAME_PUZZLE_45;Quebra-cabeças 45
QUEST_NAME_PUZZLE_44;Quebra-cabeças 44
QUEST_NAME_PUZZLE_43;Quebra-cabeças 43
QUEST_NAME_PUZZLE_42;Quebra-cabeças 42
QUEST_NAME_PUZZLE_41;Quebra-cabeças 41
QUEST_NAME_PUZZLE_40;Quebra-cabeças 40
QUEST_NAME_PUZZLE_39;Quebra-cabeças 39
QUEST_NAME_PUZZLE_38;Quebra-cabeças 38
QUEST_NAME_PUZZLE_37;Quebra-cabeças 37
QUEST_NAME_PUZZLE_36;Quebra-cabeças 36
QUEST_NAME_PUZZLE_35;Quebra-cabeças 35
QUEST_NAME_PUZZLE_34;Quebra-cabeças 34
QUEST_NAME_PUZZLE_33;Quebra-cabeças 33
QUEST_NAME_PUZZLE_32;Quebra-cabeças 32
QUEST_NAME_PUZZLE_31;Quebra-cabeças 31
QUEST_NAME_PUZZLE_30;Quebra-cabeças 30
QUEST_NAME_PUZZLE_29;Quebra-cabeças 29
QUEST_NAME_PUZZLE_28;Quebra-cabeças 28
QUEST_NAME_PUZZLE_27;Quebra-cabeças 27
QUEST_NAME_PUZZLE_26;Quebra-cabeças 26
QUEST_NAME_PUZZLE_25;Quebra-cabeças 25
QUEST_NAME_PUZZLE_24;Quebra-cabeças 24
QUEST_NAME_PUZZLE_23;Quebra-cabeças 23
QUEST_NAME_PUZZLE_22;Quebra-cabeças 22
QUEST_NAME_PUZZLE_21;Quebra-cabeças 21
QUEST_NAME_PUZZLE_20;Quebra-cabeças 20
QUEST_NAME_PUZZLE_19;Quebra-cabeças 19
QUEST_NAME_PUZZLE_18;Quebra-cabeças 18
QUEST_NAME_PUZZLE_17;Quebra-cabeças 17
QUEST_NAME_PUZZLE_16;Quebra-cabeças 16
QUEST_NAME_PUZZLE_15;Quebra-cabeças 15
QUEST_NAME_PUZZLE_14;Quebra-cabeças 14
QUEST_NAME_PUZZLE_13;Quebra-cabeças 13
QUEST_NAME_PUZZLE_12;Quebra-cabeças 12
QUEST_NAME_PUZZLE_11;Quebra-cabeças 11
QUEST_NAME_PUZZLE_10;Quebra-cabeças 10
QUEST_NAME_PUZZLE_09;Quebra-cabeças 09
QUEST_NAME_PUZZLE_08;Quebra-cabeças 08
QUEST_NAME_PUZZLE_07;Quebra-cabeças 07
QUEST_NAME_PUZZLE_06;Quebra-cabeças 06
QUEST_NAME_PUZZLE_05;Quebra-cabeças 05
QUEST_NAME_PUZZLE_04;Quebra-cabeças 04
QUEST_NAME_PUZZLE_03;Quebra-cabeças 03
QUEST_NAME_PUZZLE_02;Quebra-cabeças 02
QUEST_NAME_PUZZLE_01;Quebra-cabeças 01
ACT_LOYALTY_PATCH;Patch da Lealdade
ACT_JALMYR_04;Jalmyr - Ato IV
ACT_JALMYR_03;Jalmyr - Ato III
ACT_JALMYR_02;Jalmyr - Ato II
ACT_JALMYR_01;Jalmyr - Ato I
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;Pela Causa
ACT_DLC_ELEMENTS_TRIBES;Tribos do Céu-Acima
ACT_DLC_ELEMENTS_REDBLUE;A Vapor
ACT_DLC_ELEMENTS_PAIRS;Pares
ACT_DLC_ELEMENTS_MOBILITY;Monte os Ventos
ACT_DLC_ELEMENTS_LEGENDS;Lendas
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;Criaturas Perigosas
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;Combo Através das Eras
ACT_DLC_ELEMENTS_CHALLENGE;Desafio
ACT_DLC_ELEMENTS_BOARD_CLEAR;Limpe a Ardósia
ACT_PUZZLE_TUTORIAL;Quebra-cabeças Tutorial
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;Ataque dos Iaques
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;Evento de Extinção
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;Ruínas Shedim
QUEST_NAME_PUZZLE_DLC_HIPPO;Sacrifício Valente
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;Balu Irritado
QUEST_NAME_PUZZLE_DLC_COMMANDER;Peixe fora d'Água
QUEST_NAME_PUZZLE_DLC_BARRACKS;Pesca Voadora
