ACTIVATE;<b>Ativar</b>
AQUATIC;<b>Aquático</b>
ARTIFACT;Artefato
AUTO_HARVEST;<b>Colheita Automática</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Verde Iniciante
BLUEPRINT_01.shortdescription;Aproveite a força da floresta e apoie o seu exército de humanos com vida extra e mobilidade. Estabeleça uma base perto de um poço de faeria e, em seguida, corra em direção ao orbe!
BLUEPRINT_02.name;Vermelho Iniciante
BLUEPRINT_02.shortdescription;Os ogros marcham ameaçadoramente vindo das montanhas. Ataque seu oponente com sua força bruta e, em seguida, termine o trabalho com fogo.
BLUEPRINT_03.name;Azul Iniciante
BLUEPRINT_03.shortdescription;Espalhe água com o poder dos eventos! Use criaturas que pulam e peixes aquáticos para coletar faeria de vários poços de uma só vez. Golpeie seu oponente quando for a hora certa.
BLUEPRINT_04.name;Amarelo Iniciante
BLUEPRINT_04.shortdescription;Saboreie os prazeres escuros do deserto. Pratique rituais proibidos e ganhe poder com a morte de suas próprias criaturas. Use sua própria vida como um recurso para ganhar uma vantagem sobre seu oponente e consumir o orbe dele.
BLUEPRINT_05.name;Invasão Azul
BLUEPRINT_05.shortdescription;Deixe sua ganância em coletar mais faeria empoderar você. Foque na colheita dos poços inimigos e seus pesados colossos se tornarão mais baratos com cada coleta.
BLUEPRINT_06.name;Glória no Combate
BLUEPRINT_06.shortdescription;Esmague seus inimigos, veja-os fugir diante de você, e ouça as lamentações dos iaques. Comande um exército que cresce em combate. O dom do aço brilha mais forte em tempos de guerra.
BLUEPRINT_07.name;Cruzada Mortal
BLUEPRINT_07.shortdescription;Não mostre misericórdia. Corra diretamente para o seu adversário e ataque o seu orbe a todo custo, empoderando seus Cruzados Zelosos no processo.
BLUEPRINT_08.name;A Barganha Final
BLUEPRINT_08.shortdescription;Faça uma barganha com os ogros e jogue cartas caras por uma fração de seu custo normal. Liberte Dragões e Bestas para ceifar vitórias épicas.
BLUEPRINT_09.name;Armada Celeste
BLUEPRINT_09.shortdescription;Comande os céus. Seus aviários vão aumentar a força de sua armada voadora. Voe até o coração do inimigo e libere a morte de cima.
BLUEPRINT_10.name;Ira da Natureza
BLUEPRINT_10.shortdescription;A floresta nem sempre é tão paciente. Parta em direção ao orbe e abra caminho para os seus Caçadores de Deuses procurarem sua presa natural: a face do seu inimigo.
CHARGE;<b>Avançar {0}</b>
COMBAT;<b>Combate</b>
CONVOKE;<b>Convocar</b>
CORRUPT;<b>Corrompido</b>
CREATURE;Criatura
CURRENCY_COIN;Fragmentos
CURRENCY_GEM;Gemas
DAILY_QUEST_00_NAME;Ultima
DAILY_QUEST_01_NAME;Violência
DAILY_QUEST_02_NAME;Deicida
DAILY_QUEST_03_NAME;Julgamento
DAILY_QUEST_04_NAME;Conquista
DAILY_QUEST_05_NAME;Tsunami
DAILY_QUEST_06_NAME;Florescer
DAILY_QUEST_07_NAME;Inferno
DAILY_QUEST_08_NAME;Tempestade de Areia
DAILY_QUEST_09_NAME;Equilíbrio
DAILY_QUEST_11_NAME;Milagre
DAILY_QUEST_12_NAME;Criação
DAILY_QUEST_13_NAME;Provação Divina
DAILY_QUEST_14_NAME;Duelista
DAILY_QUEST_15_NAME;Veterano
DAILY_QUEST_16_NAME;Desafio dos Amigos
DAILY_QUEST_18_NAME;Desafio dos Amigos
DAILY_QUEST_27_NAME;Caça ao Tesouro
DAILY_QUEST_28_NAME;Se Valide
DAILY_QUEST_30_NAME;Despertar da Pandora
DAILY_QUEST_31_NAME;Observe e Aprenda
DAILY_QUEST_32_NAME;Amigos Até o Fim
DAILY_QUEST_33_NAME;Vestido Para o Sucesso
DAILY_QUEST_34_NAME;Faça Você Mesmo
DAILY_QUEST_35_NAME;Mestre Artífice
