ACCEPT;Aceitar
ACCOUNT_RECOVERY;Recuperar Conta
ACCOUNT_RECOVERY_TITLE;Recupere Sua Conta
ACTIVATION_KEY;Chave de ativação
ADD_A_FRIEND;Adicione um amigo através do id dele
ADD_NEW_DECK;Novo Baralho
ADVENTURE_POUCH_POINTS;Pontos da Bolsa de Aventura
ALLY_TURN;Turno do Aliado
AMBIENT;Ambiente
ARENA_RUN_DECK_NAME;Baralho Pandora
BACK;VOLTAR
BIND_ACCOUNT_BUTTON;Associar a {0}
BIND_ACCOUNT_LABEL;Já possui uma conta no Faeria?
BLUEPRINT_PANEL_TEXT1;Experimente alterar um dos seus baralhos pré-criados primeiro.
BLUEPRINT_PANEL_TEXT2;Você também pode construir um baralho personalizado pressionando o botão abaixo.
BLUEPRINT_PANEL_TITLE;Quer construir seu próprio baralho?
BLUEPRINT_REQUIREMENT_LEVEL;ALCANÇAR NÍVEL
BLUEPRINT_REQUIREMENT_QUEST;COMPLETE MAIS MISSÕES PARA DESBLOQUEAR ESSA FÓRMULA
BOOSTER_OPENING_GEMSTITLE;Gemas de Raridade
BOSS_DEFEATED;Derrotado
BOSS_NOT_RELEASED;A ser liberado
BUILD_YOUR_DECK;Baralho Personalizado
CANCEL;Cancelar
CARD_LIMIT_MESSAGE;Cada carta está limitada a 3 cópias por baralho.
CHAT_ERROR_MESSAGE_TOO_LONG;A mensagem é muito longa (máx. de {0} caractéres).
CHAT_ERROR_NOBODY_TO_REPLY_TO;Não há para quem responder.
CHAT_ERROR_NOT_CONNECTED;Sua conexão foi perdida. Tente sair e entrar novamente.
CHAT_ERROR_NO_INTERLOCUTOR;Você não está conversando com ninguém. Use o comando /w, a lista de amigos ou clique em um nome de usuário no bate-papo para enviar uma mensagem.
CHAT_ERROR_ONLY_WITH_FRIENDS;Você só pode conversar com pessoas que são suas amigas no Faeria.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} está desconectado: Você só pode enviar mensagens para usuários conectados.
CHAT_GENERIC_WARNING;Lembre-se que funcionários da Abrakam Entertainment nunca solicitarão sua senha ao prestar ajuda. Não dê informações pessoais no bate-papo.
CHAT_HINT_USER_BACK_ONLINE;{0} está online!
CHAT_HINT_USER_WENT_OFFLINE;{0} ficou offline.
CHAT_INPUT_PLACEHOLDER;/w nome_de_usuário Sua mensagem.
CHAT_TOOLTIP_DND_MODE;Modo Não Perturbe. Enquanto o modo estiver ativado, esta janela não abrirá quando você receber uma mensagem. As mensagens serão enviadas silenciosamente.
CHAT_TO_SOMEBODY;Para [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;Passe de nível ou complete as Missões Diárias para ganhar mais Baús!
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;Atualmente você tem todos os itens míticos. Volte mais tarde.
CHOOSE_OTHER_BLUEPRINT;Trocar de Fórmula
CLAIM_REWARDS;Reivindique seu prêmio
CLEAR;Limpar
COLLECTION_FILTER_CARD_TYPE;Filtrar por tipo de carta
COLLECTION_FILTER_FAERIA_COST;Filtar por custo de faeria
COLLECTION_MODE;Criação
COLLECTION_SEARCH_PLACEHOLDER;Pesquisar...
CONFIRM;Confirmar
CONNECTION_LOST_RECONNECTING;Conexão perdida\nTentando reconectar...
CONNECTION_QUEUE_CAPTION;Sua posição na fila:
CONNECTION_QUEUE_TITLE;Servidores lotados!
CONSTRUCTED_MODE;Modo Ranqueado
CONSTRUCTED_RUN_DECK_NAME;Baralho Ranqueado
CO_OP_POPUP_JOIN_BUTTON_TEXT;Juntar-se
CO_OP_POPUP_LOCKED_BUTTON_TEXT;Jogar
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;Você deve completar as missões anteriores para desbloquear esta
CO_OP_POPUP_ALLY_SELECTION_TITLE;Convide seu aliado
CO_OP_POPUP_NO_ALLY;Nenhum aliado disponível
CO_OP_LOBBY_CANCELLED;Seu aliado cancelou a missão
COUPON_REDEEM;Resgatar
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;Não é possível desencantar essa carta enquanto procura por uma partida.
CRAFT_LEGENDARY_ERROR;Você não pode criar cartas lendárias
CRAFT_GOLD_CARD_ERROR;Você não pode criar cartas míticas
CRAFT_FOURTH_CARD;Você já possui 3 ou mais cópias dessa carta
CRAFT_NOT_ENOUGH_CHARGES;Você não possui cargas suficientes para criar uma carta
CRAFT_FULLY_CHARGED;Cheio
CRAFT_ACCOUNT_LEVEL_TOO_LOW;Você deve ter pelo menos nível {0} para criar esta carta
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;Criar
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;Desencantar
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;Desencantar todo o excesso
CRAFT_MODE_UNAVAILABLE_TOOTIP;Você precisa ter nível {0} para usar a Criação
CRAFT_SECOND_LEGENDARY_CARD;Você já possui essa carta lendária
CREATE_BLUEPRINT_DECK;Criar
CREATE_YOUR_ACCOUNT;Crie sua conta
DAILY_REWARD_NEXT;Próximo
DAILY_REWARD_TITLE;Recompensa de Conexão Diária
DAILY_REWARD_POPUP_TITLE;Bônus de Conexão Diária!
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;Mostrar míticas?
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;Padrão
DECKEDITOR_SAVETEXT;Salvar
DECKLAYOUT_INCOMPLETE_TEXT;Incompleto
DECKSELECTION_SOLO_INFO;Esta é a tela de Seleção de Baralhos para o Modo Missões. Volte ao menu principal para criar ou editar baralhos.
DECK_EDITOR_BUY_BATTLE_CHEST;Compre Baús de Batalha para conseguir mais cartas.
DECK_EDITOR_FILTER_NO_RESULT;Nenhuma carta corresponde ao seu critério de busca.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;Você não possui cartas azuis.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;Você não possui cartas verdes.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;Você não possui cartas neutras.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;Você não possui cartas vermelhas.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;Você não possui cartas amarelas.
DECK_SIZE;Tamanho do Baralho:
DECK_SLOT_PURCHASE;+5 Espaços para Baralho
DELETE;Excluir
DISCONNECT;Desconectado
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;Você precisa ter mais de {0} cartas para Desencantar
DONE;Pronto
DROP_RUN;Sair
DYNAMIC_BUNDLE_CONFIRM_WARNING;Pacote Dinâmico: Você já possui itens deste pacote, o preço abaixo foi descontado proporcionalmente.
EDIT;Editar
ELITE_MISSIONS_BUTTON_TEXT;Chefões Mundiais
ELITE_MISSIONS_BUTTON_TOOLTIP;Requer nível {0}
EMAIL_ADDRESS;Endereço de email
EMOTE_MENU_GREETINGS;Saudações
EMOTE_MENU_OOPS;Oops
EMOTE_MENU_TAUNT;Provocar
EMOTE_MENU_UNIQUE;Único
EMOTE_MENU_WELL_PLAYED;Bem jogado
EMOTE_MENU_WOW;Uau
END_TURN;Encerrar turno
ENEMY_TURN;Turno do inimigo
ENTER_DECK_NAME;Inserir Nome do Baralho
ENTER_YOUR_RECRUITERS_NAME;Insira o nome do seu recrutador...
EVENING;Anoitecer
EVENT_BUTTON_TEXT_SEND;enviar
EVENT_EGG_HATCHING_HAS_EGG;Parece que sua incubadora está vazia no momento. Se você encontrar outro ovo, você pode cuidar dele aqui!\nAssista aos nossos eventos de streaming no canal FaeriaTV do Twitch para ter a chance de receber o seu próprio ovo.\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;Bem-vindo à sua incubadora. Seu ovo ficará protegido e aquecido até que esteja pronto para chocar!\nVerifique abaixo se o seu ovo ainda está seguro, e quem sabe você não precisa esperar muito tempo...\nAssim que o seu ovo chocar, você pode buscar outro para manter protegido aqui. Confira as próximas Finais da Copa Mensal.
EVENT_HATCH_EGG_BUTTON;Choque seu ovo
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;Insira o endereço de email do seu amigo
EVENT_TEXT_LOCK_OVERLAY;Ganhe 5 partidas Pandora para desbloquear a segunda chave.
EVENT_TEXT_TITLE;Evento: Convide seus Amigos
EXIT_CRAFT_MODE;Criar
FAERIA_AVERAGE;Média de Faeria
FRIENDLIST;Lista de Amigos
FRIENDLIST_FRIEND_REQUEST;Ver pedido de amizade
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;Ver sugestão
FRIENDLIST_STEAM_FRIEND_SUGGESTION;Ver sugestão da Steam
FRIENDLIST_GAME_INVITE;Ver convite de jogo
FRIENDLIST_DISCORD_HINT;Entre no nosso canal do Discord para ficar por dentro de tudo!
FRIENDLIST_FRIEND;Amigo
FRIENDLIST_INGAME;Jogando
FRIENDLIST_INVITE_TO_LOBBY;Convidar para sala de espera
FRIENDLIST_INVITE_TO_TOURNAMENT;Convidar para torneio
FRIENDLIST_IN_LOBBY;Em uma sala de espera
FRIENDLIST_OFFLINE;Desconectado
FRIENDLIST_ONLINE;Conectado
FRIENDLIST_RECENTLY_PLAYED;Jogou recentemente
FRIENDLIST_REMOVE;Remover amigo
FRIENDLIST_REQUEST_INITIATOR;Aguardando Resposta
FRIENDLIST_REQUEST_RECIPIENT;Solicitação de Amizade Enviada
FRIENDLIST_SEND_MESSAGE;Enviar mensagem
FRIENDLIST_SPECTATE_GAME;Assistir partida
FRIENDLIST_SPECTATING;Assistindo
FRIENDLIST_SPECTATING_YOU;Assistindo sua partida
FRIENDLIST_SUGGESTED;Sugerido
FRIENDLIST_SUGGEST_TO_LOBBY;Sugerir para sala de espera
FRIENDLIST_VIEW_PROFILE;Ver perfil
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;Solicitação de Amizade Enviada
FX;Efeitos sonoros
GAME_CONNECTION_LOST_RECONNECTING;A conexão com a partida foi perdida\nTentando reconectar...
GAME_HAS_CRASHED;O jogo travou ({0}). Ele era bonito demais para esse mundo.
GEM_BONUS_AMOUNT;+ {0} Bônus
GEM_PURCHASE_POPUP_TITLE;Escolha as Gemas
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;Você não possui Gemas suficientes. Está na hora de conseguir algumas!
GENERAL;Geral
