AURORA_EPIC_01_0001;Неужели ты обидишь старушку?
AURORA_EPIC_01_0002;Не стоит тебе этого делать...
AURORA_EPIC_01_0003;Твоему существу будет лучше у меня.
AURORA_EPIC_01_0004;Хочешь чаю, дорогуша?
AURORA_EPIC_01_0005;От войны всегда столько шума. Лучше отдохни.
AURORA_EPIC_01_0006;Что получится, если бросить зелёный камень в фиолетовую реку?
AURORA_EPIC_01_0007;Ответ: брызги.
AURORA_EPIC_01_0008;Такой прекрасный день.
AURORA_EPIC_01_0009;Мой чай почти закончился.
AURORA_EPIC_01_0010;Вот я и допила свой чай.
AURORA_EPIC_01_0011;Благодарю за возможность допить мой чай.
AURORA_EPIC_01_0012;Не стоило тебе позволять ей допить чай...
