BOSS_KING_YAKNUS_0002;Спасибо за помощь.
BOSS_KING_YAKNUS_0003;Докажи, что достоин моего народа.
BOSS_KING_YAKNUS_0004;Я веду гордый и приятный народ.
BOSS_KING_YAKNUS_0005;В бой, мои пушистые братья!
BOSS_KING_YAKNUS_0006;В бой, мои пушистые братья!
BOSS_KING_YAKNUS_0007;У этой розы есть шипы.
BOSS_KING_YAKNUS_0008;Приготовься!
BOSS_KING_YAKNUS_0009;ЯКНАРЁК!!!
BOSS_KING_YAKNUS_0010;Приготовься.
BOSS_KING_YAKNUS_0011;ЯКНАРЁК!!!
BOSS_KING_YAKNUS_0012;Приготовься.
BOSS_KING_YAKNUS_0013;ЯКНАРЁК!!!
