FUGORO_EPIC_03_0001;Я разжился новыми сокровищами.
FUGORO_EPIC_03_0002;Некоторые говорят, что эта живая статуя была когда-то сестрой Ороси.
FUGORO_EPIC_03_0003;Верховный жрец Сарио мог бесконечно развлекаться со своими жертвами. Буквально бесконечно.
FUGORO_EPIC_03_0004;Эта штука в своё время удостоилась награды на ежегодном конкурсе Лучший Землетряс!
FUGORO_EPIC_03_0005;Чтобы добыть эту прелесть, мне пришлось пробраться вглубь горы Гарудана.
FUGORO_EPIC_03_0006;Безумный король создал целую ферму заводных яков.
FUGORO_EPIC_03_0007;Здесь хранятся тайны безымянного монаха. Я зову его Джерри.
FUGORO_EPIC_03_0008;Дворцовая чаша содержит зелье истины.
FUGORO_EPIC_03_0009;Сердца диких зверей бьются в унисон с этим барабаном.
FUGORO_EPIC_03_0010;Этот рог некогда принадлежал самому Якнусу.
FUGORO_EPIC_03_0011;Хоть Арамис и пал, его клинок отказался покидать поле боя.
