KROG_EPIC_01_0001;Добро пожаловать на вечеринку!
KROG_EPIC_01_0002;Танцуйте во имя короля!
KROG_EPIC_01_0003;Хорошая вечеринка!
KROG_EPIC_01_0004;Тряхните яками!
KROG_EPIC_01_0005;Король знает толк в веселье!
KROG_EPIC_01_0006;Танцуем, как Крог!
KROG_EPIC_01_0007;Обожаю эту песню!
KROG_EPIC_01_0008;Время Крога!
KROG_EPIC_01_0009;Пошумим!
KROG_EPIC_01_0010;Больше якотрясений!
KROG_EPIC_01_0011;Ну! Чьи яки достаточно круты для этого?
KROG_EPIC_01_0012;Холостые огры, поднимите руки!
KROG_EPIC_01_0013;Все огры, кричите Як!
KROG_EPIC_01_0014;Почему никто не кричит Як?
KROG_EPIC_01_0015;Танцевать не весело?
KROG_EPIC_01_0016;Крог... должен немного подумать.
KROG_EPIC_01_0017;Вечеринке конец.
