PROLOGUE_3_0001;ЛЕС даёт мне силу!
PROLOGUE_3_0002;Леса дают ему сыграть более сильные карты.
PROLOGUE_3_0003;Для использования некоторых карт требуются особые земли.
PROLOGUE_3_0004;Для призыва этого Гризли нужен один лес.
PROLOGUE_3_0006;Лесных существ можно призвать ТОЛЬКО на лесной земле.
PROLOGUE_3_0007;В каждый свой ход вы можете создать либо одну особую, либо две нейтральных земли.
PROLOGUE_3_0008;Этому Голему нужно 5 лесов.
PROLOGUE_3_0009;Описание способностей появляется НАД картой.
PROLOGUE_3_0010;Выберите карту, чтобы узнать, что она делает.
PROLOGUE_3_0011;Существа, обладающие Даром, выполняют уникальные действия в момент призыва.
PROLOGUE_3_0012;Этот враг обладает Насмешкой.
PROLOGUE_3_0013;Существа, которые находятся рядом с врагом, обладающим Насмешкой, ОБЯЗАНЫ оставаться рядом с ним и сражаться.
