PROLOGUE_5_0001;Удачи...
PROLOGUE_5_0002;Достойная жертва.
PROLOGUE_5_0003;Мне подвластны все четыре стихии!
PROLOGUE_5_0004;Осторожно. Я всегда проигрываю этому негодяю.
PROLOGUE_5_0014;Мой разум бесконечен!
PROLOGUE_5_0005;Твоя смерть придёт из пустыни!
PROLOGUE_5_0006;ГОРИ!
PROLOGUE_5_0007;Разблокированы 2 новых силы!
PROLOGUE_5_0008;Теперь вместо создания новых земель можно взять карту или получить 1 фейри.
PROLOGUE_5_0009;Покончим с этим!
PROLOGUE_5_0010;Склонись пред моим духом!
PROLOGUE_5_0011;Это существо хочет сказать Последнее слово.
PROLOGUE_5_0012;Нужно убить духа!
PROLOGUE_5_0013;НЕТ! ТЫ ЧТО ТВОРИШЬ?!
GAMEPAD_PROLOGUE_5_0015;Чтобы просмотреть карты в руке, нажимайте {GAMEPAD_BACK_BUTTONS_L1} и {GAMEPAD_BACK_BUTTONS_R1}
