ACT_FUGORO.marketDescription;Используйте сильные карты сокровищ и побейте Фугоро в его же игре.\nСодержит 7 миссий.\nОбщая награда: 4 боевых сундука и 600 золотых.
ACT_FUGORO.marketName;Набор миссий Фугоро
ACT_FUGORO.marketShortDescription;Набор миссий
ACT_HOAKA.marketDescription;Бросьте вызов знаменитому стратегу тритонов и сразитесь на его уникальных полях.\nСодержит 7 миссий.\nОбщая награда: 4 боевых сундука и 600 золотых.
ACT_HOAKA.marketName;Набор миссий Хоаки
ACT_HOAKA.marketShortDescription;Набор миссий
ACT_JALMYR_02.marketDescription;Попрактикуйтесь, решая загадки Сфинкса.\nСодержит 10 Головоломок.\nНаград: 4 Боевых Сундука и 600 золотых.
ACT_JALMYR_02.marketName;Джалмир, акт II
ACT_JALMYR_02.marketShortDescription;Набор миссий
ACT_JALMYR_03.marketDescription;Попрактикуйтесь, решая загадки Сфинкса.\nСодержит 10 Головоломок.\nНаград: 4 Боевых Сундука и 600 золотых.
ACT_JALMYR_03.marketName;Джалмир, акт III
ACT_JALMYR_03.marketShortDescription;Набор миссий
ACT_JALMYR_04.marketDescription;Попрактикуйтесь, решая загадки Сфинкса.\nСодержит 10 Головоломок.\nНаград: 4 Боевых Сундука и 600 золотых.
ACT_JALMYR_04.marketName;Джалмир, акт IV
ACT_JALMYR_04.marketShortDescription;Набор миссий
ACT_MAGDA.marketDescription;Научитесь использовать уникальные комбинации сокровищ, чтобы одолеть могущественную королеву.\nСодержит 7 заданий.\nОбщая награда: 4 боевых сундука и 600 золотых.
ACT_MAGDA.marketName;Набор заданий Магды
ACT_MAGDA.marketShortDescription;Набор миссий
AVATAR_ADVENTURER.marketDescription;Последуйте за юным Фугоро в его сверхнебесном путешествии!\n\nЭта покупка открывает новый аватар для вашей сферы.
AVATAR_AURORA.marketDescription;В свободное время Аврора любит обучать будущих героев, направлять ход истории и пробовать новые сорта чая.\n\nЭта покупка открывает новый аватар для вашей сферы.
AVATAR_BLUE_ELEMENTAL_2.marketDescription;Иногда мудрецы видят это существо в руинах заброшенных городов.\n\nЭта покупка открывает новый аватар для вашей сферы.
AVATAR_BLUE_ELEMENTAL_3.marketDescription;Он является мудрецам и исполняет их желания: открывает будущее их взору.\n\nЭта покупка открывает новый аватар для вашей сферы.
AVATAR_BOMB_SLINGER.marketDescription;Жизнь исчисляется не количеством вдохов, а количеством взрывов, от которых захватывает дух.\n\nЭта покупка открывает новый аватар для вашей сферы.
AVATAR_CAP_10.marketDescription;Давным-давно этот механизм был создан как защитник. Теперь он перепрограммирован на пиратство!
AVATAR_DARK_WISP.marketDescription;Озорной дух, живущий в пустоте между сущим.\n\nЭта покупка открывает новый аватар для вашей сферы.
