CARD_ALREADY_OWNED_TOOLTIP_TEXT;Вы владеете {0} копиями этой карты.
CARD_FILTER_CREATURE;Существо
CARD_FILTER_EVENT;Событие
CARD_FILTER_FALL_OF_EVERLIFE;Гибель Древа
CARD_FILTER_OVERSKY;Сверхнебесье
CARD_FILTER_STRUCTURE;Строение
PANDORA_MYTHIC_RUN_NOT_ENOUGH_COINS_ERROR_TEXT;У вас недостаточно осколков для такого типа Пандоры.
PANDORA_MYTHIC_RUN_TOOLTIP_TEXT;Сыграйте в мифическую Пандору. Выиграйте до 6 игр, чтобы получить осколки.
PANDORA_POINT_TOOLTIP_TEXT;Выигрывайте очки, чтобы получить награды в конце каждого сезона.
PANDORA_POP_UP_MULTI_PLAYER_TITLE_TEXT;Сетевая игра
PANDORA_POP_UP_MYTHIC_MULTI_PLAYER_INFO_TEXT;Сражайтесь против других игроков, чтобы получить НАМНОГО большие награды.
PANDORA_POP_UP_MYTHIC_RUN_MULTI_PLAYER_TITLE_TEXT;Мифическая сетевая игра
PANDORA_POP_UP_MYTHIC_RUN_SINGLE_PLAYER_TITLE_TEXT;Мифическая одиночная игра
PANDORA_POP_UP_MYTHIC_SINGLE_PLAYER_INFO_TEXT;Сражайтесь против ИИ, становящегося сильнее с каждой битвой, чтобы получить осколки.
PANDORA_POP_UP_SINGLE_PLAYER_TITLE_TEXT;Одиночная игра
PANDORA_POP_UP_STANDARD_MULTI_PLAYER_INFO_TEXT;Сражайтесь против других игроков, чтобы получить НАМНОГО большие награды.
PANDORA_POP_UP_STANDARD_RUN_MULTI_PLAYER_TITLE_TEXT;Сетевая игра
PANDORA_POP_UP_STANDARD_RUN_SINGLE_PLAYER_TITLE_TEXT;Одиночная игра
PANDORA_POP_UP_STANDARD_SINGLE_PLAYER_INFO_TEXT;Сражайтесь против ИИ, становящегося сильнее с каждой битвой, чтобы получить боевые сундуки и карты.
PANDORA_STANDARD_RUN_HAS_FULL_COLLECTION_ERROR_TEXT;У вас уже есть все доступные карты, поэтому вы больше не сможете сыграть в стандартную Пандору
PANDORA_STANDARD_RUN_NOT_ENOUGH_CHEST_ERROR_TEXT;У вас недостаточно боевых сундуков для начала этого типа Пандоры
PANDORA_STANDARD_RUN_TOOLTIP_TEXT;Сыграйте в стандартную Пандору. Выиграйте до 6 игр, чтобы получить боевые сундуки и карты.
PURCHASE_PANEL_BUY_MISSING_SOFT_CURRENCY_TEXT;Купить недостающие {1}: {0}?
PURCHASE_PANEL_GO_TO_SHOP_BUTTON_TEXT;В магазин
PURCHASE_PANEL_OUT_OF_CURRENCY_TEXT;Недостаточно валюты: {0}. Вы можете пополнить свои запасы в магазине.
REWARD;Награда
REWARD_ACT;Открыт набор миссий
REWARD_ARENA_POINTS;{0}
REWARD_AVATAR;Вы получили аватар
REWARD_BLUEPRINT;Новая Формула открыта!
REWARD_BOOSTER;{0}
REWARD_CARD;Вы получили {0} карт(ы)
REWARD_CARD_BACK;Новая рубашка карты
REWARD_EMOTE;Новая эмоция
REWARD_FEATURE_ARENA_ID;Теперь вам доступен режим Пандора!
REWARD_FEATURE_CRAFTING_ID;Вы открыли создание карт!
REWARD_FEATURE_EPIC_CRAFTING_ID;Вы открыли создание эпических карт!
REWARD_FEATURE_HIGHLANDER_ID;Теперь вам доступен режим Горец!
REWARD_FEATURE_MAIN_MENU_ID;Вы открыли конструктор колод!
REWARD_FEATURE_RANKED_ID;Вы открыли рейтинговый режим!
REWARD_FEATURE_RARE_CRAFTING_ID;Вы открыли создание редких карт!
REWARD_ORIGIN_ACCOUNTACTIVATED;Награда за активацию учётной записи
REWARD_ORIGIN_ANNUITY;Гоки нашёл осколки
REWARD_ORIGIN_ARENA;Ваша награда
REWARD_ORIGIN_CRAFT;Создание завершено!
REWARD_ORIGIN_DAILYASSIGNMENT;Ежедневное задание
REWARD_ORIGIN_DAILYQUEST;Ежедневное задание завершено
REWARD_ORIGIN_DEFEAT;Ваша награда
REWARD_ORIGIN_DLCPREMIUM;Премиумная учётная запись
REWARD_ORIGIN_DLCFALLOFEVERLIFE;Гибель Древа
REWARD_ORIGIN_EARLYACCESSBUNDLE;Комплект раннего доступа
REWARD_ORIGIN_FIRSTDAYVICTORY;Первая победа дня
REWARD_ORIGIN_HATCH;Вылупление яйца
REWARD_ORIGIN_LADDERRESET;Награда конца рейтингового сезона
REWARD_ORIGIN_LEVEL;Награда за уровень {0}
REWARD_ORIGIN_LOYALTYPATCH;Награда за обновление "Верность"
REWARD_ORIGIN_MARKET;Покупка завершена!
REWARD_ORIGIN_POUCH;Награда за Кисет путешественника
REWARD_ORIGIN_QUEST;Награда за миссию
REWARD_ORIGIN_RECRUITMENT;Спасибо наёмнику!
REWARD_ORIGIN_SOLOOBJECTIVE;Цель выполнена
REWARD_ORIGIN_STEAMPACK;Набор Steam
REWARD_ORIGIN_VICTORY;Ваша награда
REWARD_POUCH_POINTS;{0}
REWARD_WELL;Новый колодец фейри
TOURNAMENT_ALREADY_SIGNED_UP;Вы зарегистрированы.
TOURNAMENT_DECK_ALREADY_PICKED;Эта колода уже зарегистрирована на турнир.
TOURNAMENT_DECK_CHANGE_LOST_A_GAME;Нельзя играть колодой, которой вы уже проиграли игру.
TOURNAMENT_DECK_FIXED_UNTIL_LOSS;Нельзя менять колоду, пока вы не проиграете игру.
TOURNAMENT_DECK_LOCKED;Эта колода зарегистрирована на турнир. Вы не можете её редактировать, пока турнир не закончится.
TOURNAMENT_DECK_LOST_A_GAME;Нельзя играть колодой, которой вы уже проиграли игру.
TOURNAMENT_DECK_MUST_BE_LEAD;Для первой игры обязательно брать первую колоду.
TOURNAMENT_DISCARD_DECKS;Начать заново
TOURNAMENT_LOBBY;Турнирное лобби
TOURNAMENT_PICKED_DECK;Зарегистрирована колода #{0}
TOURNAMENT_SIGNUP;Зарегистрироваться
TOURNAMENT_SIGNUP_DECK_1;Зарегистрировать первую колоду
TOURNAMENT_SIGNUP_DECK_2;Зарегистрировать вторую колоду
TOURNAMENT_SIGNUP_DECK_3;Зарегистрировать третью колоду
TOURNAMENT_SIGNUP_SUCCESSFUL;Регистрация на турнир успешна!
REWARD_DECK_SLOT;Вы получили слоты для колод
REWARD_LORE_PAGE;Вы открыли новую страницу истории!
