QUEST_NAME_PUZZLE_DLC_YRUSH_2;Божественное вмешательство
QUEST_NAME_PUZZLE_DLC_YRUSH_1;Бей и беги
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;Давка
QUEST_NAME_PUZZLE_DLC_WHALES;Всем китам кит
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;Глас
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;Разбитое зеркало
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;Власть рыб
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;Рой
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;OTK на рубиновом яке
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;Канонада
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;Защитники Сверхнебесья
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;В укрытие!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;Чем выше задерёшь нос...
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;Научный класс
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;Суперлягушка
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;Чудовище
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;Кошмар
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;Вознесение
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;Последняя глава
QUEST_NAME_PUZZLE_DLC_MAZE;Лабиринт
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;Неожиданный герой
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;Охота началась
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;Цареубийство
QUEST_NAME_PUZZLE_DLC_KAIOS;Владения Кайоса
QUEST_NAME_PUZZLE_DLC_ISTANU;Вечный свет
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;OTK на урсе
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;Дружба до конца
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Ответный удар
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;Молот
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;Дружба и магия
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;Кузнец
QUEST_NAME_PUZZLE_DLC_GEMSHELL;Выбери карту
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;Знания - это сила
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;Волшебный автобус
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;Сказка
QUEST_NAME_PUZZLE_DLC_EXPLORER;Радуга
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;OTK на событиях
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ESofMill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;Пророчество
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;В стадии строительства
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;Сбор урожая
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;Падальщик
QUEST_NAME_PUZZLE_DLC_BAERU;Повелитель океанов
QUEST_NAME_PUZZLE_DLC_AXOLOTL;Крюксолотль
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;Я сплю, и лягушки содрогаются
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;Переполняющая мощь
QUEST_NAME_LOYALTY_PATCH_03;Гибель Древа
QUEST_NAME_LOYALTY_PATCH_02;Сцилла
QUEST_NAME_LOYALTY_PATCH_01;Время Молота
QUEST_NAME_LOYALTY_PATCH_00;Скверна
QUEST_NAME_PUZZLE_54;Головоломка 54
QUEST_NAME_PUZZLE_53;Головоломка 53
QUEST_NAME_PUZZLE_52;Головоломка 52
QUEST_NAME_PUZZLE_51;Головоломка 51
QUEST_NAME_PUZZLE_50;Головоломка 50
QUEST_NAME_PUZZLE_49;Головоломка 49
QUEST_NAME_PUZZLE_48;Головоломка 48
QUEST_NAME_PUZZLE_47;Головоломка 47
QUEST_NAME_PUZZLE_46;Головоломка 46
QUEST_NAME_PUZZLE_45;Головоломка 45
QUEST_NAME_PUZZLE_44;Головоломка 44
QUEST_NAME_PUZZLE_43;Головоломка 43
QUEST_NAME_PUZZLE_42;Головоломка 42
QUEST_NAME_PUZZLE_41;Головоломка 41
QUEST_NAME_PUZZLE_40;Головоломка 40
QUEST_NAME_PUZZLE_39;Головоломка 39
QUEST_NAME_PUZZLE_38;Головоломка 38
QUEST_NAME_PUZZLE_37;Головоломка 37
QUEST_NAME_PUZZLE_36;Головоломка 36
QUEST_NAME_PUZZLE_35;Головоломка 35
QUEST_NAME_PUZZLE_34;Головоломка 34
QUEST_NAME_PUZZLE_33;Головоломка 33
QUEST_NAME_PUZZLE_32;Головоломка 32
QUEST_NAME_PUZZLE_31;Головоломка 31
QUEST_NAME_PUZZLE_30;Головоломка 30
QUEST_NAME_PUZZLE_29;Головоломка 29
QUEST_NAME_PUZZLE_28;Головоломка 28
QUEST_NAME_PUZZLE_27;Головоломка 27
QUEST_NAME_PUZZLE_26;Головоломка 26
QUEST_NAME_PUZZLE_25;Головоломка 25
QUEST_NAME_PUZZLE_24;Головоломка 24
QUEST_NAME_PUZZLE_23;Головоломка 23
QUEST_NAME_PUZZLE_22;Головоломка 22
QUEST_NAME_PUZZLE_21;Головоломка 21
QUEST_NAME_PUZZLE_20;Головоломка 20
QUEST_NAME_PUZZLE_19;Головоломка 19
QUEST_NAME_PUZZLE_18;Головоломка 18
QUEST_NAME_PUZZLE_17;Головоломка 17
QUEST_NAME_PUZZLE_16;Головоломка 16
QUEST_NAME_PUZZLE_15;Головоломка 15
QUEST_NAME_PUZZLE_14;Головоломка 14
QUEST_NAME_PUZZLE_13;Головоломка 13
QUEST_NAME_PUZZLE_12;Головоломка 12
QUEST_NAME_PUZZLE_11;Головоломка 11
