ACTIVATE;<b>Активировать</b>
AQUATIC;<b>Водное</b>
ARTIFACT;Артефакт
AUTO_HARVEST;<b>Авто-сбор</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Зелёная базовая
BLUEPRINT_01.shortdescription;Освойте силу леса и поддержите вашу армию существ дополнительными здоровьем и мобильностью. Закрепитесь за колодцем фейри, а затем киньтесь в сторону сферы противника!
BLUEPRINT_02.name;Красная базовая
BLUEPRINT_02.shortdescription;Со склонов гор грозно маршируют огры. Обрушьте их мощь на вашего противника, и пусть пламя покончит с ним.
BLUEPRINT_03.name;Синяя базовая
BLUEPRINT_03.shortdescription;Приготовьте всплеск силы с помощью событий! Используйте прыгающих существ и водных рыб, чтобы собирать фейри из нескольких колодцев сразу. Атакуйте противника, как только придёт время!
BLUEPRINT_04.name;Жёлтая базовая
BLUEPRINT_04.shortdescription;Смакуйте тёмные прелести пустыни. Изучайте запрещенные ритуалы и обретайте силу от смерти своих собственных созданий. Используйте своё собственное здоровье как ресурс, чтобы получить преимущество над противником и уничтожить его сферу.
BLUEPRINT_05.name;Синее вторжение
BLUEPRINT_05.shortdescription;Пусть ваша жадность даёт вам силы. Сосредоточьтесь на сборе фейри из колодцев противника, ведь ваши массивные колоссы становятся дешевле с каждым сбором.
BLUEPRINT_06.name;Слава в бою
BLUEPRINT_06.shortdescription;Крушите своих врагов, берите инициативу в свои руки, и слышьте плач яков. Командуйте армией, которая процветает в бою. Дар стали сияет ярче во времена войны.
BLUEPRINT_07.name;Марш смерти
BLUEPRINT_07.shortdescription;Не проявляйте милосердие. Устремитесь прямо к вашему противнику и атакуйте его сферу любой ценой, тем самым усиляя своих Фанатичных Крестоносцев.
BLUEPRINT_08.name;Величайшая сделка
BLUEPRINT_08.shortdescription;Заключите сделку с ограми и играйте дорогие карты, платя лишь долю от их обычной стоимости. Выпустите драконов и чудищ и пожинайте плоды эпических побед.
BLUEPRINT_09.name;Небесная армада
BLUEPRINT_09.shortdescription;Возьмите контроль над небом. Ваши вольеры укрепят силу вашей летающей армады. Летите к сердцу врага и уничтожьте его сверху.
BLUEPRINT_10.name;Гнев природы
BLUEPRINT_10.shortdescription;Лес не всегда так терпелив. Наступайте на сферу противника и расчистите путь для ваших Охотников на богов, чтобы те нашли свою естественную добычу: лицо вашего врага.
CHARGE;<b>Штурм {0}</b>
COMBAT;<b>Бой</b>
CONVOKE;<b>Созыв</b>
CORRUPT;<b>Осквернение</b>
CREATURE;Существо
CURRENCY_COIN;Осколки
CURRENCY_GEM;Самоцветы
DAILY_QUEST_00_NAME;Ультима
DAILY_QUEST_01_NAME;Безумство
DAILY_QUEST_02_NAME;Низвергатель богов
DAILY_QUEST_03_NAME;Суд
DAILY_QUEST_04_NAME;Завоевание
DAILY_QUEST_05_NAME;Цунами
DAILY_QUEST_06_NAME;Цветение
DAILY_QUEST_07_NAME;Пекло
DAILY_QUEST_08_NAME;Песчаная буря
