ACCEPT;Принять
ACCOUNT_RECOVERY;Восстановление аккаунта
ACCOUNT_RECOVERY_TITLE;Восстановите свой аккаунт
ACTIVATION_KEY;Ключ активации
ADD_A_FRIEND;Добавьте друга по идентификатору
ADD_NEW_DECK;Новая колода
ADVENTURE_POUCH_POINTS;Очки Походного кисета
ALLY_TURN;Ход союзника
AMBIENT;Фоновые звуки
ARENA_RUN_DECK_NAME;Колода Пандоры
BACK;НАЗАД
BIND_ACCOUNT_BUTTON;Привязать к {0}
BIND_ACCOUNT_LABEL;У вас уже есть учётная запись в игре Faeria?
BLUEPRINT_PANEL_TEXT1;Сначала попробуйте изменить одну из заранее заготовленных колод.
BLUEPRINT_PANEL_TEXT2;Также можно собрать колоду, нажав кнопку внизу.
BLUEPRINT_PANEL_TITLE;Хотите составить собственную колоду?
BLUEPRINT_REQUIREMENT_LEVEL;ДОСТИЧЬ УРОВНЯ
BLUEPRINT_REQUIREMENT_QUEST;ПРОЙДИТЕ БОЛЬШЕ МИССИЙ, ЧТОБЫ ПОЛУЧИТЬ ЭТУ ФОРМУЛУ
BOOSTER_OPENING_GEMSTITLE;Камни редкости
BOSS_DEFEATED;Повержен
BOSS_NOT_RELEASED;Будет выпущен
BUILD_YOUR_DECK;Пользовательская колода
CANCEL;Отмена
CARD_LIMIT_MESSAGE;Нельзя иметь более трёх одинаковых карт в колоде.
CHAT_ERROR_MESSAGE_TOO_LONG;Слишком длинное сообщение (не более {0} символов).
CHAT_ERROR_NOBODY_TO_REPLY_TO;Отвечать сейчас некому.
CHAT_ERROR_NOT_CONNECTED;Потеряно соединение. Попробуйте выйти из учётной записи и снова войти.
CHAT_ERROR_NO_INTERLOCUTOR;Вы ни с кем не общаетесь. Воспользуйтесь командой /w, списком друзей, либо щёлкните по имени пользователя в чате, чтобы отправить сообщение.
CHAT_ERROR_ONLY_WITH_FRIENDS;Вы можете общаться только с теми, кто находится в вашем списке друзей игры Faeria.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} не в сети
CHAT_GENERIC_WARNING;Помните, что сотрудники Abrakam Entertainment никогда не спросят ваш пароль, оказывая вам помощь. Не пишите в чат личные сведения.
CHAT_HINT_USER_BACK_ONLINE;{0} вернулся в игру!
CHAT_HINT_USER_WENT_OFFLINE;{0} вышел из игры.
CHAT_INPUT_PLACEHOLDER;/w ИмяПользователя Ваше сообщение.
CHAT_TOOLTIP_DND_MODE;Режим Не беспокоить. Если его включить, это окно не будет открываться, когда будут приходить новые сообщения. Сообщения будут записываться в тихом режиме.
CHAT_TO_SOMEBODY;Для [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;Повышайте уровень и выполняйте ежедневные задания, чтобы заработать Сундуки!
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;У вас есть все мифические предметы. Возвращайтесь позже.
CHOOSE_OTHER_BLUEPRINT;Изменить формулу.
CLAIM_REWARDS;Забрать приз
CLEAR;Очистить
COLLECTION_FILTER_CARD_TYPE;Фильтр по типу карт
COLLECTION_FILTER_FAERIA_COST;Фильтр по стоимости карт
COLLECTION_MODE;Создание
COLLECTION_SEARCH_PLACEHOLDER;Поиск...
CONFIRM;Подтвердить
CONNECTION_LOST_RECONNECTING;Соединение потеряно\nПопытка восстановить соединение ...
CONNECTION_QUEUE_CAPTION;Ваше место в очереди:
CONNECTION_QUEUE_TITLE;Сервера заполнены!
CONSTRUCTED_MODE;Рейтинговый режим
CONSTRUCTED_RUN_DECK_NAME;Колода для рейтинговой игры
CO_OP_POPUP_JOIN_BUTTON_TEXT;Присоединиться
CO_OP_POPUP_LOCKED_BUTTON_TEXT;Играть
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;Вы должны закончить предыдущие миссии, чтобы разблокировать эту
CO_OP_POPUP_ALLY_SELECTION_TITLE;Позвать союзника
CO_OP_POPUP_NO_ALLY;Нет доступных союзников
CO_OP_LOBBY_CANCELLED;Ваш союзник отказался от миссии
COUPON_REDEEM;Получить
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;Нельзя разушить карту во время поиска игры.
CRAFT_LEGENDARY_ERROR;Вы не можете создавать легендарные карты
CRAFT_GOLD_CARD_ERROR;Вы не можете создавать мифические карты
CRAFT_FOURTH_CARD;Вы уже имеете не менее трёх копий этой карты.
CRAFT_NOT_ENOUGH_CHARGES;У вас недостаточно искр творения, чтобы создать карту
CRAFT_FULLY_CHARGED;Уже три
