BOSS_KING_YAKNUS.description;Давным-давно люди и яки объединились в союз. Чтобы решить, кто должен стать в нём главным, два правителя сразились между собой. Побеждённый народ должен был прислуживать победителям на протяжении последующих ста лет... Король людей взял верх, но каждый век эта битва повторяется. Это событие несёт имя Якнарёк.
BOSS_GREEN_GENIE.description;Когда четверо богов пали, Арбория покинула мир и вернулась в Мерцающую рощу. Здесь всё ещё слышен голос Гайи, а жизнь воистину циклична.
BOSS_BLUE_YELLOW_SURVIVAL.description;Магда истребила воздушных бандитов, убивших её мать. Проклятые духи той битвы всё ещё обретаются здесь, нападая на любого, кто отважится приблизиться.
BOSS_YAKKAR.description;В Яккаране Авангард Яков готовится к загадочной грядущей войне. Их предводитель Яккар заведует Ареной Яккарана, на которой он обучает новому способу ведения войны.
BOSS_AZURE_GENIE.description;Давным-давно великий Император просил запретного знания у Удины. В удивлении она выполнила его просьбу. Это плохо кончилось для него и его империи.
BOSS_GREEN_RED_SURVIVAL.description;Никто не знает, что превратило в стекло эту местность, когда-то бывшую зелёным раем. Никто не знает, почему разъярённые стражи охраняют её. Осторожно: берегитесь огров.
BOSS_YELLOW_GENIE.description;В Воющей Пустыне обитает великий Дагдан, повелитель ветра и ярости. Дагдан восстал против бога небес Астара, отказавшись разделить дар полёта. Однажды пожилая женщина украла этот дар у Дагдана. Она решила поделиться им, и за её щедрость Астар наделил её вечной молодостью и красотой. Её звали Иона. Когда ни с того ни с сего на ваших глазах поднимается буря, это наверняка Дагдан бушует из-за давней кражи.
BOSS_CRIMSON_GENIE.description;Именно в Кузнице Сотворения бог Аорос выковал души из чистой магии. Одним из его величайших творений был Пайрос, хранитель кузницы. К сожалению, Пайрос постепенно сошёл с ума от одиночества. Чтобы не оставаться одному, он воспользовался кузницей, чтобы сотворить себе друга, которого он назвал Кодзин... Увы, Пайрос не был богом, а потому не мог сотворить бессмертное существо.
BOSS_DARK_WISP.description;Всего один дух обитает в этой заброшенной пещере. Все попытки изучить её провалились. Записи о ней исчезают. После всевидящих чар остаются лишь пустые взоры и зеркала. Приблизиться? Не стоит. Просто... не стоит.
BOSS_FOUR_COLOR_01.description;Даже боги должны пройти испытание, если они хотят посетить Мировой Портал. Этот кошмарный лес воплощает отражения самых ужасных тварей в мире. Приготовьтесь к смерти.
