ID;Name;Rarity;IsPinkChestAvailable;IsHidden;IsSetItem;ProfileName
0;Basic;RARE;;;;Basic Card Back
1;1605Silver;RARE;;TRUE;;Season 1 Silver Card Back
2;1605Gold;EPIC;;TRUE;;Season 1 Gold Card Back
3;1606Silver;RARE;;TRUE;;Season 2 Silver Card Back
4;1606Gold;EPIC;;TRUE;;Season 2 Gold Card Back
5;1607Silver;RARE;;TRUE;;Season 3 Silver Card Back
6;1607Gold;EPIC;;TRUE;;Season 3 Gold Card Back
7;1608Silver;RARE;;TRUE;;Season 4 Silver Card Back
8;1608Gold;EPIC;;TRUE;;Season 4 Gold Card Back
9;1609Silver;RARE;;TRUE;;Season 5 Silver Card Back
10;1609Gold;EPIC;;TRUE;;Season 5 Gold Card Back
11;1610Silver;RARE;;TRUE;;Season 6 Silver Card Back
12;1610Gold;EPIC;;TRUE;;Season 6 Gold Card Back
13;1611Silver;RARE;;TRUE;;Season 7 Silver Card Back
14;1611Gold;EPIC;;TRUE;;Season 7 Gold Card Back
15;1612Silver;RARE;;TRUE;;Season 8 Silver Card Back
16;1612Gold;EPIC;;TRUE;;Season 8 Gold Card Back
17;Sharra;EPIC;TRUE;;TRUE;Sharra's Card Back
18;Ruunin;EPIC;TRUE;;TRUE;Ruunin's Card Back
19;Rapala;LEGENDARY;;TRUE;TRUE;Rapala's Card Back
20;Hoaka;LEGENDARY;TRUE;;TRUE;Hoaka's Card Back
21;Aurora;EPIC;TRUE;;TRUE;Aurora's Card Back
22;Krog;LEGENDARY;TRUE;;TRUE;Krog's Card Back
23;Seifer;EPIC;TRUE;;TRUE;Seifer's Card Back
24;Khalim;EPIC;TRUE;;TRUE;Khalim's Card Back
25;Magda;EPIC;TRUE;;TRUE;Magda's Card Back
26;Fugoro;LEGENDARY;TRUE;;TRUE;Fugoro's Card Back
27;Jalmyr;LEGENDARY;;TRUE;TRUE;Jalmyr's Card Back
28;Dragon;EPIC;;;TRUE;Black Dragon Card Back
29;BombSlinger;LEGENDARY;;;TRUE;Bom-R's Card Back
30;Mucha;EPIC;TRUE;;;'Art Nouveau' Card Back
31;MosaicFlower;EPIC;;;;Mosaic Flower Card Back
32;MosaicSolar;RARE;TRUE;;;Mosaic Solar Card Back
33;BasicDiamond;RARE;TRUE;;;Silver Diamond Card Back
34;BasicCopper;RARE;TRUE;;;Purple Diamond Card Back
35;Pandora1610Silver;RARE;;TRUE;;Season 6 Pandora Silver Card Back
36;Pandora1610Gold;EPIC;;TRUE;;Season 6 Pandora Gold Card Back
37;Pandora1611Silver;RARE;;TRUE;;Season 7 Pandora Silver Card Back
38;Pandora1611Gold;EPIC;;TRUE;;Season 7 Pandora Gold Card Back
39;Pandora1612Silver;RARE;;TRUE;;Season 8 Pandora Silver Card Back
40;Pandora1612Gold;EPIC;;TRUE;;Season 8 Pandora Gold Card Back
41;1701Silver;RARE;;TRUE;;Season 9 Silver Card Back
42;1701Gold;EPIC;;TRUE;;Season 9 Gold Card Back
43;Pandora1701Silver;RARE;;TRUE;;Season 9 Pandora Silver Card Back
44;Pandora1701Gold;EPIC;;TRUE;;Season 9 Pandora Gold Card Back
45;1702Silver;RARE;;TRUE;;Season 10 Silver Card Back
46;1702Gold;EPIC;;TRUE;;Season 10 Gold Card Back
47;Pandora1702Silver;RARE;;TRUE;;Season 10 Pandora Silver Card Back
48;Pandora1702Gold;EPIC;;TRUE;;Season 10 Pandora Gold Card Back
49;AdventurePouch;LEGENDARY;;TRUE;;Adventurer's Card Back
50;1703Silver;RARE;;TRUE;;Season 11 Silver Card Back
51;1703Gold;EPIC;;TRUE;;Season 11 Gold Card Back
52;Pandora1703Silver;RARE;;TRUE;;Season 11 Pandora Silver Card Back
53;Pandora1703Gold;EPIC;;TRUE;;Season 11 Pandora Gold Card Back
54;1704Silver;RARE;;TRUE;;Season 12 Silver Card Back
55;1704Gold;EPIC;;TRUE;;Season 12 Gold Card Back
56;Pandora1704Silver;RARE;;TRUE;;Season 12 Pandora Silver Card Back
