ID;Name;Rarity;IsPinkChestAvailable;IsHidden;IsSetItem;ProfileName
0;Basic;RARE;;;;Basic Orb
1;Power;RARE;TRUE;;;Arcane Stone
2;Arcane;RARE;TRUE;;;Orb of the Arcane
3;Valor;EPIC;;;;Orb of Valor
4;Giants;RARE;TRUE;;;Orb of the Giants
5;Gaea;RARE;TRUE;;;Orb of Gaea
6;Pack;RARE;;TRUE;;Exclusive Kickstarter Backers Orb
7;Dragon;LEGENDARY;;;;Golden Dragon Orb
8;Magda;EPIC;TRUE;;TRUE;Magda's Orb
9;Sharra;EPIC;TRUE;;TRUE;Sharra's Orb
10;Ruunin;EPIC;TRUE;;TRUE;Ruunin's Orb
11;Rapala;LEGENDARY;;TRUE;TRUE;Rapala's Orb
12;Hoaka;LEGENDARY;TRUE;;TRUE;Hoaka's Orb
13;Aurora;EPIC;TRUE;;TRUE;Aurora's Orb
14;Krog;LEGENDARY;TRUE;;TRUE;Krog's Orb
15;Seifer;EPIC;TRUE;;TRUE;Seifer's Orb
16;Khalim;EPIC;TRUE;;TRUE;Khalim's Orb
17;Tarum;LEGENDARY;TRUE;;TRUE;Tarum's Orb
18;Fugoro;LEGENDARY;TRUE;;TRUE;Fugoro's Orb
19;Jalmyr;LEGENDARY;;TRUE;TRUE;Jalmyr's Orb
20;BombSlinger;LEGENDARY;;;TRUE;Bom-R's Orb
21;Champion1;LEGENDARY;;TRUE;;Champion's Orb
22;Champion2;LEGENDARY;;TRUE;;Champion's Orb
23;Champion3;LEGENDARY;;TRUE;;Champion's Orb
24;Champion4;LEGENDARY;;TRUE;;Champion's Orb
25;Adventurer;LEGENDARY;;TRUE;TRUE;Fugoro's Orb
26;Kaios;LEGENDARY;;TRUE;TRUE;Kaios' Orb
27;Loyalty;EPIC;;TRUE;;Orb of Loyalty
28;ArcaneGold;RARE;TRUE;;;Gold Arcane Orb
29;ArcaneRed;RARE;TRUE;;;Red Arcane Orb
30;ArcanePurple;RARE;TRUE;;;Purple Arcane Orb
31;ValorGreen;EPIC;TRUE;;;Green Orb of Valor
32;ValorSilver;EPIC;TRUE;;;Silver Orb of Valor
33;ValorMagenta;EPIC;TRUE;;;Purple Orb of Valor
34;DragonSilver;LEGENDARY;TRUE;;;Silver Dragon Orb
35;HandGrasp;EPIC;TRUE;;;Earth's Grasp
36;Tribal;EPIC;TRUE;;;Tiki Orb
37;HandArcane;LEGENDARY;TRUE;;;Arcane Hand
38;StarCrystal;RARE;TRUE;;;Celestial Orb
39;StarCrystalOrange;RARE;TRUE;;;Orange Celestial Orb
40;StarCrystalPurple;RARE;TRUE;;;Purple Celestial Orb
41;CrystalStone;RARE;TRUE;;;Blue Crystal Orb
42;CrystalStonePurple;RARE;TRUE;;;Purple Crystal Orb
43;CrystalStoneGold;RARE;TRUE;;;Gold Crystal Orb
44;SpidereggOrange;EPIC;TRUE;;;Arachnid Nest
45;SpidereggGreen;EPIC;TRUE;;;Arachnid Lair
46;SpidereggRainbow;LEGENDARY;TRUE;;;Arachnid Den
47;FallOfEverlife;EPIC;;;;Corrupted Orb
48;Resurgence;EPIC;;;;Resurgence Orb
49;Orosei;LEGENDARY;;TRUE;;Orosei's Orb
50;Tethra;LEGENDARY;;TRUE;;Tethra's Orb
51;Garudan;LEGENDARY;;TRUE;;Garudan's Orb
52;Azarai;LEGENDARY;;TRUE;;Azarai's Orb
53;Celeste;LEGENDARY;;TRUE;;Celeste's Orb
54;Gagana;EPIC;;;;Gagana Orb
55;SeasonalCupAurora;EPIC;;TRUE;;Aurora Seasonal Cup Orb
56;SeasonalCupRuunin;EPIC;;TRUE;;Ruunin Seasonal Cup Orb
57;SeasonalCupKhalim;EPIC;;TRUE;;Khalim Seasonal Cup Orb
58;SeasonalCupSeifer;EPIC;;TRUE;;Seifer Seasonal Cup Orb
