ID;Name;Rarity;IsPinkChestAvailable;IsHidden;IsSetItem;ProfileName
0;Amai;RARE;;FALSE;FALSE;Amai Shore
1;Forest;RARE;;FALSE;FALSE;Forest Shore
2;Gabria;RARE;;FALSE;FALSE;Gabria Shore
3;Menethyr;RARE;;FALSE;FALSE;Menethyr Shore
4;Pandora;RARE;;FALSE;FALSE;Pandora Shore
5;Syland;RARE;;FALSE;FALSE;Syland Shore
6;Void;RARE;;FALSE;FALSE;Void Shore
7;OverskyDay;RARE;;FALSE;FALSE;Oversky Day Shore
8;OverskyNight;RARE;;FALSE;FALSE;Oversky Night Shore
9;OverskyCorrupt;RARE;;FALSE;FALSE;Oversky's Doom Shore
10;Resurgence;RARE;;FALSE;FALSE;Resurgence Shore
11;Dragon;RARE;;FALSE;FALSE;Dragon's Lair Shore
12;Mecha;RARE;;FALSE;FALSE;Mecha Shore
