ID;Type;Objective;RewardType;RewardParam;Source;Param1;Param2;Param3
0;WIN_PVP_GAMES;3;BLUE_CHEST;2;DAILY;MODES:CONSTRUCTED,ARENA;;
1;DEAL_DAMAGE_TO_ENEMIES;50;BLUE_CHEST;2;DAILY;;;
2;DEAL_DAMAGE_TO_GODS;30;BLUE_CHEST;2;DAILY;;;
3;DESTROY_CREATURES;15;BLUE_CHEST;2;DAILY;;;
4;CREATE_LANDS;20;BLUE_CHEST;2;DAILY;;;
5;PLAY_BLUE_CARDS;10;BLUE_CHEST;2;DAILY;;;
6;PLAY_GREEN_CARDS;10;BLUE_CHEST;2;DAILY;;;
7;PLAY_RED_CARDS;10;BLUE_CHEST;2;DAILY;;;
8;PLAY_YELLOW_CARDS;10;BLUE_CHEST;2;DAILY;;;
9;PLAY_NEUTRAL_CARDS;10;BLUE_CHEST;2;DAILY;;;
11;PLAY_EVENTS;10;BLUE_CHEST;2;DAILY;;;
12;PLAY_CREATURES;15;BLUE_CHEST;2;DAILY;;;
16;WIN_PVP_GAMES;3;;;USER_JOURNEY;MODES:CONSTRUCTED,ARENA;;
18;WIN_PANDORA_GAMES;5;;;USER_JOURNEY;;;
27;OPEN_BATTLE_CHEST;1;BLUE_CHEST;1;USER_JOURNEY;;;
28;VALIDATE_YOUR_EMAIL;1;BLUE_CHEST;2;USER_JOURNEY;;;
30;PLAY_ARENA_RUN;1;COIN;2500;USER_JOURNEY;;;
31;SPECTATE_FRIEND_WINNING_GAME;1;COIN;600;USER_JOURNEY;;;
32;PLAY_AGAINST_FRIEND;1;COIN;600;USER_JOURNEY;;;
33;PLAY_WITH_SPECIAL_COSMETIC;1;BLUE_CHEST;1;USER_JOURNEY;;;
34;CRAFT_CARD;1;BLUE_CHEST;1;USER_JOURNEY;;;
36;PLAY_MYTHIC_RUN;1;COIN;1000;USER_JOURNEY;;;
1000;COMPLETE_QUESTS;3;BLUE_CHEST;1;PRIMARY_OBJECTIVE;;;
1001;COMPLETE_TRAINING_ACT;1;AVATAR;AvatarBlueElemental1;PRIMARY_OBJECTIVE;;;
1002;COMPLETE_QUESTS_OR_PUZZLES;150;CARD_BACK;CardBackDragon;PRIMARY_OBJECTIVE;;;
1100;COMPLETE_QUESTS_OR_PUZZLES;10;BLUE_CHEST;1;SECONDARY_OBJECTIVE;;;
1101;COMPLETE_ANY_ACT;1;COIN;2500;SECONDARY_OBJECTIVE;;;
1102;DEAL_DAMAGE_TO_ENEMIES;100;COIN;500;SECONDARY_OBJECTIVE;;;
1103;COMPLETE_QUESTS_OR_PUZZLES;10;BLUE_CHEST;1;SECONDARY_OBJECTIVE;;;
1104;DESTROY_CREATURES;50;BLUE_CHEST;1;SECONDARY_OBJECTIVE;;;
1105;COMPLETE_ANY_LANE;1;AVATAR;AvatarRedElemental1;SECONDARY_OBJECTIVE;;;
1106;SOLVE_PUZZLES;10;PINK_CHEST;1;SECONDARY_OBJECTIVE;;;
1107;DEAL_DAMAGE_TO_ENEMIES;100;BLUE_CHEST;1;SECONDARY_OBJECTIVE;;;
1108;COMPLETE_QUESTS_OR_PUZZLES;10;BLUE_CHEST;1;SECONDARY_OBJECTIVE;;;
1109;COMPLETE_QUESTS_OR_PUZZLES;10;COIN;200;SECONDARY_OBJECTIVE;;;
1110;COMPLETE_QUESTS_OR_PUZZLES;10;BLUE_CHEST;1;SECONDARY_OBJECTIVE;;;
1111;COMPLETE_QUESTS_OR_PUZZLES;10;COIN;200;SECONDARY_OBJECTIVE;;;
1200;SOLVE_PUZZLES;3;COIN;100;TERTIARY_OBJECTIVE;;;
1201;PLAY_GREEN_CARDS;15;COIN;100;TERTIARY_OBJECTIVE;;;
1202;CREATE_LANDS;20;COIN;100;TERTIARY_OBJECTIVE;;;
1203;PLAY_BLUE_CARDS;15;COIN;100;TERTIARY_OBJECTIVE;;;
1204;COMPLETE_QUESTS;3;COIN;100;TERTIARY_OBJECTIVE;;;
1205;PLAY_EVENTS;15;COIN;100;TERTIARY_OBJECTIVE;;;
1206;SOLVE_PUZZLES;3;COIN;100;TERTIARY_OBJECTIVE;;;
1207;PLAY_NEUTRAL_CARDS;15;COIN;100;TERTIARY_OBJECTIVE;;;
1208;PLAY_RED_CARDS;15;COIN;100;TERTIARY_OBJECTIVE;;;
1209;PLAY_YELLOW_CARDS;15;COIN;100;TERTIARY_OBJECTIVE;;;
1210;DESTROY_CREATURES;20;COIN;100;TERTIARY_OBJECTIVE;;;
1211;PLAY_CREATURES;20;COIN;100;TERTIARY_OBJECTIVE;;;
1212;COMPLETE_QUESTS_OR_PUZZLES;3;COIN;100;TERTIARY_OBJECTIVE;;;
1213;PLAY_EVENTS;15;COIN;100;TERTIARY_OBJECTIVE;;;
1214;DESTROY_CREATURES;10;COIN;100;TERTIARY_OBJECTIVE;;;
1215;CREATE_LANDS;20;COIN;100;TERTIARY_OBJECTIVE;;;
1300;COMPLETE_2_WILD_ACTS;4;BLUE_CHEST;1;WORLD_OBJECTIVE;;;
1400;PLAY_CARD_3_TIMES;3;LORE_PAGE;1;LORE;;;
1401;DEFEAT_DRAGONS;5;CARD_BACK;CardBackOrosei;DRAGON_LAIR;DRAGON_TYPES:OROSEI;;
1401;DEFEAT_DRAGONS;10;WELL;WellOrosei;DRAGON_LAIR;DRAGON_TYPES:OROSEI;;
1401;DEFEAT_DRAGONS;15;ORB;OrbOrosei;DRAGON_LAIR;DRAGON_TYPES:OROSEI;;
1401;DEFEAT_DRAGONS;20;AVATAR;AvatarOrosei;DRAGON_LAIR;DRAGON_TYPES:OROSEI;;
1402;DEFEAT_DRAGONS;5;CARD_BACK;CardBackTethra;DRAGON_LAIR;DRAGON_TYPES:TETHRA;;
1402;DEFEAT_DRAGONS;10;WELL;WellTethra;DRAGON_LAIR;DRAGON_TYPES:TETHRA;;
1402;DEFEAT_DRAGONS;15;ORB;OrbTethra;DRAGON_LAIR;DRAGON_TYPES:TETHRA;;
1402;DEFEAT_DRAGONS;20;AVATAR;AvatarTethra;DRAGON_LAIR;DRAGON_TYPES:TETHRA;;
1403;DEFEAT_DRAGONS;5;CARD_BACK;CardBackGarudan;DRAGON_LAIR;DRAGON_TYPES:GARUDAN;;
1403;DEFEAT_DRAGONS;10;WELL;WellGarudan;DRAGON_LAIR;DRAGON_TYPES:GARUDAN;;
1403;DEFEAT_DRAGONS;15;ORB;OrbGarudan;DRAGON_LAIR;DRAGON_TYPES:GARUDAN;;
1403;DEFEAT_DRAGONS;20;AVATAR;AvatarGarudan;DRAGON_LAIR;DRAGON_TYPES:GARUDAN;;
1404;DEFEAT_DRAGONS;5;CARD_BACK;CardBackAzarai;DRAGON_LAIR;DRAGON_TYPES:AZARAI;;
1404;DEFEAT_DRAGONS;10;WELL;WellAzarai;DRAGON_LAIR;DRAGON_TYPES:AZARAI;;
1404;DEFEAT_DRAGONS;15;ORB;OrbAzarai;DRAGON_LAIR;DRAGON_TYPES:AZARAI;;
1404;DEFEAT_DRAGONS;20;AVATAR;AvatarAzarai;DRAGON_LAIR;DRAGON_TYPES:AZARAI;;
1405;DEFEAT_DRAGONS;5;CARD_BACK;CardBackCeleste;DRAGON_LAIR;DRAGON_TYPES:CELESTE;;
1405;DEFEAT_DRAGONS;10;WELL;WellCeleste;DRAGON_LAIR;DRAGON_TYPES:CELESTE;;
1405;DEFEAT_DRAGONS;15;ORB;OrbCeleste;DRAGON_LAIR;DRAGON_TYPES:CELESTE;;
1405;DEFEAT_DRAGONS;20;AVATAR;AvatarCeleste;DRAGON_LAIR;DRAGON_TYPES:CELESTE;;
1500;COLLECT_CARD_SETS;;;;ACHIEVEMENT;CARD_SETS:CORE;;
1501;COLLECT_CARD_SETS;;;;ACHIEVEMENT;CARD_SETS:FALL_OF_EVERLIFE;;
1502;COLLECT_CARD_SETS;;;;ACHIEVEMENT;CARD_SETS:RESURGENCE;;
1503;COMPLETE_SPECIFIC_QUESTS;;;;ACHIEVEMENT;QUEST_IDS:0,1,2,3,4,5;;
1504;COMPLETE_ACTS_OF_TYPES;1;;;ACHIEVEMENT;TYPES:ACT;;
1505;COMPLETE_ALL_ACTS_OF_TYPES;;;;ACHIEVEMENT;TYPES:ACT;DLCS:CORE;
1506;COMPLETE_ACTS_OF_TYPES;10;;;ACHIEVEMENT;TYPES:WILD_ACT;;
1507;COMPLETE_ALL_ACTS_OF_TYPES;;;;ACHIEVEMENT;TYPES:LANE_PUZZLE_ACT;DLCS:CORE;
1508;COMPLETE_ALL_ACTS_OF_TYPES;;;;ACHIEVEMENT;TYPES:FREE_PUZZLE_ACT,PREMIUM_PUZZLE_ACT;DLCS:ELEMENTS;
1509;COMPLETE_SPECIFIC_QUESTS;;;;ACHIEVEMENT;QUEST_IDS:228;;
1510;COMPLETE_QUESTS_FROM_ACTS;6;;;ACHIEVEMENT;ACT_IDS:11001;;
1511;COMPLETE_SPECIFIC_ACTS;;;;ACHIEVEMENT;ACT_IDS:11001;;
1512;COMPLETE_SPECIFIC_ACTS;;;;ACHIEVEMENT;ACT_IDS:30002;;
1513;COMPLETE_SPECIFIC_ACTS;;;;ACHIEVEMENT;ACT_IDS:30003;;
1514;COMPLETE_SPECIFIC_ACTS;;;;ACHIEVEMENT;ACT_IDS:30004;;
1515;COMPLETE_SPECIFIC_ACTS;;;;ACHIEVEMENT;ACT_IDS:30005;;
1516;WIN_PVP_GAMES;10;;;ACHIEVEMENT;MODES:CONSTRUCTED;;
1517;WIN_PVP_GAMES;100;;;ACHIEVEMENT;MODES:CONSTRUCTED;;
1518;WIN_PVP_GAMES;1000;;;ACHIEVEMENT;MODES:CONSTRUCTED;;
1519;DEAL_DAMAGE_TO_GODS_IN_ONE_TURN;1;;;ACHIEVEMENT;QUANTITY:20;;
1520;REDUCE_CARD_FAERIA_COST_IN_ONE_GAME;1;;;ACHIEVEMENT;QUANTITY:20;;
1521;WIN_WITH_DAMAGE_TO_SELF_IN_ONE_GAME;1;;;ACHIEVEMENT;QUANTITY:20;;
1522;WIN_GAME_WITHOUT_ATTACKING_ORB;1;;;ACHIEVEMENT;;;
1523;WIN_WITH_LAST_HIT_FROM_RANGED;1;;;ACHIEVEMENT;;;
1524;DESTROY_ENEMIES_WITH_EVENTS_ONE_SHOT;1;;;ACHIEVEMENT;CARD_IDS:248;QUANTITY:5;
1525;EGG_OF_WONDER_HATCH_10_FAERIA_CARD;1;;;ACHIEVEMENT;;;
1526;DESTROY_CARDS_WITH_CARDS;1;;;ACHIEVEMENT;SOURCE_CARD_IDS:43;TARGET_CARD_IDS:288,642,232,169,108,423;
1527;WIN_WITH_FATIGUE;1;;;ACHIEVEMENT;;;
1528;SUMMON_CARDS_IN_ONE_TURN;1;;;ACHIEVEMENT;CARD_IDS:525;QUANTITY:20;
1529;REGENERATE_ISTANU_IN_ONE_GAME;1;;;ACHIEVEMENT;QUANTITY:5;;
1530;PLAY_CARDS_WITH_STATS;1;;;ACHIEVEMENT;CARD_IDS:369;POWER:20;LIFE:20
1531;MOVE_CREATURE_IN_ONE_TURN;1;;;ACHIEVEMENT;QUANTITY:3;;
1532;PLAY_CARDS_AND_WIN;1;;;ACHIEVEMENT;CARD_IDS:114;QUANTITY:1;
1533;WIN_WITH_LAST_HIT;1;;;ACHIEVEMENT;CARD_IDS:328;;
1534;WIN_WITH_HIGHLANDER_DECK;10;;;ACHIEVEMENT;;;
1535;CORRUPT_IN_ONE_GAME;1;;;ACHIEVEMENT;QUANTITY:5;;
1536;REACH_RANK;;;;ACHIEVEMENT;QUANTITY:15;MODES:CONSTRUCTED;
