GridId;RewardType;Parameters
HIGH_GOLD_NO_GEM;COIN;200
HIGH_GOLD_NO_GEM;COIN;200
HIGH_GOLD_NO_GEM;COIN;200
HIGH_GOLD_NO_GEM;COIN;200
HIGH_GOLD_NO_GEM;BLUE_CHEST;2
HIGH_GOLD_NO_GEM;COIN;300
HIGH_GOLD_NO_GEM;COIN;300
HIGH_GOLD_NO_GEM;COIN;300
HIGH_GOLD_NO_GEM;COIN;300
HIGH_GOLD_NO_GEM;BLUE_CHEST;2
HIGH_GOLD_NO_GEM;COIN;400
HIGH_GOLD_NO_GEM;BLUE_CHEST;2
HIGH_GOLD_NO_GEM;COIN;400
HIGH_GOLD_NO_GEM;COIN;400
HIGH_GOLD_NO_GEM;BLUE_CHEST;2
HIGH_GOLD_GEM;COIN;200
HIGH_GOLD_GEM;COIN;200
HIGH_GOLD_GEM;COIN;200
HIGH_GOLD_GEM;COIN;200
HIGH_GOLD_GEM;BLUE_CHEST;2
HIGH_GOLD_GEM;COIN;300
HIGH_GOLD_GEM;COIN;300
HIGH_GOLD_GEM;BLUE_CHEST;2
HIGH_GOLD_GEM;COIN;100
HIGH_GOLD_GEM;COIN;600
HIGH_GOLD_GEM;COIN;100
HIGH_GOLD_GEM;COIN;100
HIGH_GOLD_GEM;BLUE_CHEST;2
HIGH_GOLD_GEM;COIN;100
HIGH_GOLD_GEM;PINK_CHEST;1
LOW_GOLD_NO_GEM;COIN;100
LOW_GOLD_NO_GEM;BLUE_CHEST;2
LOW_GOLD_NO_GEM;COIN;100
LOW_GOLD_NO_GEM;COIN;100
LOW_GOLD_NO_GEM;COIN;300
LOW_GOLD_NO_GEM;COIN;100
LOW_GOLD_NO_GEM;BLUE_CHEST;2
LOW_GOLD_NO_GEM;COIN;100
LOW_GOLD_NO_GEM;COIN;100
LOW_GOLD_NO_GEM;BLUE_CHEST;2
LOW_GOLD_NO_GEM;COIN;200
LOW_GOLD_NO_GEM;COIN;200
LOW_GOLD_NO_GEM;BLUE_CHEST;2
LOW_GOLD_NO_GEM;COIN;200
LOW_GOLD_NO_GEM;BLUE_CHEST;2
LOW_GOLD_GEM;COIN;200
LOW_GOLD_GEM;COIN;200
LOW_GOLD_GEM;COIN;200
LOW_GOLD_GEM;COIN;200
LOW_GOLD_GEM;BLUE_CHEST;2
LOW_GOLD_GEM;COIN;300
LOW_GOLD_GEM;COIN;300
LOW_GOLD_GEM;COIN;300
LOW_GOLD_GEM;COIN;300
LOW_GOLD_GEM;BLUE_CHEST;2
LOW_GOLD_GEM;COIN;400
LOW_GOLD_GEM;BLUE_CHEST;2
LOW_GOLD_GEM;COIN;400
LOW_GOLD_GEM;COIN;400
LOW_GOLD_GEM;BLUE_CHEST;2
MYTHIC_GEM;COIN;200
MYTHIC_GEM;COIN;200
MYTHIC_GEM;COIN;200
MYTHIC_GEM;COIN;200
MYTHIC_GEM;BLUE_CHEST;2
MYTHIC_GEM;COIN;300
MYTHIC_GEM;COIN;300
MYTHIC_GEM;BLUE_CHEST;2
MYTHIC_GEM;COIN;100
MYTHIC_GEM;COIN;600
MYTHIC_GEM;COIN;100
MYTHIC_GEM;COIN;100
MYTHIC_GEM;BLUE_CHEST;2
MYTHIC_GEM;COIN;100
MYTHIC_GEM;PINK_CHEST;1
DOUBLE_BCHEST_GEM;COIN;100
DOUBLE_BCHEST_GEM;BLUE_CHEST;2
DOUBLE_BCHEST_GEM;COIN;100
DOUBLE_BCHEST_GEM;COIN;100
DOUBLE_BCHEST_GEM;COIN;300
DOUBLE_BCHEST_GEM;COIN;100
DOUBLE_BCHEST_GEM;BLUE_CHEST;2
DOUBLE_BCHEST_GEM;COIN;100
DOUBLE_BCHEST_GEM;COIN;100
DOUBLE_BCHEST_GEM;BLUE_CHEST;2
DOUBLE_BCHEST_GEM;COIN;200
DOUBLE_BCHEST_GEM;COIN;200
DOUBLE_BCHEST_GEM;BLUE_CHEST;2
DOUBLE_BCHEST_GEM;COIN;200
DOUBLE_BCHEST_GEM;BLUE_CHEST;2
